Quarter Ended,2023-03-31,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30,2021-06-30,2021-03-31,2020-12-31,2020-09-30,2020-06-30,2020-03-31,2019-12-31,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-09-30,2013-06-30,2013-03-31,2012-12-31,2012-09-30,2012-06-30,2012-03-31,2011-12-31,2011-09-30,2011-06-30,2011-03-31,2010-12-31,2010-09-30,2010-06-30,2010-03-31,2009-12-31,2009-09-30,2009-06-30,2009-03-31,2008-12-31,2008-09-30,2008-06-30,2008-03-31,2007-12-31,2007-09-30,2007-06-30,2007-03-31,2006-12-31,2006-09-30,2006-06-30,2006-03-31,2005-12-31,2005-09-30,2005-06-30,2005-03-31,2004-12-31,2004-09-30,2004-06-30,2004-03-30,2003-12-31,2003-09-30,2003-06-30,2003-03-31,2002-12-31,2002-09-30,2002-06-30,2002-03-31,2001-12-31,2001-09-30,2001-06-30,2001-03-31,2000-12-31,2000-09-30,2000-06-30,2000-03-31,1999-12-31,1999-09-30,1999-06-30,1999-03-31,1998-12-31,1998-09-30,1998-06-30,1998-03-31,1997-12-31,1997-09-30,1997-06-30,1997-03-31,1996-12-31,1996-09-30,1996-06-30,1996-03-31
Net Income,1757000000,1289000000,-827000000,667000000,-3110000000,12282000000,1832000000,561000000,3262000000,-2788000000,2385000000,1117000000,-1993000000,-1672000000,425000000,148000000,1146000000,-116000000,991000000,1066000000,1736000000,2520000000,1572000000,2047000000,1592000000,-790000000,957000000,1970000000,2452000000,1868000000,2192000000,2160000000,1153000000,-1904000000,835000000,1311000000,989000000,7837000000,1272000000,1233000000,1611000000,1546000000,1631000000,1040000000,1396000000,13615000000,1649000000,2398000000,2551000000,190000000,1687000000,2599000000,2085000000,886000000,997000000,2261000000,-1427000000,-5978000000,-161000000,-8697000000,70000000,-2883000000,-380000000,750000000,-282000000,-5625000000,-5248000000,-317000000,-1423000000,-74000000,-576000000,1215000000,875000000,-345000000,266000000,1165000000,1952000000,-1049000000,-25000000,417000000,896000000,-134000000,-330000000,567000000,-1098000000,-5072000000,-696000000,-755000000,1055000000,1073000000,884000000,-580000000,2075000000,1802000000,1110000000,2335000000,1975000000,1039000000,997000000,2377000000,17551000000,1783000000,1112000000,2516000000,1455000000,1190000000,670000000,1887000000,634000000
Depreciation & Amortization,1897000000,1973000000,1895000000,1917000000,1857000000,1840000000,1839000000,1536000000,2103000000,2081000000,1868000000,2358000000,2444000000,2379000000,2322000000,2559000000,2429000000,2455000000,6930000000,0,0,9241000000,0,0,0,9023000000,0,0,0,7993000000,0,0,0,7385000000,0,0,0,6504000000,0,0,0,5486000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,,
Share-Based Compensation,100000000,59000000,107000000,103000000,67000000,43000000,79000000,142000000,41000000,29000000,63000000,69000000,38000000,-10000000,69000000,84000000,85000000,-8000000,199000000,0,0,246000000,0,0,0,210000000,0,0,0,199000000,0,0,0,180000000,0,0,0,159000000,0,0,0,140000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,,
Other Operating Activities,-954000000,-2143000000,2637000000,260000000,102000000,-10634000000,3258000000,-1483000000,-914000000,5217000000,6772000000,5571000000,-962000000,2203000000,1916000000,3672000000,-116000000,-974000000,-2941000000,3906000000,1778000000,-8860000000,3426000000,3568000000,2744000000,-5645000000,4204000000,5772000000,1697000000,-7912000000,4263000000,3050000000,1260000000,-3493000000,4534000000,3439000000,1231000000,-14185000000,2568000000,4845000000,-1400000000,-7533000000,1796000000,2864000000,679000000,-13850000000,2144000000,1331000000,-54000000,1049000000,2094000000,1175000000,598000000,-490000000,4717000000,3090000000,5443000000,2446000000,1269000000,9831000000,957000000,6715000000,8395000000,3498000000,1261000000,-1732000000,12514000000,10047000000,1406000000,1184000000,5276000000,7743000000,2916000000,2141000000,7109000000,6479000000,2916000000,-2837000000,5710000000,5582000000,6879000000,-5710000000,5561000000,6168000000,6715000000,4865000000,9018000000,9282000000,4083000000,4122000000,7675000000,11313000000,6805000000,6508000000,4649000000,5656000000,3356000000,4769000000,-997000000,-2377000000,-12843000000,6506000000,8450000000,1253000000,4559000000,2840000000,2151000000,-1887000000,-634000000
Operating Cash Flow,2800000000,1178000000,3812000000,2947000000,-1084000000,3531000000,7008000000,756000000,4492000000,4539000000,11088000000,9115000000,-473000000,2900000000,4732000000,6463000000,3544000000,1357000000,5179000000,4972000000,3514000000,3147000000,4998000000,5615000000,4336000000,2798000000,5161000000,7742000000,4149000000,2148000000,6455000000,5210000000,2413000000,2168000000,5369000000,4750000000,2220000000,315000000,3840000000,6078000000,211000000,-361000000,3427000000,3904000000,2075000000,-235000000,3793000000,3729000000,2497000000,1239000000,3781000000,3774000000,2683000000,396000000,5714000000,5351000000,4016000000,-3532000000,1108000000,1134000000,1027000000,3832000000,8015000000,4248000000,979000000,-7357000000,7266000000,9730000000,-17000000,1110000000,4700000000,8958000000,3791000000,1796000000,7375000000,7644000000,4868000000,-3886000000,5685000000,5999000000,7775000000,-5844000000,5231000000,6735000000,5617000000,-207000000,8322000000,8527000000,5138000000,5195000000,8559000000,10733000000,8880000000,8310000000,5759000000,7991000000,5331000000,5808000000,,,4708000000,8289000000,9562000000,3769000000,6014000000,4030000000,2821000000,,
Operating Cash Flow Growth,,-66.64%,-45.61%,289.81%,,-22.21%,-36.80%,-91.71%,,56.52%,134.32%,41.03%,,113.71%,-8.63%,29.99%,0.85%,-56.88%,3.62%,-11.45%,-18.96%,12.47%,-3.16%,-27.47%,4.51%,30.26%,-20.05%,48.60%,71.94%,-0.92%,20.23%,9.68%,8.69%,588.25%,39.82%,-21.85%,952.13%,,12.05%,55.69%,-89.83%,,-9.65%,4.69%,-16.90%,,0.32%,-1.19%,-6.93%,212.88%,-33.83%,-29.47%,-33.19%,,415.70%,371.87%,291.04%,,-86.18%,-73.31%,4.90%,,10.31%,-56.34%,,,54.60%,8.62%,,-38.20%,-36.27%,17.19%,-22.12%,,29.73%,27.42%,-37.39%,,8.68%,-10.93%,38.42%,,-37.14%,-21.02%,9.32%,,-2.77%,-20.55%,-42.14%,-37.48%,48.62%,34.31%,66.57%,43.08%,,,13.23%,-29.93%,,,-21.72%,105.68%,238.96%,,,,,,
Capital Expenditures,-1780000000,-2065000000,-1732000000,-1699000000,-1370000000,-1772000000,-1574000000,-1513000000,-1368000000,-1531000000,-1256000000,-1175000000,-1780000000,-2274000000,-1805000000,-1920000000,-1633000000,-2116000000,-1981000000,-1909000000,-1779000000,-2113000000,-1672000000,-1558000000,-1706000000,-2080000000,-1706000000,-1695000000,-1511000000,-1838000000,-1825000000,-1733000000,-1800000000,-2154000000,-1881000000,-1912000000,-1516000000,-1938000000,-1582000000,-1594000000,-1483000000,-1885000000,-1319000000,-1191000000,-1093000000,-1158000000,-1113000000,-1093000000,-929000000,-1146000000,-919000000,-959000000,-1068000000,-1069000000,-944000000,-977000000,-1069000000,-1617000000,-1747000000,-1638000000,-1490000000,-1807000000,-1578000000,-1341000000,-1296000000,-1606000000,-1839000000,-1565000000,-1838000000,-1423000000,-1076000000,-3252000000,-2468000000,-1295000000,-1953000000,-3366000000,-2316000000,-1927000000,-2238000000,-3197000000,-1881000000,-2367000000,-1610000000,-2621000000,-2511000000,-2078000000,-1108000000,-2572000000,-2606000000,-2524000000,-2046000000,-3044000000,-2841000000,-2417000000,-2087000000,-2840000000,-2054000000,-2250000000,,,-2267000000,-2278000000,-2649000000,-2189000000,-2891000000,-2335000000,-1399000000,,
Acquisitions,0,14000000,435000000,0,0,0,1000000,144000000,0,0,0,0,1340000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-9000000,0,9000000,-256000000,192000000,59000000,5000000,114000000,6000000,144000000,0,94000000,862000000,0,0,2000000,209000000,5000000,-177000000,558000000,143000000,5168000000,44000000,0,235000000,885000000,33000000,2000000,40000000,-36000000,46000000,4027000000,-146000000,731000000,39000000,-39000000,412000000,-5000000,100000000,-10000000,1677000000,132000000,149000000,-10000000,0,15000000,-37000000,-57000000,-68000000,-1745000000,-865000000,-200000000,-438000000,-1881000000,-255000000,-99000000,26000000,-2868000000,-2966000000,-2966000000,,,0,-40000000,0,0,0,-166000000,0,,
Change in Investments,-245000000,-3256000000,-1724000000,2020000000,4693000000,-575000000,821000000,7954000000,924000000,-4368000000,2594000000,-10347000000,-2590000000,-3091000000,-2685000000,-520000000,245000000,-1574000000,-1572000000,-538000000,-4615000000,-4681000000,-1987000000,-3671000000,-1943000000,-5233000000,-4265000000,-3473000000,-5451000000,-7743000000,-6194000000,-2252000000,-3277000000,-2883000000,-2061000000,-4135000000,-4246000000,-2442000000,-2791000000,-5548000000,-2543000000,-103000000,-3814000000,-1689000000,-3392000000,-3078000000,-1118000000,-2957000000,7676000000,6996000000,-2028000000,2491000000,2315000000,4578000000,-2141000000,6341000000,2247000000,2181000000,1471000000,-5844000000,-484000000,-200000000,-3558000000,-1221000000,3602000000,-3641000000,-8904000000,-3382000000,-1980000000,4666000000,-4349000000,854000000,7221000000,2023000000,1552000000,-5038000000,543000000,-6559000000,1573000000,-2749000000,5518000000,5681000000,3849000000,-6539000000,8409000000,-4427000000,8796000000,-8395000000,-2014000000,-5851000000,-1677000000,-9151000000,-6441000000,-20987000000,-4773000000,-5660000000,-3413000000,-3413000000,,,-4743000000,-13013000000,-4510000000,-7441000000,-5666000000,-5070000000,-1847000000,,
Other Investing Activities,48000000,335000000,-496000000,506000000,-8000000,84000000,-418000000,84000000,-47000000,154000000,7000000,421000000,-84000000,15000000,-57000000,-50000000,54000000,24000000,-20000000,-31000000,-150000000,-41000000,-4000000,19000000,-3000000,69000000,22000000,34000000,-13000000,83000000,305000000,-5000000,117000000,-493000000,33000000,24000000,100000000,-31000000,125000000,-70000000,166000000,577000000,-133000000,-217000000,-31000000,90000000,393000000,-165000000,147000000,344000000,-139000000,145000000,-80000000,236000000,52000000,-338000000,-336000000,-32000000,109000000,74000000,165000000,-396000000,-993000000,922000000,256000000,-304000000,-634000000,813000000,-36000000,-380000000,2158000000,273000000,881000000,2640000000,-300000000,-351000000,303000000,2588000000,265000000,404000000,47000000,275000000,237000000,153000000,228000000,242000000,509000000,194000000,-323000000,-638000000,83000000,16000000,219000000,11429000000,43000000,-481000000,318000000,203000000,,,593000000,4702000000,-48000000,-162000000,109000000,766000000,-529000000,,
