Date,Open,Close,High,Low,Volume,MA1,MA2
1972-05-31,5.9480,5.9000,5.9560,5.8890,693315,,
1972-06-01,5.9000,5.8890,5.9560,5.8670,746978,,
1972-06-04,5.8890,5.8890,5.9450,5.8670,3315150,,
1972-06-05,5.8890,5.8220,5.9110,5.8000,904770,,
1972-06-06,5.8220,5.7890,5.8560,5.7890,427624,,
1972-06-07,5.7890,5.7450,5.8340,5.7450,659835,,
1972-06-08,5.7450,5.7110,5.7560,5.6000,4194270,,
1972-06-11,5.7110,5.7110,5.7780,5.6670,910316,,
1972-06-12,5.7110,5.7560,5.7670,5.7110,592875,,
1972-06-13,5.7780,5.8440,5.9000,5.7780,1870976,,
1972-06-14,5.8440,5.8220,5.9000,5.8120,929790,,
1972-06-15,5.8220,5.8440,5.8440,5.7560,477653,,
1972-06-18,5.8440,5.8120,5.8780,5.7890,336915,,
1972-06-19,5.8120,5.8340,5.8670,5.8120,569126,,
1972-06-20,5.8340,5.7780,5.8440,5.7780,1024065,,
1972-06-21,5.7670,5.7450,5.7670,5.6890,816165,,
1972-06-22,5.7330,5.7330,5.7330,5.6780,810506,,
1972-06-25,5.7330,5.7110,5.7330,5.6890,395483,,
1972-06-26,5.7110,5.7560,5.7560,5.7110,558686,,
1972-06-27,5.7560,5.7450,5.7890,5.7330,575494,,
1972-06-28,5.7450,5.7230,5.7670,5.7230,285165,,
1972-06-29,5.6890,5.6780,5.6890,5.6220,525206,,
1972-07-02,5.6780,5.6560,5.6780,5.6220,278933,,
1972-07-04,5.6560,5.6220,5.6670,5.5670,887974,,
1972-07-05,5.6440,5.6890,5.7450,5.6440,746978,,
1972-07-06,5.6890,5.6670,5.7230,5.6220,860029,,
1972-07-09,5.6670,5.6000,5.6780,5.6000,333360,,
1972-07-10,5.6000,5.5670,5.6440,5.5670,347929,,
1972-07-11,5.5670,5.5230,5.6440,5.5230,1146915,,
1972-07-12,5.5230,5.5230,5.5330,5.4560,433035,,
1972-07-13,5.5230,5.5110,5.5560,5.5000,599108,,
1972-07-16,5.5110,5.5110,5.5560,5.4890,371104,,
1972-07-17,5.5110,5.5670,5.5780,5.4220,851681,,
1972-07-18,5.5670,5.6000,5.6890,5.5560,1086829,,
1972-07-19,5.6000,5.5230,5.6220,5.5230,313751,,
1972-07-20,5.5230,5.6000,5.6220,5.5230,383513,,
1972-07-23,5.6440,5.7560,5.7890,5.6440,927056,,
1972-07-24,5.7560,5.7330,5.7670,5.7110,988481,,
1972-07-25,5.7330,5.7110,5.7330,5.7000,274028,,
1972-07-26,5.7110,5.6890,5.7230,5.6890,705915,,
1972-07-27,5.7110,5.7450,5.7890,5.7110,1155251,,
1972-07-30,5.7450,5.7450,5.7890,5.7230,801529,,
1972-07-31,5.7450,5.7450,5.7560,5.6890,906874,,
1972-08-01,5.7450,5.8220,5.8220,5.7450,1362443,,
1972-08-02,5.8560,5.9230,5.9780,5.8560,2756970,,
1972-08-03,5.9230,5.9450,5.9450,5.9230,756203,,
1972-08-06,5.9450,5.9560,5.9780,5.9450,1228388,,
1972-08-07,5.9560,5.9330,5.9560,5.9110,603439,,
1972-08-08,5.9330,5.8440,5.9450,5.8120,1796310,,
1972-08-09,5.8440,5.8560,5.8560,5.8120,765878,,
1972-08-10,5.8670,5.9000,5.9110,5.8670,816874,5.7360,
1972-08-13,5.9230,5.9330,5.9670,5.9230,1201905,5.7370,
1972-08-14,5.9330,5.8890,5.9450,5.8440,716355,5.7370,
1972-08-15,5.8670,5.7330,5.8670,5.7330,724826,5.7350,
1972-08-16,5.7330,5.8340,5.8340,5.7330,1356908,5.7360,
1972-08-17,5.8340,5.8340,5.8560,5.8220,619346,5.7380,
1972-08-20,5.8340,5.8560,5.8560,5.7890,640361,5.7410,
1972-08-21,5.9000,5.9450,5.9670,5.9000,1084028,5.7450,
1972-08-22,5.9560,6.1780,6.1880,5.9560,2018205,5.7540,
1972-08-23,6.1780,6.0890,6.1780,6.0770,1557731,5.7590,
1972-08-24,6.0890,6.0110,6.1000,6.0110,1008720,5.7620,
1972-08-27,6.0110,6.0110,6.0670,6.0110,371104,5.7660,
1972-08-28,6.0000,5.9110,6.0000,5.8340,1243856,5.7680,
