Quarter Ended,2023-03-31,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30,2021-06-30,2021-03-31,2020-12-31,2020-09-30,2020-06-30,2020-03-31,2019-12-31,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-09-30,2013-06-30,2013-03-31,2012-12-31,2012-09-30,2012-06-30,2012-03-31,2011-12-31,2011-09-30,2011-06-30,2011-03-31,2010-12-31,2010-09-30,2010-06-30,2010-03-31,2009-12-31,2009-09-30,2009-06-30,2009-03-31,2008-12-31,2008-09-30,2008-06-30,2008-03-31,2007-12-31,2007-09-30,2007-06-30,2007-03-31,2006-12-31,2006-09-30,2006-06-30,2006-03-31,2005-12-31,2005-09-30,2005-06-30,2005-03-31,2004-12-31,2004-09-30,2004-06-30,2004-03-30,2003-12-31,2003-09-30,2003-06-30,2003-03-31,2002-12-31,2002-09-30,2002-06-30,2002-03-31,2001-12-31,2001-09-30,2001-06-30,2001-03-31,2000-12-31,2000-09-30,2000-06-30,2000-03-31,1999-12-31,1999-09-30,1999-06-30,1999-03-31,1998-12-31,1998-09-30,1998-06-30,1998-03-31,1997-12-31,1997-09-30,1997-06-30,1997-03-31,1996-12-31,1996-09-30,1996-06-30,1996-03-31,1995-12-31
Revenue,41474000000,43999000000,39392000000,40190000000,34476000000,37678000000,35683000000,26752000000,36228000000,35952000000,37501000000,19371000000,34320000000,39715000000,36990000000,38853000000,40342000000,41793000000,37666000000,38920000000,41959000000,41326000000,36451000000,39853000000,39146000000,38654000000,35943000000,39485000000,37718000000,40251000000,38144000000,37263000000,33900000000,35870000000,34920000000,37411000000,35876000000,37570000000,35775000000,37923000000,35649000000,35731000000,32172000000,33211000000,32445000000,33917000000,33047000000,35527000000,33114000000,32428000000,29893000000,35067000000,31566000000,34811000000,30272000000,26810000000,24390000000,27444000000,31746000000,41102000000,43292000000,42233000000,41078000000,44242000000,43005000000,40303000000,37095000000,41878000000,40789000000,46264000000,40510000000,45166000000,44895000000,45599000000,39121000000,42873000000,44723000000,48047000000,36742000000,40582000000,40815000000,41252000000,39338000000,42207000000,39573000000,39874000000,36324000000,42314000000,42446000000,43121000000,40055000000,44499000000,42894000000,43967000000,37280000000,41907000000,37549000000,36837000000,32640000000,37289000000,36584000000,39952000000,36096000000,40265000000,37314000000,38833000000,33960000000,38973000000,35225000000,
Revenue Growth (YoY),20.30%,16.78%,10.39%,50.23%,-4.84%,4.80%,-4.85%,38.10%,5.56%,-9.48%,1.38%,-50.14%,-14.93%,-4.97%,-1.79%,-0.17%,-3.85%,1.13%,3.33%,-2.34%,7.19%,6.91%,1.41%,0.93%,3.79%,-3.97%,-5.77%,5.96%,11.26%,12.21%,9.23%,-0.40%,-5.51%,-4.52%,-2.39%,-1.35%,0.64%,5.15%,11.20%,14.19%,9.88%,5.35%,-2.65%,-6.52%,-2.02%,4.59%,10.55%,1.31%,4.90%,-6.85%,-1.25%,30.80%,29.42%,26.84%,-4.64%,-34.77%,-43.66%,-35.02%,-22.72%,-7.10%,0.67%,4.79%,10.74%,5.64%,5.43%,-12.88%,-8.43%,-7.28%,-9.15%,1.46%,3.55%,5.35%,0.38%,-5.10%,6.47%,5.65%,9.57%,16.47%,-6.60%,-3.85%,3.14%,3.46%,8.30%,-0.25%,-6.77%,-7.53%,-9.31%,-4.91%,-1.04%,-1.92%,7.44%,6.19%,14.23%,19.36%,14.22%,12.38%,2.64%,-7.80%,-9.57%,-7.39%,-1.96%,2.88%,6.29%,3.32%,5.93%,,,,,
Cost of Revenue,36855000000,39896000000,36041000000,34563000000,30393000000,33691000000,31394000000,23897000000,30921000000,34864000000,32884000000,20165000000,33446000000,37180000000,34650000000,36038000000,36297000000,38165000000,33920000000,35556000000,38091000000,37371000000,32534000000,35545000000,34918000000,34817000000,32868000000,34780000000,32577000000,36440000000,33118000000,32071000000,29192000000,37187000000,30944000000,32034000000,31738000000,28387000000,30838000000,33282000000,30751000000,32373000000,27469000000,28645000000,27744000000,33571000000,27622000000,29274000000,26722000000,31588000000,24197000000,27697000000,25098000000,29374000000,24942000000,23765000000,21815000000,26702000000,25400000000,40592000000,35800000000,38746000000,33432000000,36303000000,34774000000,38576000000,37649000000,36181000000,36701000000,39267000000,33653000000,36705000000,35778000000,38333000000,30956000000,33624000000,34054000000,41467000000,28381000000,31660000000,31055000000,32291000000,30568000000,32245000000,29923000000,36968000000,27193000000,33648000000,30815000000,30898000000,29670000000,33495000000,31578000000,32618000000,27879000000,30796000000,27737000000,29258000000,23848000000,26156000000,25354000000,26859000000,25681000000,28659000000,26795000000,28941000000,24926000000,28505000000,26510000000,
Gross Profit,4619000000,4103000000,3351000000,5627000000,4083000000,3987000000,4289000000,2855000000,5307000000,1088000000,4617000000,-794000000,874000000,2535000000,2340000000,2815000000,4045000000,3628000000,3746000000,3364000000,3868000000,3955000000,3917000000,4308000000,4228000000,3837000000,3075000000,4705000000,5141000000,3811000000,5026000000,5192000000,4708000000,-1317000000,3976000000,5377000000,4138000000,9183000000,4937000000,4641000000,4898000000,3358000000,4703000000,4566000000,4701000000,346000000,5425000000,6253000000,6392000000,840000000,5696000000,7370000000,6468000000,5437000000,5330000000,3045000000,2575000000,742000000,6346000000,510000000,7492000000,3487000000,7646000000,7939000000,8231000000,1727000000,-554000000,5697000000,4088000000,6997000000,6857000000,8461000000,9117000000,7266000000,8165000000,9249000000,10669000000,6580000000,8361000000,8922000000,9760000000,8961000000,8770000000,9962000000,9650000000,2906000000,9131000000,8666000000,11631000000,12223000000,10385000000,11004000000,11316000000,11349000000,9401000000,11111000000,9812000000,7579000000,8792000000,11133000000,11230000000,13093000000,10415000000,11606000000,10519000000,9892000000,9034000000,10468000000,8715000000,
"Selling, General & Admin",2506000000,2542000000,2847000000,2759000000,2740000000,3248000000,2947000000,2877000000,2843000000,3530000000,2266000000,1965000000,2432000000,2992000000,2601000000,2725000000,2843000000,2996000000,2882000000,2778000000,2747000000,3088000000,2919000000,2756000000,2764000000,2841000000,2657000000,2784000000,2690000000,3361000000,2386000000,2544000000,3465000000,1510000000,3484000000,3476000000,3372000000,1288000000,3235000000,3203000000,3124000000,2749000000,2919000000,2983000000,2878000000,2382000000,2861000000,2907000000,2734000000,3029000000,2654000000,3137000000,3089000000,3222000000,3005000000,3110000000,3692000000,4091000000,4575000000,7305000000,5094000000,5341000000,4904000000,4952000000,5964000000,5442000000,4489000000,4623000000,4594000000,6407000000,5983000000,6104000000,6094000000,6579000000,5694000000,5920000000,5819000000,6616000000,5901000000,5904000000,6039000000,6593000000,6177000000,6119000000,6309000000,17823000000,2342000000,2336000000,2506000000,16660000000,2338000000,2458000000,2265000000,2772000000,2029000000,2296000000,1777000000,1818000000,1869000000,2231000000,1916000000,3086000000,1669000000,1702000000,1538000000,2006000000,1514000000,1633000000,1472000000,
Operating Expenses,2506000000,2542000000,2847000000,2759000000,2740000000,3248000000,2947000000,2877000000,2843000000,3530000000,2266000000,1965000000,2432000000,2992000000,2601000000,2725000000,2843000000,2996000000,2882000000,2778000000,2747000000,3088000000,2919000000,2756000000,2764000000,2841000000,2657000000,2784000000,2690000000,3361000000,2386000000,2544000000,3465000000,1510000000,3484000000,3476000000,3372000000,1288000000,3235000000,3203000000,3124000000,2749000000,2919000000,2983000000,2878000000,2382000000,2861000000,2907000000,2734000000,3029000000,2654000000,3137000000,3089000000,3222000000,3005000000,3110000000,3692000000,4091000000,4575000000,7305000000,5094000000,7741000000,4904000000,4952000000,5964000000,5442000000,4489000000,4623000000,4594000000,6407000000,5983000000,6104000000,6094000000,5726000000,6020000000,6094000000,6172000000,4815000000,6430000000,6583000000,6632000000,7123000000,6969000000,6890000000,7269000000,7472000000,7302000000,6924000000,7148000000,6520000000,6504000000,6516000000,6128000000,6875000000,5934000000,6143000000,5294000000,5116000000,5540000000,5796000000,6196000000,7721000000,6227000000,5810000000,5629000000,6210000000,5524000000,5408000000,5147000000,
Other Operating Expenses,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2400000000,0,0,0,0,0,0,0,0,0,0,0,-853000000,326000000,174000000,353000000,-1801000000,529000000,679000000,593000000,530000000,792000000,771000000,960000000,-10351000000,4960000000,4588000000,4642000000,-10140000000,4166000000,4058000000,3863000000,4103000000,3905000000,3847000000,3517000000,3298000000,3671000000,3565000000,4280000000,4635000000,4558000000,4108000000,4091000000,4204000000,4010000000,3775000000,3675000000,0
Operating Income,2113000000,1561000000,504000000,2868000000,1343000000,739000000,1342000000,-22000000,2464000000,-2442000000,2351000000,-2759000000,-1558000000,-457000000,-261000000,90000000,1202000000,632000000,864000000,586000000,1121000000,867000000,998000000,1552000000,1464000000,996000000,418000000,1921000000,2451000000,450000000,2640000000,2648000000,1243000000,-2827000000,492000000,1901000000,766000000,7895000000,1702000000,1438000000,1774000000,609000000,1784000000,1583000000,1823000000,-2036000000,2564000000,3346000000,3658000000,-2189000000,3042000000,4233000000,3379000000,2215000000,2325000000,-65000000,-1117000000,-3349000000,1771000000,-6795000000,2398000000,-4254000000,2742000000,2987000000,2267000000,-3715000000,-5043000000,1074000000,-506000000,590000000,874000000,2357000000,3023000000,1540000000,2145000000,3155000000,4497000000,1765000000,1931000000,2339000000,3128000000,1838000000,1801000000,3072000000,2381000000,-4566000000,1829000000,1742000000,4483000000,5703000000,3881000000,4488000000,5188000000,4474000000,3467000000,4968000000,4518000000,2463000000,3252000000,5337000000,5034000000,5372000000,4188000000,5796000000,4890000000,3682000000,3510000000,5060000000,3568000000,
Interest Expense / Income,308000000,318000000,321000000,312000000,308000000,438000000,439000000,453000000,473000000,474000000,498000000,450000000,227000000,255000000,276000000,244000000,245000000,295000000,343000000,301000000,289000000,308000000,298000000,291000000,293000000,301000000,238000000,212000000,200000000,212000000,206000000,190000000,165000000,178000000,204000000,207000000,208000000,212000000,204000000,207000000,206000000,142000000,198000000,188000000,185000000,-2580000000,1096000000,1127000000,1174000000,-2999000000,1469000000,1636000000,1701000000,1577000000,1613000000,1679000000,1921000000,2307000000,2413000000,2442000000,2575000000,2828000000,2733000000,2759000000,2714000000,2453000000,1937000000,2258000000,2135000000,2130000000,2157000000,1919000000,2211000000,3035000000,1867000000,1734000000,1835000000,3501000000,1914000000,1827000000,1957000000,2023000000,2208000000,2221000000,2349000000,3485000000,2287000000,2484000000,2560000000,3885000000,2451000000,2311000000,2213000000,1978000000,1988000000,1825000000,1888000000,2011000000,1830000000,1825000000,2370000000,2504000000,2430000000,2422000000,2356000000,2386000000,2458000000,2439000000,2421000000,
Other Expense / Income,-448000000,47000000,1205000000,1736000000,4874000000,-10926000000,-992000000,-1218000000,-1951000000,891000000,-898000000,-4292000000,-639000000,1724000000,-520000000,-357000000,-616000000,358000000,-571000000,-1061000000,-1078000000,-1309000000,-1063000000,-997000000,-1073000000,1826000000,-1203000000,-1164000000,-1397000000,-1662000000,-857000000,-827000000,-700000000,156000000,-735000000,-420000000,-701000000,-665000000,-592000000,-587000000,-554000000,-1295000000,-658000000,-202000000,-398000000,-910000000,-375000000,-385000000,-287000000,528000000,-313000000,-253000000,-457000000,-278000000,-384000000,-3990000000,-1384000000,-427000000,-18000000,-97000000,-342000000,-2399000000,227000000,-645000000,-346000000,-394000000,-572000000,-503000000,-236000000,-939000000,-393000000,-639000000,-187000000,-516000000,-185000000,-5000000,-109000000,38000000,-98000000,-99000000,-62000000,-43000000,-158000000,-5000000,1150000000,-881000000,523000000,297000000,297000000,224000000,97000000,2029000000,-122000000,-154000000,-104000000,-226000000,-238000000,-701000000,-57000000,-57000000,-15859000000,19000000,51000000,-324000000,181000000,-479000000,-92000000,40000000,100000000,
