Quarter Ended,2023-03-31,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30,2021-06-30,2021-03-31,2020-12-31,2020-09-30,2020-06-30,2020-03-31,2019-12-31,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-09-30,2013-06-30,2013-03-31,2012-12-31,2012-09-30,2012-06-30,2012-03-31,2011-12-31,2011-09-30,2011-06-30,2011-03-31,2010-12-31,2010-09-30,2010-06-30,2010-03-31,2009-12-31,2009-09-30,2009-06-30,2009-03-31,2008-12-31,2008-09-30,2008-06-30,2008-03-31,2007-12-31,2007-09-30,2007-06-30,2007-03-31,2006-12-31,2006-09-30,2006-06-30,2006-03-31,2005-12-31,2005-09-30,2005-06-30,2005-03-31,2004-12-31,2004-09-30,2004-06-30,2004-03-30,2003-12-31,2003-09-30,2003-06-30,2003-03-31,2002-12-31,2002-09-30,2002-06-30,2002-03-31,2001-12-31,2001-09-30,2001-06-30,2001-03-31,2000-12-31,2000-09-30,2000-06-30,2000-03-31,1999-12-31,1999-09-30,1999-06-30,1999-03-31,1998-12-31,1998-09-30,1998-06-30,1998-03-31,1997-12-31,1997-09-30,1997-06-30,1997-03-31,1996-12-31,1996-09-30,1996-06-30,1996-03-31,1995-12-31
Market Capitalization,50654992727,46758346371,45026660202,44739988401,67551415392,83001936017,56565863791,59315836661,48735188418,34970376494,26496070713,24180402853,19270923674,36873542054,36546964637,40813054567,34993059515,30430960895,36867970476,44113437060,44005855253,49614054378,47541909038,44558426775,46248364527,48201158377,47957017289,49938537936,53598450870,55917999152,53843561470,59670097132,63083031005,59654654964,57362396615,68171413937,61402202113,60862657818,66462196866,60815757779,50151185224,49373972848,37605907403,36598964306,47400590512,40889078217,36744343848,52376971536,56327774453,58305879163,42097267351,34338333607,41944230595,33071008760,23225499119,17440625855,6343170960,5470479175,11759021300,10784020298,12554553875,14201683426,17825557118,17710990872,14838122658,14185592851,15217374824,13000343597,14713600883,14340762386,18271072941,18845213420,20744129585,26786337749,25708513293,28652694593,25020648676,29296686560,19730316706,20115392717,13657533412,17066497816,17864199823,29003669056,29790975995,28466977244,31434665770,44916138623,51601630689,44447766730,30724024197,51827319930,55422952579,64392348924,60790897928,68336020726,68688429713,71015537549,56946671006,71566340026,78548411745,58271706600,53890065227,45251618508,37321180427,38368124602,,,,
Market Cap Growth,-25.01%,-43.67%,-20.40%,-24.57%,38.61%,137.35%,113.49%,145.31%,152.89%,-5.16%,-27.50%,-40.75%,-44.93%,21.17%,-0.87%,-7.48%,-20.48%,-38.66%,-22.45%,-1.00%,-4.85%,2.93%,-0.87%,-10.77%,-13.71%,-13.80%,-10.93%,-16.31%,-15.04%,-6.26%,-6.13%,-12.47%,2.74%,-1.98%,-13.69%,12.09%,22.43%,23.27%,76.73%,66.17%,5.80%,20.75%,2.34%,-30.12%,-15.85%,-29.87%,-12.72%,52.53%,34.29%,76.31%,81.25%,96.89%,561.25%,504.54%,97.51%,61.73%,-49.48%,-61.48%,-34.03%,-39.11%,-15.39%,0.11%,17.14%,36.23%,0.85%,-1.08%,-16.71%,-31.02%,-29.07%,-46.46%,-28.93%,-34.23%,-17.09%,-8.57%,30.30%,42.44%,83.20%,71.66%,10.45%,-30.65%,-54.16%,-40.05%,-43.17%,-35.43%,-42.27%,-35.95%,2.31%,-13.34%,-6.89%,-30.97%,-49.46%,-24.16%,-19.31%,-9.33%,6.75%,-4.51%,-12.55%,21.87%,5.67%,58.15%,110.47%,51.88%,,,,,,,,
Enterprise Value,110083992727,102937346371,99280660202,106150988401,129149415392,138957936017,122111863791,130857836661,114636188418,104292376494,97093070713,99560402853,85337923674,103878542054,102143964637,105073054567,98979059515,96339960895,103138970476,109126437060,107588855253,112764054378,109031909038,101570426775,103631364527,106078158377,105466017289,102695537936,178676450870,108458999152,165582561470,170299097132,173491031005,168068654964,163235396615,175305413937,165423202113,161082657818,162332196866,155310757779,143687185224,138772972848,124670907403,121394964306,132646590512,123229078217,115415343848,133454971536,136647774453,147488879163,140796267351,133401333607,147693230595,143812008760,129444499119,126495625855,130836170960,135998479175,143658021300,146743020298,148008553875,147705683426,153601557118,155746990872,155150122658,157121592851,144116374824,138493343597,144638600883,139212762386,131809072941,147153213420,158661129585,166380337749,172999513293,181105694593,178276648676,185892686560,172079316706,177538392717,159100533412,172727497816,153530199823,171440669056,167226975995,177795977244,180965665770,201664138623,202443630689,191122766730,172255024197,185136319930,186070952579,191094348924,179315897928,187458020726,180529429713,178894537549,156932671006,172141340026,178078411745,204327706600,196303065227,189547618508,176201180427,178306124602,,,,134010000000
PE Ratio,17.55,-23.60,5.00,3.83,5.84,4.63,19.73,17.34,12.26,-27.34,-162.55,-11.39,-6.23,784.54,22.80,18.82,11.34,8.28,5.84,6.40,5.59,6.42,10.75,11.71,12.40,10.50,6.62,5.89,6.18,7.58,14.95,26.59,45.22,48.46,5.23,5.98,5.42,5.09,11.74,10.10,8.61,8.80,2.13,2.07,2.49,2.02,5.41,7.67,8.02,8.89,5.80,5.23,6.73,12.17,-5.60,-3.29,-0.39,-0.37,-1.01,-0.91,-5.14,-5.08,-3.22,-1.70,-1.29,-1.12,-2.15,-5.44,-17.15,9.96,15.63,9.37,10.58,8.82,11.02,14.03,19.32,122.58,17.10,23.69,13.67,-17.15,-3.01,-4.60,-3.91,-5.21,46.43,19.90,21.22,12.88,7.35,11.76,7.57,8.92,9.41,10.77,10.75,3.23,2.51,3.14,3.42,8.49,8.59,7.76,7.17,8.76,,,,
PS Ratio,0.31,0.30,0.30,0.30,0.50,0.61,0.42,0.44,0.38,0.28,0.20,0.19,0.13,0.24,0.23,0.26,0.22,0.19,0.23,0.28,0.28,0.32,0.31,0.29,0.30,0.32,0.31,0.32,0.35,0.37,0.37,0.42,0.44,0.41,0.39,0.47,0.42,0.41,0.46,0.43,0.37,0.37,0.28,0.28,0.35,0.30,0.27,0.40,0.43,0.45,0.32,0.26,0.34,0.28,0.21,0.16,0.05,0.04,0.07,0.06,0.07,0.08,0.11,0.11,0.09,0.09,0.09,0.08,0.09,0.08,0.10,0.11,0.12,0.16,0.15,0.17,0.15,0.18,0.12,0.12,0.08,0.11,0.11,0.18,0.19,0.18,0.19,0.27,0.30,0.26,0.18,0.31,0.33,0.40,0.40,0.46,0.48,0.50,0.39,0.48,0.51,0.38,0.35,0.30,0.25,0.26,,,,
PB Ratio,1.20,1.08,1.07,1.01,1.50,1.71,1.55,1.71,1.44,1.14,0.80,0.78,0.65,1.11,1.03,1.13,0.96,0.85,1.01,1.21,1.21,1.40,1.43,1.38,1.51,1.65,1.52,1.60,1.81,1.95,1.96,2.27,2.53,2.44,2.19,2.55,2.29,2.33,3.25,3.17,2.85,3.10,2.00,2.15,2.85,2.72,6.14,9.87,23.22,-86.64,-23.74,-9.61,-7.66,-4.23,-2.68,-1.62,-0.36,-0.35,-5.91,-6.41,1.77,2.52,15.33,-9.10,-4.00,-4.09,1.66,0.89,1.22,1.07,1.31,1.33,1.32,1.54,1.83,2.11,1.94,2.52,2.41,2.49,2.03,3.05,1.79,2.90,4.01,3.66,2.35,3.27,3.21,2.39,1.68,2.10,1.95,2.33,2.26,2.60,2.78,3.03,2.40,3.10,3.65,1.90,1.82,1.55,1.37,1.43,,,,
Debt / Equity Ratio,3.29,3.21,3.05,2.92,3.01,2.85,3.95,4.24,4.51,5.27,4.75,5.68,5.64,4.68,4.36,4.32,4.32,4.29,4.19,4.19,4.35,4.34,4.49,4.53,4.77,4.90,4.36,4.49,4.76,4.64,4.60,4.69,4.92,4.88,4.56,4.43,4.37,4.39,5.40,5.62,6.10,6.59,5.34,5.86,6.05,6.62,15.90,18.56,41.90,-154.51,-65.82,-32.84,-23.76,-16.83,-15.22,-12.39,-8.28,-9.70,-78.83,-98.65,23.79,29.99,140.34,-87.38,-45.06,-49.59,16.85,10.50,12.54,11.40,10.13,11.16,10.29,9.31,11.71,12.40,13.31,15.43,22.01,21.66,24.46,30.03,16.84,17.06,22.23,21.51,12.50,12.71,10.46,8.93,8.89,6.51,5.47,5.52,5.40,5.50,5.54,5.67,5.23,5.40,5.69,5.50,5.54,5.65,5.79,5.94,,,,6.08
Current Ratio,1.20,1.20,1.20,1.16,1.18,1.20,1.20,1.21,1.21,1.20,1.20,1.34,1.32,1.16,1.17,1.20,1.22,1.20,1.21,1.21,1.23,1.24,1.20,1.20,1.24,1.20,1.16,1.24,,1.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.94,0.94,0.88,0.74,0.78,0.82,0.88,0.88,0.96,1.05,1.08,1.08,1.08,1.03,1.01,1.09,1.11,1.06,1.01,1.11,1.02,1.01,1.02,0.96,,,,0.95
Dividend Yield,6.36%,1.28%,1.34%,0.91%,0.59%,0.49%,,,,,,,3.08%,1.63%,1.64%,1.47%,1.71%,1.97%,1.63%,1.36%,2.53%,1.20%,1.25%,1.34%,1.72%,1.24%,1.24%,1.19%,2.96%,1.06%,1.11%,1.00%,0.93%,0.81%,0.85%,0.73%,0.80%,0.65%,0.59%,0.65%,0.76%,0.39%,0.51%,0.52%,0.40%,,,,,,,,,,,,,,,,,,,,,,0.62%,1.44%,1.26%,1.29%,1.01%,0.98%,0.88%,0.68%,0.71%,0.64%,0.73%,0.63%,0.93%,0.91%,1.34%,1.07%,1.02%,0.63%,0.61%,0.95%,1.73%,1.21%,1.07%,1.00%,2.73%,5.30%,1.11%,0.95%,0.93%,0.83%,0.82%,0.80%,0.91%,38.77%,0.66%,0.88%,0.95%,1.13%,1.25%,1.21%,,,,
Payout Ratio,181.80%,46.90%,-71.40%,58.80%,-12.80%,3.30%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,-30.00%,-35.70%,136.40%,375.00%,51.70%,-750.00%,60.00%,55.60%,63.60%,23.80%,37.50%,29.40%,50.00%,-78.90%,62.50%,30.00%,64.50%,31.90%,27.30%,27.80%,51.70%,-25.50%,56.80%,37.90%,50.00%,5.00%,31.20%,32.30%,24.40%,12.50%,11.60%,18.50%,13.50%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,-1.80%,-58.80%,-13.20%,-250.00%,-32.30%,15.20%,20.80%,-52.60%,66.70%,15.60%,9.30%,-17.50%,-1000.00%,43.50%,20.40%,-125.00%,-55.60%,32.30%,-16.40%,-5.40%,-76.90%,-71.40%,51.70%,52.60%,94.10%,-474.80%,29.40%,33.90%,50.80%,24.20%,28.50%,53.10%,52.10%,1168.10%,2.90%,28.70%,45.90%,20.20%,31.80%,38.30%,68.60%,22.30%,65.90%,
