Quarter Ended,2023-03-31,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30,2021-06-30,2021-03-31,2020-12-31,2020-09-30,2020-06-30,2020-03-31,2019-12-31,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-09-30,2013-06-30,2013-03-31,2012-12-31,2012-09-30,2012-06-30,2012-03-31,2011-12-31,2011-09-30,2011-06-30,2011-03-31,2010-12-31,2010-09-30,2010-06-30,2010-03-31,2009-12-31,2009-09-30
Cash & Equivalents,18227000000,19153000000,20745000000,16710000000,16349000000,20067000000,17365000000,22920000000,21609000000,19992000000,26939000000,28228000000,38506000000,19069000000,20051000000,17072000000,17176000000,20844000000,18435000000,15087000000,14256000000,15512000000,12792000000,16598000000,12864000000,12574000000,17576000000,20518000000,14894000000,15238000000,15433000000,17627000000,15776000000,18954000000,18060000000,19864000000,19426000000,20021000000,20355000000,19697000000,20643000000,18422000000,23320000000,22184000000,17378000000,16071000000,21421000000,21596000000,22176000000,22151000000,27466000000,26773000000,36051000000,22679000000,25092000000
Short-Term Investments,42264000000,45773000000,40615000000,38603000000,38347000000,35258000000,31668000000,30655000000,32354000000,35255000000,34524000000,32105000000,33940000000,30775000000,34742000000,34974000000,33251000000,32816000000,29348000000,28929000000,28267000000,28834000000,27853000000,28429000000,34163000000,27968000000,28667000000,24047000000,27478000000,26214000000,26765000000,25574000000,25950000000,27088000000,26605000000,27057000000,25059000000,24497000000,20184000000,18190000000,11559000000,13718000000,15018000000,15593000000,18924000000,20404000000,11680000000,12298000000,8618000000,6795000000,7333000000,6154000000,153000000,14051000000,19146000000
Cash & Cash Equivalents,60491000000,64926000000,61360000000,55313000000,54696000000,55325000000,49033000000,53575000000,53963000000,55247000000,61463000000,60333000000,72446000000,49844000000,54793000000,52046000000,50427000000,53660000000,47783000000,44016000000,42523000000,44346000000,40645000000,45027000000,47027000000,40542000000,46243000000,44565000000,42372000000,41452000000,42198000000,43201000000,41726000000,46042000000,44665000000,46921000000,44485000000,44518000000,40539000000,37887000000,32202000000,32140000000,38338000000,37777000000,36302000000,36475000000,33101000000,33894000000,30794000000,28946000000,34799000000,32927000000,36204000000,36730000000,44238000000
Cash Growth,10.59%,17.35%,25.14%,3.24%,1.36%,0.14%,-20.22%,-11.20%,-25.51%,10.84%,12.17%,15.92%,43.67%,-7.11%,14.67%,18.24%,18.59%,21.00%,17.56%,-2.25%,-9.58%,9.38%,-12.11%,1.04%,10.99%,-2.20%,9.59%,3.16%,1.55%,-9.97%,-5.52%,-7.93%,-6.20%,3.42%,10.18%,23.84%,38.14%,38.51%,5.74%,0.29%,-11.29%,-11.88%,15.82%,11.46%,17.89%,26.01%,-4.88%,2.94%,-14.94%,-21.19%,-21.34%,,,,
Receivables,13702000000,13333000000,14021000000,12417000000,11946000000,7394000000,8091000000,8167000000,9126000000,8035000000,9939000000,7946000000,7536000000,6797000000,6924000000,10362000000,12116000000,6549000000,10376000000,9663000000,10769000000,8164000000,10013000000,9796000000,10898000000,8700000000,10737000000,10461000000,8988000000,8337000000,10486000000,10604000000,11569000000,9078000000,10892000000,11480000000,11734000000,8535000000,11067000000,11119000000,12559000000,10395000000,13015000000,11117000000,12485000000,9964000000,10512000000,11789000000,12990000000,8699000000,8725000000,8662000000,8694000000,7518000000,7725000000
Inventory,17758000000,15366000000,16367000000,16859000000,14838000000,12988000000,14534000000,13102000000,12066000000,10235000000,10934000000,10280000000,10799000000,10398000000,11797000000,11447000000,11108000000,9816000000,11334000000,10833000000,11461000000,10663000000,11789000000,11289000000,14686000000,11040000000,15427000000,15026000000,15817000000,13764000000,14368000000,14218000000,14051000000,13642000000,15210000000,15200000000,14837000000,14039000000,15357000000,14777000000,15200000000,14714000000,15672000000,15433000000,15844000000,14324000000,15220000000,14105000000,13991000000,12125000000,13044000000,11533000000,11192000000,10107000000,10610000000
Other Current Assets,6881000000,6826000000,6523000000,6505000000,7114000000,6396000000,6133000000,7765000000,6936000000,7407000000,6841000000,8938000000,6918000000,7953000000,7051000000,7451000000,6439000000,5268000000,5355000000,5939000000,6682000000,5571000000,14171000000,18969000000,6987000000,15921000000,4089000000,4578000000,3857000000,5855000000,15289000000,16531000000,15885000000,14864000000,15873000000,18042000000,15769000000,14409000000,14201000000,13962000000,12609000000,12747000000,5082000000,5906000000,4585000000,4160000000,5177000000,6196000000,5174000000,3283000000,5016000000,4685000000,4267000000,4892000000,5771000000
Total Current Assets,98832000000,100451000000,98271000000,91094000000,88594000000,82103000000,77791000000,82609000000,82091000000,80924000000,89177000000,87497000000,97699000000,74992000000,80565000000,81306000000,80090000000,75293000000,74848000000,70451000000,71435000000,68744000000,76618000000,85081000000,79598000000,76203000000,76496000000,74630000000,71034000000,69408000000,82341000000,84554000000,83231000000,83626000000,86640000000,91643000000,86825000000,81501000000,81164000000,77745000000,72570000000,69996000000,72107000000,70233000000,69216000000,64923000000,64010000000,65984000000,62949000000,53053000000,61584000000,57807000000,60357000000,59247000000,68344000000
"Property, Plant & Equipment",78743000000,77949000000,76573000000,77250000000,78289000000,79044000000,79294000000,79418000000,78140000000,77451000000,76347000000,76667000000,79265000000,80805000000,80496000000,81126000000,81388000000,82317000000,83257000000,82747000000,81554000000,80241000000,78585000000,75909000000,76787000000,68055000000,68543000000,64457000000,59389000000,54184000000,50892000000,47057000000,41257000000,38367000000,37215000000,36404000000,33525000000,31648000000,31906000000,30418000000,28662000000,27627000000,31071000000,30169000000,27941000000,26254000000,25023000000,25169000000,23043000000,21803000000,22058000000,21114000000,20751000000,21414000000,21786000000
Long-Term Investments,54124000000,50767000000,49461000000,47960000000,46810000000,45844000000,43879000000,44389000000,42668000000,40189000000,38237000000,36723000000,33469000000,34917000000,34239000000,34604000000,33714000000,34298000000,33241000000,31784000000,32029000000,30281000000,29841000000,28385000000,31956000000,25997000000,29525000000,28110000000,29424000000,27701000000,27136000000,26303000000,26561000000,25291000000,24502000000,23884000000,24519000000,23277000000,20795000000,19642000000,15262000000,14519000000,15160000000,14656000000,14106000000,13929000000,16452000000,15747000000,15213000000,17886000000,8691000000,8296000000,8430000000,9425000000,7641000000
Goodwill and Intangibles,4968000000,4945000000,4968000000,5013000000,5058000000,5087000000,5126000000,5169000000,5185000000,5230000000,5245000000,5282000000,5225000000,5337000000,5408000000,5457000000,5518000000,5579000000,5651000000,5720000000,5790000000,5849000000,5854000000,5989000000,6193000000,6149000000,6354000000,6433000000,5891000000,5947000000,6083000000,6181000000,6297000000,6410000000,6644000000,6793000000,7005000000,7228000000,8317000000,8591000000,8965000000,8782000000,37312000000,37597000000,38120000000,39033000000,40381000000,41129000000,41505000000,43660000000,43010000000,43006000000,44177000000,45219000000,46018000000
Other Long-Term Assets,30337000000,29925000000,31256000000,32200000000,32741000000,32640000000,32467000000,30218000000,30327000000,31400000000,30665000000,31366000000,30966000000,31986000000,30821000000,31244000000,32422000000,29852000000,28714000000,27939000000,27918000000,27367000000,38604000000,44936000000,36259000000,45286000000,36658000000,36819000000,37880000000,37098000000,22548000000,21717000000,22572000000,23807000000,21907000000,20374000000,21732000000,22690000000,26357000000,26714000000,28316000000,28498000000,-194000000,-668000000,811000000,464000000,2631000000,2386000000,3136000000,2496000000,1895000000,1676000000,2306000000,990000000,555000000
Total Long-Term Assets,168172000000,163586000000,162258000000,162423000000,162898000000,162615000000,160766000000,159194000000,156320000000,154270000000,150494000000,150038000000,148925000000,153045000000,150964000000,152431000000,153042000000,152046000000,150863000000,148190000000,147291000000,143738000000,152884000000,155219000000,151195000000,145487000000,141080000000,135819000000,132584000000,124930000000,106659000000,101258000000,96687000000,93875000000,90268000000,87455000000,86781000000,84843000000,87375000000,85365000000,81205000000,79426000000,83349000000,81754000000,80978000000,79680000000,84487000000,84431000000,82897000000,85845000000,75654000000,74092000000,75664000000,77048000000,76000000000
Total Assets,267004000000,264037000000,260529000000,253517000000,251492000000,244718000000,238557000000,241803000000,238411000000,235194000000,239671000000,237535000000,246624000000,228037000000,231529000000,233737000000,233132000000,227339000000,225711000000,218641000000,218726000000,212482000000,229502000000,240300000000,230793000000,221690000000,217576000000,210449000000,203618000000,194338000000,189000000000,185812000000,179918000000,177501000000,176908000000,179098000000,173606000000,166344000000,168539000000,163110000000,153775000000,149422000000,155456000000,151987000000,150194000000,144603000000,148497000000,150415000000,145846000000,138898000000,137238000000,131899000000,136021000000,136295000000,144344000000
Accounts Payable,28931000000,27486000000,26886000000,25890000000,25240000000,20391000000,18648000000,21431000000,20446000000,19928000000,20914000000,15154000000,20031000000,21018000000,21406000000,22717000000,24560000000,22297000000,25147000000,24660000000,26039000000,23929000000,23265000000,23404000000,28725000000,23333000000,28628000000,26959000000,26766000000,24062000000,25188000000,24247000000,25187000000,22529000000,24773000000,26992000000,27715000000,23621000000,27242000000,26820000000,27117000000,25166000000,26313000000,26425000000,27576000000,24551000000,25646000000,25412000000,24739000000,21497000000,22137000000,20755000000,20450000000,18725000000,20322000000
Current Debt,37010000000,38778000000,35084000000,32306000000,33037000000,33720000000,34819000000,34190000000,35068000000,36913000000,35773000000,40023000000,45061000000,37400000000,34774000000,33149000000,33272000000,31891000000,30865000000,28264000000,29347000000,26965000000,25607000000,30008000000,33701000000,23797000000,25374000000,21230000000,21588000000,19562000000,17002000000,14403000000,14351000000,14944000000,13386000000,15803000000,14849000000,14158000000,11439000000,9961000000,6972000000,5518000000,6278000000,5092000000,5350000000,5800000000,1543000000,2027000000,1743000000,1616000000,5621000000,5524000000,8773000000,10221000000,12815000000
Total Current Liabilities,90185000000,91173000000,86003000000,79398000000,79555000000,74408000000,71951000000,74811000000,76323000000,79910000000,80603000000,77904000000,91292000000,84905000000,84252000000,84294000000,85303000000,82237000000,84116000000,80292000000,82716000000,76890000000,81849000000,94306000000,90904000000,85181000000,82535000000,76043000000,74987000000,71217000000,72739000000,69528000000,67342000000,65657000000,67329000000,72347000000,69222000000,62412000000,62563000000,60021000000,56539000000,53992000000,57623000000,56651000000,56577000000,53226000000,51748000000,53848000000,51682000000,47157000000,52569000000,50347000000,52038000000,52435000000,58780000000
Other Current Liabilities,24244000000,24909000000,24033000000,21202000000,21278000000,20297000000,18484000000,19190000000,20809000000,23069000000,23916000000,22727000000,26200000000,26487000000,28072000000,28428000000,27471000000,28049000000,28104000000,27368000000,27330000000,25996000000,32977000000,40894000000,28478000000,38051000000,28533000000,27854000000,26633000000,27593000000,30549000000,30878000000,27804000000,28184000000,29170000000,29552000000,26658000000,24633000000,23882000000,23240000000,22450000000,23308000000,25032000000,25134000000,23651000000,22875000000,24559000000,26409000000,25200000000,24044000000,24811000000,24068000000,22815000000,23489000000,25643000000
Long-Term Debt,77411000000,75921000000,77523000000,78081000000,76768000000,75659000000,74134000000,76698000000,76179000000,72981000000,81793000000,87150000000,81439000000,65924000000,69692000000,73412000000,73812000000,73060000000,71475000000,69995000000,69471000000,67254000000,67066000000,59081000000,57200000000,51326000000,53726000000,54090000000,49561000000,43549000000,40401000000,39114000000,33907000000,31721000000,27719000000,24273000000,22918000000,22025000000,20684000000,16787000000,11452000000,10532000000,10375000000,9701000000,8874000000,8033000000,10122000000,9994000000,10741000000,9974000000,2945000000,2637000000,5401000000,5562000000,2659000000
Total Long-Term Liabilities,102588000000,100579000000,104759000000,105744000000,104874000000,104495000000,106285000000,109116000000,107645000000,105607000000,111060000000,116138000000,111015000000,97175000000,98506000000,102354000000,103191000000,102325000000,100687000000,99713000000,100552000000,99392000000,104176000000,100269000000,93675000000,92434000000,90026000000,90403000000,87306000000,82798000000,81126000000,80614000000,75753000000,75820000000,66016000000,64166000000,61544000000,60758000000,68615000000,64085000000,58901000000,58430000000,55204000000,53726000000,53477000000,52386000000,51133000000,54535000000,55078000000,54582000000,53953000000,50653000000,53932000000,54905000000,64578000000
Other Long-Term Liabilities,25177000000,24658000000,27236000000,27663000000,28106000000,28836000000,32151000000,32418000000,31466000000,32626000000,29267000000,28988000000,29576000000,31251000000,28814000000,28942000000,29379000000,29265000000,29212000000,29718000000,31081000000,32138000000,37110000000,41188000000,36475000000,41108000000,36300000000,36313000000,37745000000,39249000000,40725000000,41500000000,41846000000,44099000000,38297000000,39893000000,38626000000,38733000000,47931000000,47298000000,47449000000,47898000000,44829000000,44025000000,44603000000,44353000000,41011000000,44541000000,44337000000,44608000000,51008000000,48016000000,48531000000,49343000000,61919000000
Total Liabilities,192773000000,191752000000,190762000000,185142000000,184429000000,178903000000,178236000000,183927000000,183968000000,185517000000,191663000000,194042000000,202307000000,182080000000,182758000000,186648000000,188494000000,184562000000,184803000000,180005000000,183268000000,176282000000,186025000000,194575000000,184579000000,177615000000,172561000000,166446000000,162293000000,154015000000,153865000000,150142000000,143095000000,141477000000,133345000000,136513000000,130766000000,123170000000,131178000000,124106000000,115440000000,112422000000,112827000000,110377000000,110054000000,105612000000,102881000000,108383000000,106760000000,101739000000,106522000000,101000000000,105970000000,107340000000,123358000000
Total Debt,114421000000,114699000000,112607000000,110387000000,109805000000,109379000000,108953000000,110888000000,111247000000,109894000000,117566000000,127173000000,126500000000,103324000000,104466000000,106561000000,107084000000,104951000000,102340000000,98259000000,98818000000,94219000000,92673000000,89089000000,90901000000,75123000000,79100000000,75320000000,71149000000,63111000000,57403000000,53517000000,48258000000,46665000000,41105000000,40076000000,37767000000,36183000000,32123000000,26748000000,18424000000,16050000000,16653000000,14793000000,14224000000,13833000000,11665000000,12021000000,12484000000,11590000000,8566000000,8161000000,14174000000,15783000000,15474000000
Debt Growth,4.20%,4.86%,3.35%,-0.45%,-1.30%,-0.47%,-7.33%,-12.81%,-12.06%,6.36%,12.54%,19.34%,18.13%,-1.55%,2.08%,8.45%,8.36%,11.39%,10.43%,10.29%,8.71%,25.42%,17.16%,18.28%,27.76%,19.03%,37.80%,40.74%,47.43%,35.24%,39.65%,33.54%,27.78%,28.97%,27.96%,49.83%,104.99%,125.44%,92.90%,80.82%,29.53%,16.03%,42.76%,23.06%,13.94%,19.35%,36.18%,47.30%,-11.92%,-26.57%,-44.64%,,,,
Common Stock,26337000000,26442000000,26672000000,27276000000,27030000000,27076000000,26941000000,26859000000,26681000000,26556000000,26162000000,26101000000,26028000000,26088000000,25942000000,25779000000,25675000000,25577000000,25517000000,25479000000,25351000000,25385000000,25796000000,26343000000,27027000000,26998000000,27256000000,27750000000,27478000000,27622000000,27760000000,28177000000,28835000000,28953000000,31957000000,31965000000,31903000000,31904000000,31856000000,34223000000,34181000000,34239000000,36850000000,36806000000,36741000000,36798000000,36737000000,34818000000,34753000000,34663000000,24056000000,24057000000,24055000000,24055000000,18791000000
Retained Earnings,51318000000,49251000000,47910000000,45554000000,43879000000,41937000000,40212000000,37806000000,34988000000,31962000000,29134000000,25104000000,25885000000,26860000000,27609000000,25807000000,23939000000,22322000000,20865000000,18873000000,17028000000,17627000000,24230000000,28547000000,28195000000,26168000000,25417000000,23785000000,21508000000,20285000000,14912000000,14512000000,14825000000,14577000000,13975000000,13162000000,13457000000,13816000000,12903000000,12191000000,11017000000,10057000000,11533000000,9889000000,8283000000,7183000000,6595000000,4729000000,1951000000,266000000,-236000000,-2195000000,-3529000000,-4394000000,-899000000
Comprehensive Income,-7778000000,-7901000000,-9313000000,-8876000000,-8814000000,-9269000000,-13003000000,-12996000000,-13326000000,-13488000000,-11955000000,-11901000000,-11800000000,-11156000000,-8997000000,-8770000000,-8849000000,-9039000000,-8321000000,-8171000000,-8081000000,-8011000000,-7783000000,-9369000000,-9250000000,-9330000000,-7953000000,-7905000000,-8054000000,-8036000000,-8034000000,-7543000000,-7331000000,-8073000000,-2930000000,-3133000000,-3138000000,-3113000000,-7981000000,-8040000000,-7611000000,-8052000000,-6724000000,-5995000000,-5768000000,-5861000000,1412000000,1571000000,1494000000,1251000000,-1073000000,1153000000,1713000000,1588000000,677000000
Shareholders' Equity,69877000000,67792000000,65269000000,63954000000,62095000000,59744000000,54150000000,51669000000,48343000000,45030000000,43341000000,39304000000,40113000000,41792000000,44554000000,42816000000,40765000000,38860000000,38061000000,36181000000,34298000000,35001000000,42243000000,45521000000,45972000000,43836000000,44720000000,43630000000,40932000000,39871000000,34638000000,35146000000,36329000000,35457000000,43002000000,41994000000,42222000000,42607000000,36778000000,38374000000,37587000000,36244000000,41659000000,40700000000,39256000000,38120000000,44744000000,41118000000,38198000000,36180000000,22747000000,23015000000,22239000000,21249000000,18569000000
Net Cash / Debt,-53930000000,-49773000000,-51247000000,-55074000000,-55109000000,-54054000000,-59920000000,-57313000000,-57284000000,-54647000000,-56103000000,-66840000000,-54054000000,-53480000000,-49673000000,-54515000000,-56657000000,-51291000000,-54557000000,-54243000000,-56295000000,-49873000000,-52028000000,-44062000000,-43874000000,-34581000000,-32857000000,-30755000000,-28777000000,-21659000000,-15205000000,-10316000000,-6532000000,-623000000,3560000000,6845000000,6718000000,8335000000,8416000000,11139000000,13778000000,16090000000,21685000000,22984000000,22078000000,22642000000,21436000000,21873000000,18310000000,17356000000,26233000000,24766000000,22030000000,20947000000,28764000000
Net Cash / Debt Growth,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-57.70%,-38.55%,-51.24%,-48.20%,-61.19%,-51.54%,-37.59%,-28.94%,1.16%,5.08%,20.58%,30.46%,-18.29%,-11.68%,-16.89%,-17.14%,-8.80%,,,,
Net Cash Per Share,-38.47,-34.95,-35.17,-37.59,-37.49,-36.75,-40.85,-39.04,-39.13,-37.66,-38.99,-46.68,-37.54,-37.16,-34.45,-37.91,-39.45,-35.84,-38.13,-37.91,-39.37,-34.47,-35.35,-29.01,-28.64,-22.37,-20.87,-19.45,-18.21,-13.58,-9.40,-6.21,-3.87,-0.37,2.11,4.06,3.97,4.94,5.01,6.64,9.14,9.61,13.04,13.75,13.05,13.57,12.74,13.22,10.08,10.02,16.09,15.80,14.06,16.92,23.23
Working Capital,8647000000,9278000000,12268000000,11696000000,9039000000,7695000000,5840000000,7798000000,5768000000,1014000000,8574000000,9593000000,6407000000,-9913000000,-3687000000,-2988000000,-5213000000,-6944000000,-9268000000,-9841000000,-11281000000,-8146000000,-5231000000,-9225000000,-11306000000,-8978000000,-6039000000,-1413000000,-3953000000,-1809000000,9602000000,15026000000,15889000000,17969000000,19311000000,19296000000,17603000000,19089000000,18601000000,17724000000,16031000000,16004000000,14484000000,13582000000,12639000000,11697000000,12262000000,12136000000,11267000000,5896000000,9015000000,7460000000,8319000000,6812000000,9564000000
Book Value Per Share,50.06,47.91,45.08,43.86,42.59,41.09,37.29,35.61,33.41,31.36,30.27,27.45,27.99,29.23,31.20,30.15,28.77,27.48,26.96,25.66,24.36,24.81,29.23,30.41,30.55,28.92,28.85,28.19,26.48,25.67,21.96,22.02,22.47,22.01,26.68,26.12,26.61,29.63,26.54,27.89,27.40,23.32,26.53,25.94,24.97,24.25,28.65,27.32,25.40,24.12,15.17,15.34,14.83,17.16,15.00
