Quarter Ended,2023-03-31,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30,2021-06-30,2021-03-31,2020-12-31,2020-09-30,2020-06-30,2020-03-31,2019-12-31,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-09-30,2013-06-30,2013-03-31,2012-12-31,2012-09-30,2012-06-30,2012-03-31,2011-12-31,2011-09-30,2011-06-30,2011-03-31,2010-12-31,2010-09-30,2010-06-30,2010-03-31,2009-12-31,2009-09-30
Net Income,2369000000,1984000000,3278000000,1666000000,1987000000,1696000000,2375000000,2790000000,2976000000,2801000000,4005000000,-806000000,247000000,-232000000,2313000000,2381000000,2119000000,2006000000,2503000000,2375000000,1032000000,-5165000000,-2983000000,1660000000,2608000000,1835000000,2773000000,2866000000,1953000000,6266000000,1359000000,1117000000,945000000,1105000000,1384000000,190000000,125000000,913000000,698000000,1200000000,865000000,892000000,1476000000,1487000000,1004000000,472000000,1726000000,2524000000,3151000000,510000000,1959000000,1334000000,865000000,-3520000000,-908000000
Depreciation & Amortization,2812000000,2770000000,2773000000,2856000000,2891000000,2937000000,3081000000,3018000000,3015000000,3080000000,3162000000,3265000000,3308000000,3286000000,3309000000,3407000000,4116000000,3646000000,3313000000,3129000000,3581000000,3177000000,3147000000,3194000000,2743000000,2694000000,2534000000,2299000000,2292000000,1579000000,1981000000,2170000000,1757000000,7238000000,0,0,0,8041000000,0,0,0,38762000000,0,0,0,7427000000,0,0,0,6930000000,0,0,0,4511000000,0
Other Operating Activities,-2121000000,855000000,-887000000,-1424000000,-3726000000,2131000000,-5550000000,1308000000,-4771000000,767000000,4024000000,-5322000000,-2041000000,381000000,893000000,-749000000,-6354000000,340000000,-2174000000,-414000000,-4179000000,8862000000,2715000000,664000000,-3310000000,-511000000,1263000000,962000000,-4353000000,-5545000000,-32000000,2499000000,-2327000000,-6058000000,-383000000,3552000000,1763000000,-6023000000,2143000000,3479000000,-356000000,-39175000000,1550000000,2096000000,1184000000,-6710000000,-70000000,2072000000,-3743000000,-9875000000,462000000,2309000000,782000000,-2967000000,3817000000
Operating Cash Flow,3086000000,5624000000,5191000000,3124000000,2104000000,6809000000,-49000000,7162000000,1266000000,6693000000,11231000000,-2815000000,1561000000,3473000000,6553000000,5076000000,-81000000,6030000000,3673000000,5105000000,448000000,6888000000,2881000000,5518000000,2041000000,4018000000,6570000000,6127000000,-108000000,2300000000,3308000000,5786000000,375000000,3167000000,1088000000,3830000000,1976000000,3058000000,3860000000,4893000000,819000000,781000000,3383000000,3942000000,2499000000,1442000000,2037000000,5064000000,-377000000,-1539000000,2624000000,3845000000,1850000000,-1895000000,2959000000
Operating Cash Flow Growth,46.67%,-17.40%,,-56.38%,66.19%,1.73%,,,-18.90%,92.72%,71.39%,,,-42.40%,78.41%,-0.57%,,-12.46%,27.49%,-7.48%,-78.05%,71.43%,-56.15%,-9.94%,,74.70%,98.61%,5.89%,,-27.38%,204.04%,51.07%,-81.02%,3.56%,-71.81%,-21.72%,141.27%,291.55%,14.10%,24.12%,-67.23%,-45.84%,66.08%,-22.16%,,,-22.37%,31.70%,,,-11.32%,,,,
Capital Expenditures,-2321000000,-3010000000,-1460000000,-1564000000,-919000000,-2223000000,-1473000000,-1950000000,-2072000000,-3275000000,-1006000000,-984000000,-1869000000,-3337000000,-2136000000,-2519000000,-2702000000,-3114000000,-3349000000,-3781000000,-4389000000,-4453000000,-5167000000,-5968000000,-5378000000,-6063000000,-6174000000,-6173000000,-6915000000,-5116000000,-6173000000,-5774000000,-3751000000,-3471000000,-2900000000,-2707000000,-2256000000,-2231000000,-2496000000,-2494000000,-2381000000,-2254000000,-2156000000,-2359000000,-2290000000,-2390000000,-1741000000,-1266000000,-1642000000,-755000000,-1261000000,-1011000000,-840000000,-981000000,-881000000
Acquisitions,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2000000,-3000000,-283000000,-516000000,1000000,0,123000000,-1051000000,-2000000,-1000000,-50000000,0,449000000,16000000,-2110000000,-82000000,-10000000,-73000000,1000000,56000000,-17000000,15000000,-34000000,4804000000,-2554000000,46000000,-1000000,-153000000,-2049000000,216000000
Change in Investments,623000000,-3640000000,-1891000000,-2501000000,-2835000000,-3233000000,-2066000000,-1881000000,-822000000,-1783000000,-3516000000,-4715000000,-4613000000,2139000000,536000000,-2011000000,-1007000000,-3138000000,-1154000000,-1744000000,-299000000,-874000000,-518000000,-855000000,-996000000,-5233000000,-5137000000,1394000000,796000000,-1129000000,-2617000000,-27000000,-709000000,-588000000,-1009000000,-2097000000,-589000000,-2044000000,-2321000000,-535000000,1876000000,3141000000,-1396000000,2966000000,941000000,-3829000000,335000000,-3931000000,-3150000000,689000000,-1164000000,6751000000,1229000000,5180000000,4000000
Other Investing Activities,-564000000,-261000000,607000000,-253000000,-155000000,40000000,-390000000,-195000000,-90000000,51000000,39000000,-67000000,-88000000,-10000000,49000000,101000000,-2000000,64000000,-32000000,47000000,126000000,516000000,-3153000000,-295000000,-431000000,-346000000,-346000000,-637000000,-5000000,-1287000000,-66000000,-177000000,43000000,127000000,85000000,91000000,8000000,53000000,13000000,-152000000,77000000,-101000000,169000000,-141000000,1000000,,74000000,5000000,27000000,-293000000,115000000,220000000,215000000,352000000,315000000
Investing Cash Flow,-2262000000,-6911000000,-2744000000,-4318000000,-3909000000,-5416000000,-3929000000,-4026000000,-2984000000,-5007000000,-4483000000,-5766000000,-6570000000,-1208000000,-1551000000,-4429000000,-3711000000,-6188000000,-4535000000,-5478000000,-4562000000,-4811000000,-8838000000,-7118000000,-6805000000,-11644000000,-11660000000,-5699000000,-6640000000,-7531000000,-8856000000,-5855000000,-5468000000,-3934000000,-3825000000,-4763000000,-2837000000,-3773000000,-4788000000,-5291000000,-510000000,776000000,-3456000000,467000000,-1292000000,-6236000000,-1317000000,-5226000000,39000000,-2913000000,-2264000000,5959000000,451000000,2502000000,-346000000
