Date,Market Cap,% Change
2023-05-31,45053900000,-2.85%
2023-05-30,46374500000,0.21%
2023-05-26,46277200000,2.72%
2023-05-25,45053900000,0.40%
2023-05-24,44873200000,-3.41%
2023-05-23,46457900000,1.70%
2023-05-22,45679500000,0.61%
2023-05-19,45401400000,-0.73%
2023-05-18,45735100000,1.42%
2023-05-17,45095600000,2.85%
2023-05-16,43844500000,-2.56%
2023-05-15,44998300000,-0.09%
2023-05-12,45040000000,-2.17%
2023-05-11,46040900000,0.12%
2023-05-10,45985300000,-0.60%
2023-05-09,46263300000,-1.13%
2023-05-08,46791600000,1.20%
2023-05-05,46235500000,4.95%
2023-05-04,44053000000,-2.43%
2023-05-03,45151200000,-1.81%
2023-05-02,45985300000,-1.19%
2023-05-01,46541300000,1.33%
2023-04-28,45929700000,0.98%
2023-04-27,45484800000,1.55%
2023-04-26,44789800000,-2.10%
2023-04-25,45749000000,-4.34%
2023-04-24,47822100000,2.21%
2023-04-21,46790100000,0.03%
2023-04-20,46776100000,-3.01%
2023-04-19,48226600000,-2.12%
2023-04-18,49272500000,0.54%
2023-04-17,49007600000,1.88%
2023-04-14,48101000000,-0.12%
2023-04-13,48156800000,-0.26%
2023-04-12,48282300000,-2.23%
2023-04-11,49384100000,-0.90%
2023-04-10,49830400000,3.30%
2023-04-06,48240500000,-1.42%
2023-04-05,48937800000,-1.82%
2023-04-04,49844300000,-1.46%
2023-04-03,50583500000,-1.12%
2023-03-31,51155300000,1.92%
2023-03-30,50193000000,0.81%
2023-03-29,49788500000,4.32%
2023-03-28,47724500000,-0.67%
2023-03-27,48045300000,2.20%
2023-03-24,47013200000,-0.09%
2023-03-23,47055100000,-0.91%
2023-03-22,47487400000,-2.99%
2023-03-21,48951800000,4.40%
2023-03-20,46887700000,0.72%
2023-03-17,46553000000,-3.55%
2023-03-16,48268400000,0.82%
2023-03-15,47877900000,-3.57%
2023-03-14,49649100000,-0.45%
2023-03-13,49872200000,-2.08%
2023-03-10,50932200000,-3.44%
2023-03-09,52745200000,-4.88%
2023-03-08,55450800000,0.05%
2023-03-07,55422900000,-1.76%
2023-03-06,56413100000,-1.37%
2023-03-03,57194100000,3.74%
2023-03-02,55130000000,2.09%
2023-03-01,54000400000,-0.05%
2023-02-28,54028200000,-1.45%
2023-02-27,54823200000,0.33%
2023-02-24,54641900000,-0.18%
2023-02-23,54739500000,-4.01%
2023-02-22,57026700000,-0.58%
2023-02-21,57361400000,-4.73%
2023-02-17,60206500000,0.16%
2023-02-16,60108900000,0.35%
2023-02-15,59899700000,1.23%
2023-02-14,59174500000,0.98%
2023-02-13,58602700000,1.62%
2023-02-10,57668200000,-0.67%
2023-02-09,58058700000,0.14%
2023-02-08,57975100000,0.41%
2023-02-07,57738000000,0.15%
