Quarter Ended,2023-03-31,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30,2021-06-30,2021-03-31,2020-12-31,2020-09-30,2020-06-30,2020-03-31,2019-12-31,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-09-30,2013-06-30,2013-03-31,2012-12-31,2012-09-30,2012-06-30,2012-03-31,2011-12-31,2011-09-30,2011-06-30,2011-03-31,2010-12-31,2010-09-30,2010-06-30,2010-03-31,2009-12-31,2009-09-30,2009-06-30,2009-03-31,2008-12-31,2008-09-30,2008-06-30,2008-03-31,2007-12-31,2007-09-30,2007-06-30,2007-03-31,2006-12-31,2006-09-30,2006-06-30,2006-03-31,2005-12-31,2005-09-30,2005-06-30,2005-03-31,2004-12-31,2004-09-30,2004-06-30,2004-03-31,2003-12-31,2003-09-30,2003-06-30,2003-03-31,2002-12-31,2002-09-30,2002-06-30,2002-03-31,2001-12-31,2001-09-30
Net Income,112098000000,244655000000,189295000000,149219000000,124898000000,192960000000,166697000000,222512000000,213323000000,284051000000,240922000000,-80871000000,-29542000000,116432000000,196554000000,172302000000,-13023000000,168238000000,210771000000,244330000000,107745000000,570251000000,174006000000,207335000000,95959000000,168815000000,177096000000,174699000000,-93444000000,124187000000,127751000000,186037000000,81905000000,152396000000,119530000000,155604000000,221104000000,160732000000,120368000000,122499000000,75752000000,77441000000,82233000000,131723000000,71594000000,47662000000,60429000000,31797000000,44554000000,81118000000,135929000000,272487000000,72176000000,134627000000,54037000000,7560000000,-186164000000,20242000000,123316000000,173397000000,25430000000,200009000000,208483000000,166117000000,176184000000,144827000000,127909000000,143402000000,219513000000,133146000000,133708000000,110666000000,94053000000,150760000000,127122000000,114262000000,74110000000,151050000000,137359000000,101819000000,116716000000,115167000000,87181000000,107598000000,106709000000,82258000000,84362000000
Depreciation & Amortization,184740000000,179586000000,195873000000,161431000000,153074000000,149999000000,156699000000,151291000000,179694000000,150261000000,144865000000,149419000000,170150000000,201824000000,157887000000,170016000000,203309000000,166117000000,165450000000,186819000000,181863000000,179415000000,173836000000,177979000000,182335000000,163907000000,161012000000,167075000000,166878000000,167744000000,165083000000,161009000000,169594000000,161011000000,147404000000,147220000000,6280000000,200782000000,192360000000,188710000000,168161000000,148481000000,138986000000,134841000000,172365000000,128110000000,125254000000,129138000000,167128000000,136594000000,140307000000,145386000000,158720000000,153924000000,156585000000,160445000000,185531000000,154299000000,157366000000,140448000000,143091000000,135884000000,124495000000,114955000000,115769000000,100184000000,80397000000,75138000000,85417000000,63838000000,58062000000,54908000000,63334000000,56643000000,54850000000,50925000000,,,,,,,,,,,
Other Operating Activities,119428000000,-52819000000,338039000000,307477000000,453846000000,306759000000,-32563000000,-366550000000,-146830000000,-110009000000,187870000000,-140316000000,233408000000,-122808000000,-140078000000,-146730000000,87043000000,-232891000000,-193468000000,-216707000000,75411000000,-618118000000,-33375000000,-208677000000,148503000000,-266591000000,-117349000000,-170388000000,358906000000,-38790000000,-3216000000,68850000000,207546000000,-103823000000,-48272000000,-169711000000,-648773000000,-162519000000,54584000000,-7019000000,24143000000,-16505000000,-80664000000,-83848000000,9618000000,-161450000000,106258000000,40763000000,119301000000,-134971000000,68700000000,-79920000000,107906000000,-58140000000,358244000000,238128000000,8078000000,-284995000000,-124568000000,16691000000,250934000000,-175974000000,-26738000000,-39768000000,109165000000,-202475000000,80708000000,-46683000000,-22113000000,-219658000000,18724000000,-55571000000,193796000000,-162258000000,83855000000,-42172000000,-74110000000,-151050000000,-137359000000,-101819000000,-116716000000,-115167000000,-87181000000,-107598000000,-106709000000,-82258000000,-84362000000
Operating Cash Flow,416266000000,371422000000,723207000000,618127000000,731818000000,649718000000,290833000000,7253000000,246187000000,324303000000,573657000000,-71768000000,374016000000,195448000000,214363000000,195588000000,277329000000,101464000000,182753000000,214442000000,365019000000,131548000000,314467000000,176637000000,426797000000,66131000000,220759000000,171386000000,432340000000,253141000000,289618000000,415896000000,459045000000,209584000000,218662000000,133113000000,-421389000000,198995000000,367312000000,304190000000,268056000000,209417000000,140555000000,182716000000,253577000000,14322000000,291941000000,201698000000,330983000000,82741000000,344936000000,337953000000,338802000000,230411000000,568866000000,406133000000,7445000000,-110454000000,156114000000,330536000000,419455000000,159919000000,306240000000,241304000000,401118000000,42536000000,289014000000,171857000000,282817000000,-22674000000,210494000000,110003000000,351183000000,45145000000,265827000000,123015000000,,,,,,,,,,,
Operating Cash Flow Growth,-43.12%,-42.83%,148.67%,8422.36%,197.26%,100.34%,-49.30%,,-34.18%,65.93%,167.61%,,34.86%,92.63%,17.30%,-8.79%,-24.02%,-22.87%,-41.88%,21.40%,-14.47%,98.92%,42.45%,3.06%,-1.28%,-73.88%,-23.78%,-58.79%,-5.82%,20.78%,32.45%,212.44%,,5.32%,-40.47%,-56.24%,,-4.98%,161.33%,66.48%,5.71%,1362.20%,-51.85%,-9.41%,-23.39%,-82.69%,-15.36%,-40.32%,-2.31%,-64.09%,-39.36%,-16.79%,4450.73%,,264.39%,22.87%,-98.23%,,-49.02%,36.98%,4.57%,275.96%,5.96%,40.41%,41.83%,,37.30%,56.23%,-19.47%,,-20.82%,-10.58%,,,,,,,,,,,,,,,
Capital Expenditures,-86831000000,-136213000000,-143304000000,-92494000000,-58330000000,-48520000000,-58624000000,-75561000000,-89169000000,-85341000000,-56271000000,-80859000000,-111869000000,-96002000000,-55156000000,-89530000000,-99803000000,-89307000000,-73016000000,-137877000000,-97153000000,-77598000000,-105606000000,-120164000000,-106936000000,-158431000000,-82849000000,-127206000000,-144232000000,-164846000000,-125122000000,-175359000000,-186214000000,-131713000000,-133732000000,-163303000000,-200286000000,-157157000000,-138785000000,-202617000000,-169705000000,-150592000000,-132828000000,-129572000000,-155357000000,-82078000000,-71639000000,-64884000000,-107936000000,-61798000000,-75740000000,-48344000000,-79412000000,-91598000000,-72769000000,-123811000000,-174452000000,-138867000000,-131663000000,-171365000000,-169865000000,-139913000000,-164263000000,-167319000000,-175546000000,-131030000000,-163829000000,-106912000000,-145913000000,-110719000000,-101548000000,-61890000000,-136269000000,-59707000000,-103245000000,-60543000000,,,,,,,,,,,
Acquisitions,-12746000000,0,-10340000000,0,0,0,0,0,2194000000,-97921000000,-2450000000,2230000000,-9782000000,-2401000000,-3047000000,-2401000000,0,0,0,-2401000000,0,0,0,-2450000000,9195000000,6466000000,0,-2835000000,-1000000,0,0,0,-410000000,-1561000000,0,0,12941000000,0,0,0,0,0,0,0,9957000000,0,0,0,71073000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,
Change in Investments,42937000000,24444000000,41017000000,-147090000000,118561000000,-61623000000,1253000000,-12129000000,20667000000,-122432000000,-74262000000,19460000000,9367000000,86553000000,-94709000000,-18037000000,69340000000,13809000000,-7830000000,-66080000000,-42427000000,-5059000000,12619000000,-21067000000,6869000000,-3153000000,-35099000000,-13319000000,9860000000,-27283000000,-4961000000,-5963000000,6776000000,3203000000,2261000000,-1216000000,458861000000,-83182000000,-199511000000,-209249000000,-42936000000,-13046000000,-59398000000,-29655000000,7073000000,-15554000000,26381000000,-39335000000,19640000000,-84020000000,-50518000000,-17587000000,8389000000,1000000000,1707000000,45582000000,366003000000,39804000000,-211124000000,-145510000000,-53331000000,-56217000000,-55671000000,-68605000000,173320000000,149862000000,-227681000000,-287198000000,-52441000000,58723000000,-162995000000,-126895000000,-60049000000,-50913000000,-333750000000,-9294000000,,,,,,,,,,,
Other Investing Activities,-36729000000,-44270000000,-37740000000,-38701000000,-54508000000,-44926000000,-40623000000,-41026000000,-66897000000,-54737000000,-60942000000,-50151000000,-71212000000,-48559000000,-54524000000,-58172000000,-50924000000,-43784000000,-52074000000,-37608000000,-44221000000,-39996000000,-36882000000,-35109000000,-27757000000,-36222000000,-40681000000,-38660000000,-57839000000,-62213000000,-54728000000,-62390000000,-74136000000,-65726000000,-49505000000,-45220000000,151950000000,-114696000000,-152987000000,-86305000000,-75294000000,-67128000000,-100058000000,-99544000000,-77159000000,-81375000000,-53477000000,-75622000000,-98836000000,-84380000000,-82666000000,-110278000000,-60431000000,-30824000000,-66256000000,-127328000000,-110365000000,-74213000000,-177688000000,-203924000000,-220007000000,-152673000000,-181022000000,-257513000000,-236050000000,-126077000000,250000000,187000000,87000000,2576000000,920000000,128000000,-3805000000,480000000,9170000000,10140000000,,,,,,,,,,,
Investing Cash Flow,-93369000000,-156039000000,-150367000000,-278285000000,5723000000,-155069000000,-97994000000,-128716000000,-133205000000,-360431000000,-193925000000,-109320000000,-183496000000,-60409000000,-207436000000,-168140000000,-81387000000,-119282000000,-132920000000,-243966000000,-183801000000,-122653000000,-129869000000,-178790000000,-118629000000,-191340000000,-158629000000,-182020000000,-192212000000,-254342000000,-184811000000,-243712000000,-253984000000,-195797000000,-180976000000,-209739000000,423466000000,-355035000000,-491283000000,-498171000000,-287935000000,-230766000000,-292284000000,-258771000000,-215486000000,-179007000000,-98735000000,-179841000000,-116059000000,-230198000000,-208924000000,-176209000000,-131454000000,-121422000000,-137318000000,-205557000000,81186000000,-173276000000,-520475000000,-520799000000,-443203000000,-348803000000,-400956000000,-493437000000,-238276000000,-107245000000,-391260000000,-393923000000,-198267000000,-49420000000,-263623000000,-188657000000,-200123000000,-110140000000,-427825000000,-59697000000,,,,,,,,,,,
