Date,Market Cap,% Change
2023-05-30,48049500000,0.70%
2023-05-26,47716600000,-0.24%
2023-05-25,47833100000,1.81%
2023-05-24,46984300000,-0.49%
2023-05-23,47217300000,-0.67%
2023-05-22,47533600000,1.28%
2023-05-19,46934400000,-0.32%
2023-05-18,47084200000,0.25%
2023-05-17,46967700000,1.15%
2023-05-16,46435100000,1.09%
2023-05-15,45935800000,-0.54%
2023-05-12,46185500000,0.58%
2023-05-11,45919200000,0.92%
2023-05-10,45500600000,0.19%
2023-05-09,45416400000,0.67%
2023-05-08,45113300000,0.15%
2023-05-05,45045900000,2.77%
2023-05-04,43833500000,-0.61%
2023-05-03,44102900000,0.08%
2023-05-02,44069200000,-0.83%
2023-05-01,44439700000,-0.71%
2023-04-28,44759700000,0.34%
2023-04-27,44608100000,2.67%
2023-04-26,43446200000,-0.27%
2023-04-25,43564100000,-1.07%
2023-04-24,44035600000,0.89%
2023-04-21,43648300000,-0.15%
2023-04-20,43715600000,-0.84%
2023-04-19,44086100000,-0.76%
2023-04-18,44422900000,-0.08%
2023-04-17,44456600000,1.15%
2023-04-14,43951400000,-1.77%
2023-04-13,44742800000,0.49%
2023-04-12,44523900000,-0.30%
2023-04-11,44658600000,0.61%
2023-04-10,44389200000,0.88%
2023-04-06,44001900000,-1.69%
2023-04-05,44759700000,-1.26%
2023-04-04,45332200000,0.49%
2023-04-03,45113300000,1.13%
2023-03-31,44608100000,1.03%
2023-03-30,44153400000,0.34%
2023-03-29,44001900000,1.04%
2023-03-28,43547200000,-0.04%
2023-03-27,43564100000,0.66%
2023-03-24,43277800000,0.23%
2023-03-23,43176700000,0.43%
2023-03-22,42991500000,
2023-03-21,42991500000,1.11%
2023-03-20,42520000000,1.28%
2023-03-17,41981100000,-2.24%
2023-03-16,42941000000,2.45%
2023-03-15,41913800000,-2.05%
2023-03-14,42789400000,-1.21%
2023-03-13,43311500000,-2.06%
2023-03-10,44220800000,-0.53%
2023-03-09,44456600000,-0.56%
2023-03-08,44709100000,0.57%
2023-03-07,44456600000,-0.75%
2023-03-06,44793300000,-0.37%
2023-03-03,44961700000,2.34%
2023-03-02,43934500000,-0.46%
2023-03-01,44136600000,0.92%
2023-02-28,43732500000,-0.76%
2023-02-27,44069200000,1.63%
2023-02-24,43362000000,-0.54%
2023-02-23,43597700000,0.27%
2023-02-22,43479900000,-0.31%
2023-02-21,43614600000,1.41%
2023-02-17,43008300000,0.91%
2023-02-16,42621000000,0.36%
2023-02-15,42469500000,0.08%
2023-02-14,42435800000,-0.94%
2023-02-13,42840000000,1.23%
2023-02-10,42317900000,0.98%
2023-02-09,41907600000,0.53%
2023-02-08,41685600000,-1.81%
2023-02-07,42454000000,1.06%
2023-02-06,42010000000,
2023-02-03,42010000000,-2.34%
2023-02-02,43017600000,-0.47%
2023-02-01,43222500000,1.97%
2023-01-31,42385700000,1.97%
2023-01-30,41566000000,-1.02%
2023-01-27,41993000000,1.32%
2023-01-26,41446500000,0.75%
2023-01-25,41139100000,0.58%
2023-01-24,40900000000,-0.87%
2023-01-23,41258600000,0.88%
2023-01-20,40900000000,1.23%
2023-01-19,40404800000,-0.59%
2023-01-18,40643900000,-0.75%
2023-01-17,40951200000,1.70%
2023-01-13,40268200000,-2.16%
2023-01-12,41156200000,0.88%
2023-01-11,40797600000,-0.79%
2023-01-10,41122000000,-0.21%
2023-01-09,41207400000,0.71%
2023-01-06,40917100000,2.97%
2023-01-05,39738800000,-0.94%
2023-01-04,40114500000,0.95%
2023-01-03,39738800000,1.79%
2022-12-30,39038600000,-0.17%
2022-12-29,39106900000,2.46%
2022-12-28,38167700000,-2.49%
2022-12-27,39141100000,-0.86%
2022-12-23,39482600000,0.78%
2022-12-22,39175200000,-0.09%
2022-12-21,39209400000,-2.09%
2022-12-20,40046200000,-0.17%
2022-12-19,40114500000,-0.34%
2022-12-16,40251100000,-0.88%
2022-12-15,40609700000,-1.20%
2022-12-14,41104900000,-1.03%
2022-12-13,41531900000,1.25%
2022-12-12,41019600000,0.33%
2022-12-09,40882900000,0.21%
2022-12-08,40797600000,0.17%
2022-12-07,40729200000,0.63%
2022-12-06,40473100000,-0.38%
2022-12-05,40626800000,-1.57%
2022-12-02,41275700000,-1.75%
2022-12-01,42010000000,0.41%
2022-11-30,41839300000,1.66%
2022-11-29,41156200000,-0.45%
2022-11-28,41344000000,-0.90%
2022-11-25,41719700000,1.33%
2022-11-23,41173300000,0.54%
2022-11-22,40951200000,1.40%
2022-11-21,40387700000,-0.55%
2022-11-18,40609700000,0.85%
2022-11-17,40268200000,0.17%
2022-11-16,40199900000,-1.05%
2022-11-15,40626800000,0.81%
2022-11-14,40302300000,-1.58%
2022-11-11,40951200000,2.30%
2022-11-10,40029100000,4.83%
2022-11-09,38184700000,-5.78%
2022-11-08,40526000000,0.85%
2022-11-07,40183800000,0.17%
2022-11-04,40115400000,2.54%
2022-11-03,39123200000,-0.44%
2022-11-02,39294300000,
2022-11-01,39294300000,0.66%
