Quarter Ended,2023-03-31,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30,2021-06-30,2021-03-31,2020-12-31,2020-09-30,2020-06-30,2020-03-31,2019-12-31,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-09-30,2013-06-30,2013-03-31,2012-12-31,2012-09-30,2012-06-30,2012-03-31,2011-12-31,2011-09-30,2011-06-30,2011-03-31,2010-12-31,2010-09-30,2010-06-30,2010-03-31,2009-12-31,2009-09-30,2009-06-30,2009-03-31,2008-12-31,2008-09-30,2008-06-30,2008-03-31,2007-12-31,2007-09-30,2007-06-30,2007-03-31,2006-12-31,2006-09-30,2006-06-30,2006-03-31,2005-12-31,2005-09-30,2005-06-30,2005-03-31,2004-12-31,2004-09-30,2004-06-30,2004-03-31,2003-12-31,2003-09-30,2003-06-30,2003-03-31,2002-12-31,2002-09-30,2002-06-30,2002-03-31,2001-12-31,2001-09-30,2001-06-30
Market Capitalization,44608110042,39038597775,36933549268,41310998597,48794069109,49120290714,52957399231,55563766524,52144376940,48776726454,40920651928,44132146130,39519748707,49813182809,45889360921,45467066188,48315808234,47035448207,53490596675,52050191645,62593198118,61421715862,53275408476,49364460019,54537099285,52608655920,52122039369,45651841536,49274641299,57547157888,53888506760,58394234750,59043059581,53203636106,61782542199,63062168948,63693186229,74524992942,68739618641,67135574052,68955981127,66576945709,55691056373,62467702715,69262454869,55060317363,52537094963,69586869178,68065748627,71676808072,64581711374,52169828660,64037551610,61515245100,55000798790,49665848330,43004548206,38722238765,54635736139,61748724703,52491615679,60380844971,60781683411,66270926525,63677795754,72205908922,61413371701,58108043043,59528496348,55702213798,54606243420,48036287991,48875605497,50866544699,47548312696,48706641226,46343407811,45061654095,40375242069,37125181592,32350551938,35195841446,38723220904,40360236785,,,,
Market Cap Growth,-8.58%,-20.52%,-30.26%,-25.65%,-6.43%,0.70%,29.41%,25.90%,31.95%,-2.08%,-10.83%,-2.94%,-18.21%,5.91%,-14.21%,-12.65%,-22.81%,-23.42%,0.40%,5.44%,14.77%,16.75%,2.21%,8.13%,10.68%,-8.58%,-3.28%,-21.82%,-16.54%,8.16%,-12.78%,-7.40%,-7.30%,-28.61%,-10.12%,-6.07%,-7.63%,11.94%,23.43%,7.47%,-0.44%,20.92%,6.00%,-10.23%,1.76%,-23.18%,-18.65%,33.39%,6.29%,16.52%,17.42%,5.04%,48.91%,58.86%,0.67%,-19.57%,-18.07%,-35.87%,-10.11%,-6.82%,-17.57%,-16.38%,-1.03%,14.05%,6.97%,29.63%,12.47%,20.97%,21.80%,9.51%,14.84%,-1.38%,5.46%,12.88%,17.77%,31.20%,43.25%,28.03%,4.27%,-8.02%,,,,,,,,
Enterprise Value,62067437837,58041558794,57620476604,64235675543,73689491586,77878829844,86607747756,89172256578,82777600080,79455750609,73273464428,78720836495,69561982257,79317149751,76442947575,75233016373,74849362779,74626148207,81935362441,78641690283,85900774671,87984262446,79915815556,76255476616,80185131776,79597903783,79183879460,72488610007,74897165699,84351280400,81071746368,84945219597,86291095608,85762705229,94193160018,95169033684,95026969908,105832552296,97963870642,94687953947,94912010851,92807448108,81111845087,84940240808,90746592567,76375135057,70676021739,90118257725,88458353284,93832851027,84859242777,72491019965,84174267434,84596874675,79653251768,77561124150,70997393953,66515536763,78020241052,83379706310,72580336760,79621078228,77599912641,81787261781,77030766848,86392037149,74103621968,70476525214,70430602810,66514125571,64737007290,58117295190,58864442072,61586641396,57285735820,57017237489,55387782049,51536603696,47445876482,43763176874,38080750942,42011438248,43119213208,44570892185,3434848885,5050451727,4534364463,4894306396
PE Ratio,8.49,7.36,8.13,8.88,8.41,7.10,6.68,6.40,8.64,12.18,17.50,23.29,9.36,11.49,9.45,9.16,8.71,7.08,5.24,5.23,6.75,6.61,9.32,8.46,9.80,14.41,13.80,14.07,16.06,13.32,11.78,13.28,13.90,9.82,10.29,9.73,10.49,16.37,17.02,18.59,17.69,15.86,13.03,15.98,27.17,23.04,18.56,19.10,10.56,10.36,8.76,8.66,22.29,567.66,-47.23,-136.31,30.89,10.26,11.08,10.77,8.72,8.99,10.05,13.28,12.68,13.51,11.62,10.57,11.73,13.92,12.65,11.03,10.76,11.19,11.24,11.14,10.39,9.52,9.52,10.58,8.97,10.03,12.27,12.61,,,,
PS Ratio,0.35,0.32,0.34,0.38,0.41,0.40,0.41,0.42,0.43,0.39,0.33,0.36,0.29,0.35,0.31,0.31,0.33,0.33,0.38,0.37,0.47,0.46,0.41,0.39,0.43,0.44,0.38,0.33,0.38,0.48,0.45,0.52,0.53,0.47,0.52,0.50,0.52,0.68,0.62,0.65,0.66,0.60,0.48,0.57,0.72,0.55,0.51,0.68,0.63,0.65,0.59,0.52,0.70,0.71,0.59,0.52,0.42,0.31,0.49,0.55,0.44,0.56,0.60,0.72,0.68,0.79,0.69,0.65,0.71,0.70,0.68,0.60,0.61,0.62,0.63,0.65,0.59,0.59,0.55,0.55,0.48,0.53,0.61,0.64,,,,
PB Ratio,0.53,0.47,0.46,0.50,0.57,0.58,0.62,0.66,0.63,0.61,0.54,0.60,0.53,0.64,0.59,0.60,0.64,0.62,0.71,0.71,0.90,0.85,0.78,0.74,0.83,0.84,0.80,0.72,0.82,0.96,0.91,0.98,1.00,0.94,1.07,1.07,1.11,1.36,1.23,1.25,1.29,1.23,0.99,1.12,1.31,1.00,0.94,1.27,1.27,1.33,1.23,1.05,1.38,1.36,1.22,1.18,1.06,0.83,1.21,1.37,1.15,1.36,1.45,1.72,1.68,1.93,1.68,1.60,1.70,1.72,1.71,1.56,1.59,1.65,1.67,1.78,1.68,1.74,1.63,1.63,1.46,1.59,1.82,1.90,,,,
Debt / Equity Ratio,0.74,0.75,0.78,0.80,0.82,0.82,0.86,0.88,0.90,0.97,1.01,1.04,1.00,0.92,0.92,0.93,0.91,0.88,0.90,0.89,0.88,0.90,0.93,0.94,0.96,0.97,0.94,0.97,0.99,0.97,0.97,0.97,0.97,1.02,1.00,0.98,0.99,1.04,0.98,0.98,0.97,0.97,0.91,0.90,0.94,0.90,0.87,0.91,0.92,0.92,0.93,0.94,0.95,1.01,1.04,1.13,1.15,1.06,1.04,1.02,0.97,0.93,0.89,0.90,0.88,0.87,0.86,0.84,0.78,0.84,0.85,0.87,0.87,0.88,0.91,0.86,0.91,0.87,0.91,0.91,0.88,0.85,0.78,0.75,0.80,0.79,0.76,0.75
Current Ratio,1.45,1.47,1.44,1.47,1.47,1.38,1.35,1.26,1.33,1.29,1.30,1.27,1.26,1.30,1.24,1.26,1.23,1.25,1.23,1.23,1.23,1.25,1.23,1.22,1.21,1.17,1.15,1.11,1.14,1.19,1.20,1.14,1.19,1.23,1.18,1.21,1.23,1.27,1.26,1.29,1.30,1.27,1.29,1.34,1.32,1.27,1.29,1.27,1.31,1.35,1.35,1.32,1.35,1.31,1.32,1.16,1.09,1.13,1.15,1.09,1.12,1.15,1.13,1.19,1.21,1.17,1.18,1.31,1.31,1.13,1.12,1.10,1.07,1.11,1.10,1.15,1.10,1.16,1.05,1.06,1.05,1.01,1.02,1.01,0.99,0.92,0.88,0.88
Dividend Yield,,,1.90%,,,,1.58%,,1.31%,0.88%,0.77%,0.41%,1.16%,0.90%,0.99%,0.81%,,0.95%,0.82%,0.83%,0.71%,0.69%,0.72%,0.79%,,0.73%,0.67%,0.87%,0.77%,0.60%,1.11%,,0.47%,0.54%,0.47%,0.53%,0.53%,0.41%,1.78%,0.50%,0.47%,0.51%,0.68%,0.64%,0.44%,0.55%,0.60%,0.46%,0.45%,0.42%,0.37%,0.45%,0.35%,0.30%,0.28%,0.28%,0.32%,0.47%,0.76%,0.59%,0.70%,0.56%,0.52%,0.43%,0.42%,0.32%,0.70%,,0.76%,,0.59%,,0.63%,,0.52%,,0.43%,,0.39%,,0.41%,,0.28%,,,,,
Payout Ratio,0.00%,0.00%,53.60%,0.00%,0.00%,0.00%,56.20%,0.00%,34.80%,15.70%,13.80%,-23.70%,-176.00%,41.80%,24.80%,23.10%,0.00%,28.90%,22.80%,19.40%,46.20%,8.30%,25.00%,21.00%,0.00%,26.60%,20.00%,23.30%,-45.70%,33.70%,56.10%,0.00%,40.90%,22.70%,26.60%,21.60%,15.80%,20.10%,99.70%,27.10%,39.90%,37.60%,36.10%,24.10%,35.50%,49.30%,40.40%,81.30%,56.00%,30.10%,14.40%,7.60%,28.70%,12.90%,25.30%,177.60%,-7.40%,81.30%,35.80%,22.20%,144.10%,18.90%,17.30%,21.00%,17.90%,19.00%,39.80%,0.00%,23.20%,0.00%,26.10%,0.00%,33.10%,0.00%,20.50%,0.00%,26.10%,0.00%,12.10%,0.00%,13.30%,0.00%,14.90%,0.00%,12.80%,0.00%,12.10%,0.00%
