Quarter Ended,2023-03-31,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30,2021-06-30,2021-03-31,2020-12-31,2020-09-30,2020-06-30,2020-03-31,2019-12-31,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30
Net Income,295532000,219862000,225767000,249015000,237970000,214255000,205778000,205811000,204923000,262120000,170750000,8943000,166004000,167572000,167851000,182110000,178285000,189851000,286922000,160270000,147635000,135643000,140146000,135938000,123666000,110926000,112856000,97643000,77337000,54217000,93965000,75260000,64374000,78974000,56617000,72139000
Depreciation & Amortization,151843000,171006000,136015000,123702000,115502000,132731000,100875000,112783000,109600000,120285000,108137000,101637000,96578000,114219000,83568000,75750000,78409000,78606000,75260000,72438000,62444000,63706000,63664000,68478000,64758000,67260000,62356000,61658000,56443000,72015000,72562000,70042000,60138000,77835000,71433000,
Other Operating Activities,-53831000,40356000,42162000,-217070000,59053000,8644000,97720000,-69884000,-40510000,28651000,-48083000,-177319000,508000,75500000,26658000,28453000,127718000,46410000,-123789000,-61620000,-386000,-44285000,28941000,-70438000,-47418000,259929000,75256000,45038000,-21403000,46982000,-48274000,207005000,-61018000,-26170000,-94896000,-72139000
Operating Cash Flow,393544000,431224000,403944000,155647000,412525000,355630000,404373000,248710000,274013000,411056000,230804000,-66739000,263090000,357291000,278077000,286313000,384412000,314867000,238393000,171088000,209693000,155064000,232751000,133978000,141006000,438115000,250468000,204339000,112377000,173214000,118253000,352307000,63494000,130639000,33154000,
Operating Cash Flow Growth,-4.60%,21.26%,-0.11%,-37.42%,50.55%,-13.48%,75.20%,,4.15%,15.05%,-17.00%,,-31.56%,13.47%,16.65%,67.35%,83.32%,103.06%,2.42%,27.70%,48.71%,-64.61%,-7.07%,-34.43%,25.48%,152.93%,111.81%,-42.00%,76.99%,32.59%,256.68%,,,,,
Capital Expenditures,-40495000,-160464000,-95335000,-52685000,-38663000,-122721000,-99916000,-62395000,-62879000,-126789000,-71488000,-52254000,-105518000,-135502000,-64160000,-81907000,-66046000,-119860000,-65206000,-52688000,-61648000,-65626000,-42874000,-36601000,-40140000,-65551000,-39769000,-42542000,-24854000,-65818000,-45882000,-34205000,-37635000,-72315000,-38132000,
Acquisitions,0,0,0,0,-1367000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8307000,18595000,0,0,0,0,0,0,0,0,38751000,
Change in Investments,0,0,0,0,0,0,0,0,0,0,100000,-100000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,747000,1054000,-1424000,0,-364000,190000,
Other Investing Activities,-108392000,-148572000,-103455000,-113920000,-90947000,-105468000,-89023000,-103523000,-86813000,-117109000,-85810000,-80780000,-68279000,-115002000,-79844000,-90169000,-68443000,-114262000,-89350000,-75007000,-58923000,-74656000,-50614000,-45100000,-32136000,-41395000,-34925000,-47376000,-42644000,-55857000,253000,-38794000,-39505000,-49305000,-41087000,
Investing Cash Flow,-148887000,-309036000,-198790000,-166605000,-130977000,-228189000,-188939000,-165918000,-149692000,-243898000,-157198000,-133134000,-173797000,-250504000,-144004000,-172076000,-134489000,-234122000,-154556000,-127695000,-120571000,-140282000,-93488000,-81701000,-63969000,-88351000,-74694000,-89918000,-67498000,-120928000,-44575000,-74423000,-77140000,-121984000,-40278000,
Dividends Paid,0,-1034000,-17381000,-231107000,0,-356000,-10652000,-149093000,0,31000,-13083000,-195048000,0,0,-11552000,-181112000,0,0,-4165000,-128930000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Share Issuance / Repurchase,-96765000,-95320000,-85011000,-81113000,-135078000,-65746000,-55605000,-81432000,-28116000,0,0,0,-129793000,-83464000,-153255000,-99340000,-50690000,-69962000,4000,-4000,-30131000,0,0,0,0,0,0,0,1384000,0,0,0,0,0,0,
Debt Issued / Paid,-92559000,10646000,50381000,33407000,316000,5088000,200093000,90441000,-482940000,18866000,11253000,629158000,21228000,5020000,18602000,-8598000,64980000,27996000,26201000,-7845000,36785000,13998000,64781000,-77928000,35287000,-384839000,-284483000,23035000,202885000,2052137000,57999000,-21706000,19161000,4139000,59799000,
Other Financing Activities,,,,-2266000,,1000,-1355000,,,,-2929000,,,,,-2120000,,,,-2040000,,,-6465000,-114738000,,-647000,-3010000,-100541000,135180000,-2114916000,-196142000,-155229000,7423000,-40445000,-13592000,
Financing Cash Flow,-189324000,-85708000,-52011000,-281079000,-134762000,-61013000,132481000,-140084000,-511056000,18897000,-4759000,434110000,-108565000,-78444000,-146205000,-291170000,14290000,-41966000,22040000,-138819000,6654000,13998000,58316000,-192666000,35287000,-385486000,-287493000,-77506000,339449000,-62779000,-138143000,-176935000,26584000,-36306000,46207000,
Net Cash Flow,52236000,26086000,156943000,-287764000,149490000,71027000,350855000,-58045000,-382097000,183790000,66938000,231337000,-17605000,26549000,-9808000,-181190000,268731000,40302000,103829000,-93497000,95324000,28832000,195984000,-146437000,111543000,-33172000,-114213000,41727000,380689000,-7328000,-67446000,93810000,29439000,-29925000,46507000,
Free Cash Flow,353049000,270760000,308609000,102962000,373862000,232909000,304457000,186315000,211134000,284267000,159316000,-118993000,157572000,221789000,213917000,204406000,318366000,195007000,173187000,118400000,148045000,89438000,189877000,97377000,100866000,372564000,210699000,161797000,87523000,107396000,72371000,318102000,25859000,58324000,-4978000,
Free Cash Flow Growth,-5.57%,16.25%,1.36%,-44.74%,77.07%,-18.07%,91.10%,,33.99%,28.17%,-25.52%,,-50.51%,13.73%,23.52%,72.64%,115.05%,118.04%,-8.79%,21.59%,46.77%,-75.99%,-9.88%,-39.82%,15.25%,246.91%,191.14%,-49.14%,238.46%,84.14%,,,,,,
Free Cash Flow Margin,24.71%,19.79%,24.69%,7.97%,31.52%,19.87%,28.91%,18.01%,20.88%,26.60%,17.94%,-20.85%,16.90%,23.91%,23.37%,20.78%,33.87%,23.06%,20.66%,13.07%,17.82%,10.65%,22.71%,10.58%,12.29%,44.59%,26.89%,19.96%,12.96%,14.43%,10.01%,41.54%,4.16%,7.76%,-0.75%,
