Date,Open,Close,High,Low,Volume,MA1,MA2
2015-10-21,60.0000,55.0000,60.9700,55.0000,22497204,,
2015-10-22,57.0700,56.7500,58.2000,55.7000,4544483,,
2015-10-23,57.7700,56.3800,58.0000,56.2700,1967749,,
2015-10-25,57.0000,55.0200,57.0000,54.5350,1466277,,
2015-10-26,54.8000,53.8500,54.9900,49.3600,5949011,,
2015-10-27,54.0200,51.8700,54.1600,50.1000,2411335,,
2015-10-28,51.8700,51.0200,52.4700,50.7570,1362776,,
2015-10-29,51.5600,50.4300,51.8000,49.6600,1355141,,
2015-11-01,50.8600,53.0800,53.1700,49.8900,890164,,
2015-11-02,53.0900,52.3800,55.0000,52.1200,1022909,,
2015-11-03,52.9600,53.4400,54.0400,52.7500,753333,,
2015-11-04,53.4500,51.7400,53.8500,51.6100,820228,,
2015-11-05,52.2000,52.4300,52.4300,51.8000,513473,,
2015-11-08,52.8200,53.2000,53.6500,52.0000,442763,,
2015-11-09,53.7000,54.0000,54.0000,53.0900,376897,,
2015-11-10,54.0000,54.3400,54.5000,53.0300,472541,,
2015-11-11,54.3300,54.1200,54.4000,53.2600,379346,,
2015-11-12,53.9500,51.4000,53.9500,50.5200,1337040,,
2015-11-15,51.9500,49.5100,51.9500,48.8300,1297619,,
2015-11-16,50.2800,48.9800,50.7700,48.8100,897287,,
2015-11-17,49.3900,47.2800,49.4740,47.2100,1102515,,
2015-11-18,47.4600,47.6000,47.8600,45.8300,2164214,,
2015-11-19,47.8700,48.0800,48.4900,47.6200,542692,,
2015-11-22,48.1000,46.0000,48.2900,45.9800,1389115,,
2015-11-23,46.0000,46.2800,46.4600,44.6500,1036697,,
2015-11-24,46.5000,45.6600,46.8300,45.5000,868893,,
2015-11-26,45.5900,46.0600,46.4200,45.4000,285304,,
2015-11-29,46.3000,46.3500,46.8700,45.8800,566401,,
2015-11-30,46.5000,47.6400,48.2600,46.4400,667107,,
2015-12-01,47.8800,47.2100,48.1280,46.8500,614830,,
2015-12-02,47.4400,47.0600,47.8600,46.2500,528504,,
2015-12-03,47.3400,48.5500,48.8500,47.0900,583181,,
2015-12-06,48.6500,47.9900,50.3900,47.5100,861394,,
2015-12-07,48.4900,47.6200,49.0000,47.0000,842515,,
2015-12-08,47.4400,47.7500,49.4400,47.1400,507606,,
2015-12-09,48.0700,48.9800,49.3600,47.8800,526825,,
2015-12-10,48.0100,48.7900,49.2200,47.5940,480320,,
2015-12-13,48.0500,46.9300,48.7000,46.0000,698837,,
2015-12-14,46.9300,47.5500,49.0900,46.9000,760842,,
2015-12-15,48.3200,48.5000,48.9700,47.2900,534452,,
2015-12-16,48.6500,47.4800,48.9900,47.0200,547134,,
2015-12-17,46.9600,46.3600,47.4800,46.0000,461167,,
2015-12-20,46.2500,47.4100,47.8000,46.0900,623108,,
2015-12-21,47.4800,46.6200,48.7300,46.5600,448854,,
2015-12-22,47.0400,47.0500,47.9900,46.8100,232171,,
2015-12-23,46.6200,46.7500,47.5100,46.6100,150583,,
2015-12-27,47.2900,46.4300,47.5000,46.2750,269347,,
2015-12-28,46.8400,47.9300,48.1400,46.7050,505537,,
2015-12-29,47.9300,48.4100,48.5500,47.5000,296968,,
2015-12-30,48.2600,48.0000,48.8850,47.4300,390523,,
2016-01-03,47.2900,47.3900,47.8100,46.4100,2507000,49.4330,
2016-01-04,48.6000,48.4900,48.7300,47.4500,1934423,49.2680,
2016-01-05,47.7500,47.0700,47.8600,46.5800,2555013,49.0820,
2016-01-06,46.4200,46.6500,47.0800,46.1600,1775301,48.9140,
2016-01-07,46.6000,43.1100,46.6300,43.1100,5116849,48.6990,
2016-01-10,43.2000,43.3800,43.8600,42.1000,2307651,48.5300,
