Quarter Ended,2023-03-31,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30,2021-06-30,2021-03-31,2020-12-31,2020-09-30,2020-06-30,2020-03-31,2019-12-31,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-09-30,2013-06-30,2013-03-31,2012-12-31,2012-09-30,2012-06-30,2012-03-31,2011-12-31,2011-09-30,2011-06-30,2011-03-31,2010-12-31,2010-09-30,2010-06-30,2010-03-31,2009-12-31,2009-09-30,2009-06-30,2009-03-31,2008-12-31,2008-09-30,2008-06-30,2008-03-31,2007-12-31,2007-09-30,2007-06-30,2007-03-31,2006-09-30,2006-03-31,2005-09-30,2005-03-31,2004-09-30,2004-03-31,2003-03-31
Revenue,9690265000000,9754685000000,9218232000000,8491116000000,8112466000000,7785742000000,7545741000000,7935558000000,7689339000000,8150032000000,6774427000000,4600796000000,6899339000000,7608931000000,7637004000000,7721273000000,7750133000000,7801542000000,7311273000000,7362733000000,7582536000000,7605767000000,7143601000000,7047606000000,7442473000000,7084187000000,6481420000000,6589113000000,6971748000000,7339882000000,7103840000000,6987648000000,7118907000000,7170017000000,6554909000000,6390688000000,6569382000000,6585044000000,6282166000000,6255319000000,5837086000000,5318752000000,5406781000000,5501573000000,5702526000000,4865205000000,4574872000000,3441050000000,4642083000000,4673113000000,4806667000000,4871825000000,5280440000000,5292890000000,4541566000000,3836077000000,3536322000000,4802843000000,5975275000000,6215130000000,6567048000000,6709983000000,6489572000000,6522637000000,,,,,,,,
Revenue Growth (YoY),19.45%,25.29%,22.16%,7.00%,5.50%,-4.47%,11.39%,72.48%,11.45%,7.11%,-11.29%,-40.41%,-10.98%,-2.47%,4.46%,4.87%,2.21%,2.57%,2.35%,4.47%,1.88%,7.36%,10.22%,6.96%,6.75%,-3.48%,-8.76%,-5.70%,-2.07%,2.37%,8.37%,9.34%,8.36%,8.88%,4.34%,2.16%,12.55%,23.81%,16.19%,13.70%,2.36%,9.32%,18.18%,59.88%,22.84%,4.11%,-4.82%,-29.37%,-12.09%,-11.71%,5.84%,27.00%,49.32%,10.20%,-23.99%,-38.28%,-46.15%,-28.42%,-7.92%,-4.71%,,,,,,,,,,,,
Cost of Revenue,8125420000000,7821392000000,7794503000000,7099967000000,6755385000000,6259742000000,6106788000000,6285919000000,6211242000000,6493330000000,5626280000000,4051368000000,5704038000000,6226756000000,6285412000000,6269145000000,6449467000000,6348161000000,5996006000000,5988151000000,6074921000000,6198150000000,5863019000000,5753063000000,6176018000000,5967667000000,5311425000000,5279226000000,5610985000000,5886942000000,5550373000000,5557165000000,5776342000000,5717789000000,5252370000000,5095175000000,5331362000000,5347193000000,5100331000000,5022253000000,4792604000000,4598056000000,4577503000000,4672832000000,4944887000000,4254635000000,4052175000000,3136867000000,4086708000000,4094967000000,4291571000000,4142080000000,4545968000000,4560905000000,4024109000000,3552815000000,3613036000000,4507564000000,5161117000000,5174083000000,5503367000000,5455108000000,5312625000000,5249253000000,,,,,,,,
Gross Profit,1564845000000,1933293000000,1423729000000,1391149000000,1357081000000,1526000000000,1438953000000,1649639000000,1478097000000,1656702000000,1148147000000,549428000000,1195301000000,1382175000000,1351592000000,1452128000000,1300666000000,1453381000000,1315267000000,1374582000000,1507615000000,1407617000000,1280582000000,1294543000000,1266455000000,1116520000000,1169995000000,1309887000000,1360763000000,1452940000000,1553467000000,1430483000000,1342565000000,1452228000000,1302539000000,1295513000000,1238020000000,1237851000000,1181835000000,1233066000000,1044482000000,720696000000,829278000000,828741000000,757639000000,610570000000,522697000000,304183000000,555375000000,578146000000,515096000000,729745000000,734472000000,731985000000,517457000000,283262000000,-76714000000,295279000000,814158000000,1041047000000,1063681000000,1254875000000,1176947000000,1273384000000,,,,,,,,
"Selling, General & Admin",937914000000,976642000000,860940000000,812494000000,893220000000,741629000000,688978000000,652150000000,788269000000,668762000000,642086000000,535508000000,835386000000,742077000000,692985000000,711517000000,771095000000,777252000000,736109000000,691895000000,877939000000,733972000000,758335000000,720249000000,827534000000,677934000000,695360000000,667657000000,812463000000,730674000000,726063000000,674482000000,706827000000,689348000000,643321000000,602785000000,801892000000,637342000000,589743000000,569683000000,542101000000,595939000000,488671000000,475598000000,519123000000,460886000000,447307000000,412146000000,509286000000,479076000000,403639000000,518082000000,639206000000,542876000000,459453000000,478125000000,605814000000,655830000000,644681000000,628456000000,667028000000,653317000000,580210000000,597957000000,,,,,,,,
Operating Expenses,937914000000,976642000000,860940000000,812494000000,893220000000,741629000000,688978000000,652150000000,788269000000,668762000000,642086000000,535508000000,835386000000,742077000000,692985000000,711517000000,771095000000,777252000000,736109000000,691895000000,877939000000,733972000000,758335000000,720249000000,827534000000,677934000000,695360000000,667657000000,812463000000,730674000000,726063000000,674482000000,706827000000,689348000000,643321000000,602785000000,801892000000,637342000000,589743000000,569683000000,542101000000,595939000000,488671000000,475598000000,519123000000,460886000000,447307000000,412146000000,509286000000,479076000000,403639000000,518082000000,639206000000,542876000000,459453000000,478125000000,605814000000,655830000000,644681000000,628456000000,667028000000,653317000000,580210000000,597957000000,,,,,,,,
Operating Income,626931000000,956651000000,562789000000,578655000000,463861000000,784371000000,749975000000,997489000000,689828000000,987940000000,506061000000,13920000000,359915000000,640098000000,658607000000,740611000000,529571000000,676129000000,579158000000,682687000000,629676000000,673645000000,522247000000,574294000000,438921000000,438586000000,474635000000,642230000000,548300000000,722266000000,827404000000,756001000000,635738000000,762880000000,659218000000,692728000000,436128000000,600509000000,592092000000,663383000000,502381000000,124757000000,340607000000,353143000000,238516000000,149684000000,75390000000,-107963000000,46089000000,99070000000,111457000000,211663000000,95266000000,189109000000,58004000000,-194863000000,-682528000000,-360551000000,169477000000,412591000000,396653000000,601558000000,596737000000,675427000000,,,,,,,,
Interest Expense / Income,16800000000,37963000000,50988000000,19362000000,18445000000,9193000000,8875000000,7484000000,14441000000,9859000000,13225000000,10012000000,12755000000,11851000000,12707000000,9842000000,7570000000,8905000000,8164000000,3439000000,7537000000,6508000000,9153000000,4388000000,9765000000,8475000000,6190000000,4923000000,6101000000,9644000000,15262000000,4396000000,6094000000,7308000000,5555000000,3914000000,4309000000,5583000000,5154000000,4584000000,3982000000,6190000000,6759000000,6036000000,8092000000,3047000000,6402000000,5381000000,6509000000,6491000000,9190000000,7128000000,7004000000,7240000000,10365000000,8800000000,7987000000,12069000000,12473000000,14353000000,11112000000,10617000000,12999000000,11385000000,,,,,,,,
Other Expense / Income,-212773000000,-99687000000,-273687000000,-441023000000,-350736000000,-291225000000,-133862000000,-238506000000,-380494000000,-134280000000,-106530000000,-123721000000,-38384000000,-116799000000,-102733000000,-107965000000,-117770000000,480161000000,-241520000000,-224221000000,-84764000000,-178774000000,-134027000000,-228548000000,-72905000000,-226740000000,-92362000000,-102983000000,-25864000000,-135798000000,-47987000000,-162746000000,79404000000,-140568000000,-119017000000,-158933000000,11907000000,-138286000000,-78541000000,-113525000000,10932000000,-48700000000,-70006000000,-108154000000,-28557000000,-86842000000,-26411000000,-71316000000,-33072000000,-66768000000,-73824000000,-108379000000,-54408000000,-87069000000,31508000000,-78044000000,290196000000,-107628000000,-66995000000,-130087000000,-67989000000,-118560000000,-86929000000,-131634000000,,,,,,,,
Pretax Income,822904000000,1018375000000,785488000000,1000316000000,796152000000,1066403000000,874962000000,1228511000000,1055881000000,1112361000000,599366000000,127629000000,385544000000,745046000000,748633000000,838734000000,639771000000,187063000000,812514000000,903469000000,706903000000,845911000000,647121000000,798454000000,502061000000,656851000000,560807000000,740290000000,568063000000,848420000000,860129000000,914351000000,550240000000,896140000000,772680000000,847747000000,419912000000,733212000000,665479000000,772324000000,487467000000,167267000000,403854000000,455261000000,258981000000,233479000000,95399000000,-42028000000,72652000000,159347000000,176091000000,312914000000,142670000000,268938000000,16131000000,-125619000000,-980711000000,-264992000000,223999000000,528325000000,453530000000,709501000000,670667000000,795676000000,,,,,,,,
Income Tax,270612000000,290433000000,351224000000,263496000000,262264000000,274665000000,248310000000,330679000000,278684000000,273665000000,128841000000,-31214000000,58242000000,185748000000,218224000000,219603000000,180205000000,6148000000,227428000000,246163000000,226097000000,-95938000000,188849000000,185398000000,103656000000,170320000000,167099000000,187825000000,141446000000,220455000000,248411000000,267957000000,103765000000,296113000000,233618000000,259973000000,122880000000,207748000000,227050000000,210130000000,173487000000,67353000000,145932000000,164914000000,137947000000,152535000000,14978000000,-43188000000,47254000000,65718000000,77401000000,122448000000,30447000000,115719000000,-5705000000,-47797000000,-214946000000,-100351000000,84189000000,174666000000,136729000000,250833000000,219798000000,304135000000,,,,,,,,
Net Income,552292000000,727942000000,434264000000,736820000000,533888000000,791738000000,626652000000,897832000000,777197000000,838696000000,470525000000,158843000000,327302000000,559298000000,530409000000,619131000000,459566000000,180915000000,585086000000,657306000000,480806000000,941849000000,458272000000,613056000000,398405000000,486531000000,393708000000,552465000000,426617000000,627965000000,611718000000,646394000000,446475000000,600027000000,539062000000,587774000000,297032000000,525464000000,438429000000,562194000000,313980000000,99914000000,257922000000,290347000000,121034000000,80944000000,80421000000,1160000000,25398000000,93629000000,98690000000,190466000000,112223000000,153219000000,21836000000,-77822000000,-765765000000,-164641000000,139810000000,353659000000,316801000000,458668000000,450869000000,491541000000,,,,,,,,
Net Income Growth,3.45%,-8.06%,-30.70%,-17.93%,-31.31%,-5.60%,33.18%,465.23%,137.46%,49.96%,-11.29%,-74.34%,-28.78%,209.15%,-9.35%,-5.81%,-4.42%,-80.79%,27.67%,7.22%,20.68%,93.58%,16.40%,10.97%,-6.61%,-22.52%,-35.64%,-14.53%,-4.45%,4.66%,13.48%,9.97%,50.31%,14.19%,22.95%,4.55%,-5.40%,425.92%,69.99%,93.63%,159.41%,23.44%,220.71%,24929.91%,376.55%,-13.55%,-18.51%,-99.39%,-77.37%,-38.89%,351.96%,,,,-84.38%,,,,-68.99%,-28.05%,,,,,,,,,,,,
Shares Outstanding (Basic),13615939179,13687486964,13722367214,13778301544,13818740904,13850776690,13968744380,14093308270,13979776805,13973124495,13966368470,14066262160,14397695835,14397695835,14397695835,14397695835,14785119960,14785119960,14785119960,14785119960,15109114280,15109114280,15109114280,15109114280,15423879350,15423879350,15423879350,15423879350,15734068155,15734068155,15734068155,15734068155,15848830095,15848830095,15848830095,15848830095,15837143340,15837143340,15837143340,15837143340,15834048765,15834048765,15834048765,15834048765,15678493435,15678493435,15678493435,15678493435,15679979300,15679979300,15679979300,15679979300,15679412375,15679412375,15679412375,15679412375,15746399260,15746399260,15746399260,15746399260,15989683460,15989683460,15989683460,15989683460,16208788835,16208788835,16340394695,16340394695,16652351585,16652351585,17258088225,
Shares Change,-1.47%,-1.18%,-1.76%,-2.24%,-1.15%,-0.88%,0.02%,0.19%,-2.90%,-2.95%,-3.00%,-2.30%,-2.62%,-2.62%,-2.62%,-2.62%,-2.14%,-2.14%,-2.14%,-2.14%,-2.04%,-2.04%,-2.04%,-2.04%,-1.97%,-1.97%,-1.97%,-1.97%,-0.72%,-0.72%,-0.72%,-0.72%,0.07%,0.07%,0.07%,0.07%,0.02%,0.02%,0.02%,0.02%,0.99%,0.99%,0.99%,0.99%,-0.01%,-0.01%,-0.01%,-0.01%,0.00%,0.00%,0.00%,0.00%,-0.43%,-0.43%,-0.43%,-0.43%,-1.52%,-1.52%,-1.52%,-1.52%,-1.35%,-1.35%,-2.15%,-2.15%,-2.66%,-2.66%,-5.32%,,,,,
EPS (Basic),406.90,533.60,317.70,536.50,387.80,571.70,450.50,642.30,556.00,600.10,336.66,113.74,237.44,401.66,378.56,437.24,321.46,125.60,404.70,449.34,328.10,636.80,309.00,410.10,266.32,322.46,259.92,362.24,279.84,404.10,387.96,410.82,284.16,379.72,341.30,370.86,187.40,331.60,276.70,354.90,198.28,63.10,162.90,183.36,76.76,51.62,51.30,0.74,16.22,59.70,62.94,121.48,71.56,97.72,13.94,-49.64,-487.58,-104.52,89.24,224.60,201.38,288.94,283.02,307.96,,,,,,,,
EPS (Diluted),0.00,0.00,0.00,0.00,387.80,571.70,450.60,642.20,549.20,592.50,333.86,113.74,235.86,397.32,374.64,432.38,318.78,126.08,400.70,444.66,324.94,628.78,306.16,405.68,263.74,319.02,257.46,358.22,276.14,399.08,384.90,410.60,283.96,379.54,341.14,370.68,187.30,331.38,276.52,354.64,198.22,63.08,162.90,183.36,76.74,51.62,51.30,0.74,16.20,59.70,62.94,121.48,71.56,97.72,13.94,-49.64,-487.58,-104.48,89.24,224.56,201.36,288.86,282.88,307.78,,,,,,,,
EPS Growth,,,,,-29.39%,-3.51%,34.97%,464.62%,132.85%,49.12%,-10.89%,-73.69%,-26.01%,215.13%,-6.50%,-2.76%,-1.90%,-79.95%,30.88%,9.61%,23.20%,97.10%,18.92%,13.25%,-4.49%,-20.06%,-33.11%,-12.76%,-2.75%,5.15%,12.83%,10.77%,51.61%,14.53%,23.37%,4.52%,-5.51%,425.33%,69.75%,93.41%,158.30%,22.20%,217.54%,24678.38%,373.70%,-13.53%,-18.49%,-99.39%,-77.36%,-38.91%,351.51%,,,,-84.38%,,,,-68.45%,-27.04%,,,,,,,,,,,,
Free Cash Flow Per Share,438.79,-266.07,311.34,220.88,425.92,228.75,227.01,177.22,185.77,-92.55,78.24,93.70,-70.45,-90.78,229.82,-5.34,252.91,324.92,322.12,99.86,454.13,228.97,249.65,329.75,526.81,47.98,-78.67,350.99,449.71,249.59,75.36,213.97,383.28,52.34,131.36,173.24,227.82,201.37,297.25,379.12,162.78,96.49,155.46,248.26,178.93,37.08,-17.84,49.49,186.43,-36.34,96.42,308.89,134.86,166.57,538.28,205.30,83.42,-507.82,18.52,233.24,,,,,,,,,,,,
