Quarter Ended,2023-03-31,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30,2021-06-30,2021-03-31,2020-12-31,2020-09-30,2020-06-30,2020-03-31,2019-12-31,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-09-30,2013-06-30,2013-03-31,2012-12-31,2012-09-30,2012-06-30,2012-03-31,2011-12-31,2011-09-30,2011-06-30,2011-03-31,2010-12-31,2010-09-30,2010-06-30,2010-03-31,2009-12-31,2009-09-30,2009-06-30,2009-03-31,2008-12-31,2008-09-30,2008-06-30,2008-03-31,2007-12-31,2007-09-30,2007-06-30,2007-03-31,2006-09-30,2006-03-31,2005-09-30,2005-03-31,2004-09-30,2004-03-31,2003-03-31,2002-03-31
Market Capitalization,192924242227,186943696954,178788722431,212420074904,249082804795,256654892066,248294431354,246407401793,218168396819,215982585319,184970584017,176714451516,172700361541,202345217265,193634611285,178517030658,174493985768,171625672496,183852966703,190447130205,196977522868,192142606299,180055314875,158675918169,167534177500,180767865982,179009543736,154223369621,167284612624,193591974579,184529151322,210443161573,221709284199,198871120032,186271300107,189647100917,178801348309,193086451601,202762946182,191090971540,162520676524,147652504734,124313116854,127432424461,136120680003,103681877086,107021396187,129222142891,125831833882,123291677236,112237291829,107517618060,126093834320,131957934548,123193143030,118426601668,99674707316,103044436757,135104105651,148016153044,161319916428,169762469295,186855440914,201278135394,207731837709,176513710413,177946898229,150936225798,123860191089,127190661406,128572757276,,
Market Cap Growth,-22.55%,-27.16%,-27.99%,-13.79%,14.17%,18.83%,34.23%,39.44%,26.33%,6.74%,-4.47%,-1.01%,-1.03%,17.90%,5.32%,-6.26%,-11.41%,-10.68%,2.11%,20.02%,17.57%,6.29%,0.58%,2.89%,0.15%,-6.62%,-2.99%,-26.71%,-24.55%,-2.65%,-0.94%,10.97%,24.00%,3.00%,-8.13%,-0.76%,10.02%,30.77%,63.11%,49.95%,19.39%,42.41%,16.16%,-1.38%,8.18%,-15.91%,-4.65%,20.19%,-0.21%,-6.57%,-8.89%,-9.21%,26.51%,28.06%,-8.82%,-19.99%,-38.21%,-39.30%,-27.70%,-26.46%,-22.34%,-3.82%,5.01%,33.35%,67.71%,38.78%,38.40%,,,,,,
Enterprise Value,297108026215,295250788408,282327020009,314464142452,349179285517,361189205109,349443591318,346564743565,316188956966,311996247155,277081654093,272408053013,259601621967,276619964740,260763109895,245862150584,254574194859,249186663405,259947002739,265006794147,260646682973,263058063264,247871943194,223966043345,231250341760,248563609572,240771932002,209959498446,228708153979,261875147916,250748868645,277895393051,284189877978,267880881384,252224070191,253770831769,241300910923,259575188543,264164251040,249062662991,223491589475,210114446111,181755617656,184465471628,195786052936,167015599131,168675306791,188493518771,183187763427,178602051365,162129647280,154143199928,171600940332,182326204794,176499232219,177136153994,158031291973,165294048323,189814498697,206314544100,217513053005,169762469295,239748657540,201278135394,255696591460,221620933755,217436374419,187369300068,156061777323,155676583287,154421783079,21127851217,18176953552
PE Ratio,10.42,10.25,10.35,10.76,10.65,9.54,8.85,9.13,10.58,12.45,12.89,11.99,9.15,10.16,11.67,10.49,10.19,9.91,7.66,8.26,9.03,8.98,10.40,9.33,10.14,11.38,9.06,7.14,8.12,9.99,9.60,11.58,12.23,11.77,10.45,10.41,10.09,11.05,14.06,15.35,15.91,16.60,12.92,17.73,39.83,42.58,41.07,47.54,25.55,20.23,16.89,19.92,56.25,-18.32,-11.19,-13.12,-22.45,14.48,11.27,9.92,9.36,,11.88,,14.91,13.20,15.26,14.78,11.32,11.48,11.52,,
PS Ratio,0.69,0.70,0.77,0.91,0.97,0.95,0.89,0.89,0.87,0.85,0.76,0.71,0.62,0.72,0.68,0.63,0.64,0.63,0.68,0.71,0.77,0.74,0.71,0.63,0.67,0.78,0.66,0.57,0.66,0.82,0.78,0.93,0.98,0.89,0.78,0.75,0.72,0.82,0.84,0.83,0.69,0.58,0.45,0.49,0.61,0.46,0.48,0.59,0.55,0.51,0.46,0.48,0.62,0.71,0.66,0.63,0.48,0.40,0.56,0.60,0.61,,0.84,,1.02,0.92,1.00,0.88,0.72,0.78,0.77,,
PB Ratio,0.90,0.91,0.92,1.06,1.16,1.18,1.13,1.13,1.01,1.02,0.93,0.91,0.90,1.09,1.06,0.99,0.96,0.99,1.05,1.11,1.20,1.14,1.12,0.99,1.06,1.22,1.11,0.98,1.12,1.35,1.30,1.50,1.58,1.46,1.32,1.31,1.27,1.43,1.49,1.47,1.26,1.13,0.90,0.97,1.07,0.80,0.82,1.02,1.01,0.98,0.92,0.93,1.14,1.21,1.11,1.13,0.98,0.87,1.20,1.28,1.36,,1.74,,2.07,1.90,1.98,1.77,1.47,1.64,1.64,,
Debt / Equity Ratio,1.10,1.11,1.15,1.13,1.07,1.06,1.04,1.06,1.14,1.15,1.17,1.21,1.08,1.03,1.01,1.03,1.09,1.06,1.07,1.07,1.03,1.07,1.09,1.10,1.09,1.12,1.03,1.06,1.09,1.13,1.14,1.14,1.13,1.18,1.14,1.12,1.13,1.15,1.14,1.14,1.16,1.15,1.09,1.12,1.14,1.17,1.14,1.18,1.20,1.18,1.18,1.21,1.21,1.24,1.20,1.26,1.25,1.10,1.07,1.10,1.03,,1.05,,1.02,1.03,0.98,0.99,0.95,0.97,0.92,1.02,0.92
Current Ratio,1.10,1.09,1.06,1.10,1.09,1.07,1.07,1.09,1.06,1.05,1.07,1.08,1.05,1.06,1.06,1.08,1.04,1.00,1.03,1.01,1.02,1.04,1.05,1.05,1.03,1.01,1.04,1.08,1.13,1.10,1.14,1.09,1.09,1.06,1.06,1.09,1.07,1.05,1.09,1.10,1.07,1.03,1.06,1.05,1.05,1.02,1.03,1.08,1.10,1.18,1.22,1.23,1.22,1.19,1.20,1.10,1.07,1.00,1.00,1.00,1.01,,1.00,,1.01,1.05,1.07,1.08,1.15,1.17,1.17,1.22,1.21
Dividend Yield,,,,,,,,,,,13.54%,,16.53%,,12.06%,,18.54%,,14.14%,,16.79%,,15.08%,,18.10%,,15.27%,,18.95%,,13.88%,,14.38%,,9.63%,,15.54%,,9.20%,,11.38%,,8.58%,,8.06%,,6.93%,,8.36%,,6.11%,,6.40%,,5.38%,,10.60%,,14.65%,,14.36%,,10.23%,,8.21%,7.90%,8.66%,5.88%,9.14%,5.89%,5.76%,,
Payout Ratio,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,56.20%,0.00%,90.10%,0.00%,46.20%,0.00%,74.90%,0.00%,48.20%,0.00%,76.30%,0.00%,65.70%,0.00%,81.80%,0.00%,69.00%,0.00%,80.90%,0.00%,50.30%,0.00%,84.90%,0.00%,36.30%,0.00%,96.40%,0.00%,41.80%,0.00%,55.50%,0.00%,32.30%,0.00%,75.70%,0.00%,71.00%,0.00%,342.90%,0.00%,57.90%,0.00%,67.20%,0.00%,271.80%,0.00%,-13.50%,0.00%,149.10%,0.00%,71.70%,0.00%,48.60%,0.00%,,,,,,,,,
