Quarter Ended,2023-03-31,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30,2021-06-30,2021-03-31,2020-12-31,2020-09-30,2020-06-30,2020-03-31,2019-12-31,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-09-30,2013-06-30,2013-03-31,2012-12-31,2012-09-30,2012-06-30,2012-03-31,2011-12-31,2011-09-30,2011-06-30,2011-03-31,2010-12-31,2010-09-30,2010-06-30,2010-03-31,2009-12-31,2009-09-30,2009-06-30,2009-03-31,2008-12-31
Cash & Equivalents,16048000000,16253000000,19532000000,18324000000,17505000000,17576000000,16065000000,16229000000,17141000000,19384000000,14531000000,8615000000,8080000000,6268000000,5571000000,5082746000,2329119000,3879000000,3126131000,2383246000,2785867000,3523237000,3668211000,3154293000,4095539000,3498735000,3175251000,3317922000,1489572000,1219536000,1452391000,1170447000,1523922000,1917087000,2379825000,2682157000,2402059000,852324000,804491000,754478000,236180000,226143000,113242000,236487000,261574000,286810000,274387000,336064000,148532000,178022000,242185000,52665000,69033000,73207000,,,,10497000
Short-Term Investments,6354000000,5932000000,1575000000,591000000,508000000,131000000,30000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23711000,24525000,23980000,0,25223000,20591000,20693000,17947000,17331000,11714000,189111000,3012000,0,0,0,0,0,0,25009000,25061000,65060000,0,0,0,0,0,0,0,,,,0
Cash & Cash Equivalents,22402000000,22185000000,21107000000,18915000000,18013000000,17707000000,16095000000,16229000000,17141000000,19384000000,14531000000,8615000000,8080000000,6268000000,5571000000,5082746000,2329119000,3879000000,3126131000,2383246000,2785867000,3523237000,3668211000,3154293000,4095539000,3498735000,3198962000,3342447000,1513552000,1219536000,1477614000,1191038000,1544615000,1935034000,2397156000,2693871000,2591170000,855336000,804491000,754478000,236180000,226143000,113242000,236487000,286583000,311871000,339447000,336064000,148532000,178022000,242185000,52665000,69033000,73207000,0,0,0,10497000
Cash Growth,24.37%,25.29%,31.14%,16.55%,5.09%,-8.65%,10.76%,88.38%,112.14%,209.25%,160.83%,69.49%,246.91%,61.59%,78.21%,113.27%,-16.40%,10.10%,-14.78%,-24.44%,-31.98%,0.70%,14.67%,-5.63%,170.59%,186.89%,116.50%,180.63%,-2.01%,-36.98%,-38.36%,-55.79%,-40.39%,126.23%,197.97%,257.05%,997.12%,278.23%,610.42%,219.04%,-17.59%,-27.49%,-66.64%,-29.63%,92.94%,75.19%,40.16%,538.12%,115.16%,143.18%,,,,597.41%,,,,
Receivables,2993000000,2952000000,2192000000,2081000000,2311000000,1913000000,1962000000,2129000000,1890000000,1886000000,1757000000,1485000000,1274000000,1324000000,1128000000,1147100000,1046945000,949000000,1155001000,569874000,652848000,515381000,607734000,453539000,440349000,499142000,326895000,178594000,318056000,168965000,119964000,138648000,200052000,226604000,156889000,96607000,72380000,49109000,47580000,113544000,46139000,26842000,9164000,11023000,13589000,9539000,18250000,23308000,20260000,6710000,8062000,6467000,5931000,3488000,,,,3320000
Inventory,14375000000,12839000000,10327000000,8108000000,6691000000,5757000000,5199000000,4733000000,4132000000,4101000000,4218000000,4018000000,4494000000,3552000000,3581000000,3382358000,3836850000,3113000000,3314127000,3324643000,2565826000,2263537000,2471382000,2438111000,2220336000,2067454000,1604571000,1609607000,1301961000,1277838000,1293717000,1212279000,1054840000,953675000,752492000,596927000,450730000,340355000,347545000,254891000,237618000,268504000,159048000,66669000,55427000,50082000,49216000,54312000,50823000,45182000,39508000,29518000,28588000,23222000,,,,16650000
Other Current Assets,3227000000,2941000000,2364000000,2118000000,2035000000,1723000000,1746000000,1602000000,1542000000,1346000000,1238000000,1218000000,1045000000,959000000,660000000,569748000,464908000,366000000,325232000,422034000,379379000,268365000,321406000,313501000,271665000,194465000,41984000,73057000,105974000,115667000,107500000,86656000,121910000,64760000,56377000,54289000,41767000,21139000,19150000,6629000,6056000,3279000,3087000,2947000,3298000,1346000,5208000,4074000,7291000,5972000,-48622000,1384000,-2950000,642000,,,,960000
Total Current Assets,42997000000,40917000000,35990000000,31222000000,29050000000,27100000000,25002000000,24693000000,24705000000,26717000000,21744000000,15336000000,14893000000,12103000000,10940000000,10181952000,7677822000,8307000000,7920491000,6699797000,6383920000,6570520000,7068733000,6359444000,7027889000,6259796000,5172412000,5203705000,3239543000,2782006000,2998795000,2628621000,2921417000,3180073000,3362914000,3441694000,3156047000,1265939000,1218766000,1129542000,525993000,524768000,284541000,317126000,358897000,372838000,412121000,417758000,226906000,235886000,241133000,90034000,100602000,100559000,,,,31427000
"Property, Plant & Equipment",38669000000,36635000000,34563000000,33684000000,32639000000,31176000000,29248000000,27030000000,24844000000,23375000000,21990000000,20876000000,20468000000,20199000000,19845000000,19600979000,19318095000,19691000000,19733969000,19591426000,19180724000,20491616000,19516596000,18218554000,16555136000,15036917000,7258345000,6526976000,5837224000,5194737000,4464536000,3766263000,3136252000,2596011000,2022069000,1567048000,1301118000,1120919000,923306000,727047000,591057000,562300000,498037000,433642000,376174000,310171000,259794000,200180000,152513000,122599000,42896000,33156000,26866000,23535000,,,,18793000
Long-Term Investments,184000000,184000000,218000000,218000000,1261000000,1260000000,1260000000,1311000000,1331000000,0,0,0,0,0,653000000,765855000,766860000,820000000,819732000,834833000,883595000,898374000,872422000,831108000,816573000,774467000,0,0,0,31522000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0
