Date,Open,Close,High,Low,Volume,MA1,MA2
2010-06-29,1.2670,1.5930,1.6670,1.1690,281494500,,
2010-06-30,1.7190,1.5890,2.0280,1.5530,257806500,,
2010-07-01,1.6670,1.4640,1.7280,1.3510,123282000,,
2010-07-02,1.5330,1.2800,1.5400,1.2470,77097000,,
2010-07-06,1.3330,1.0740,1.3330,1.0550,103003500,,
2010-07-07,1.0930,1.0530,1.1090,0.9987,103825500,,
2010-07-08,1.0760,1.1640,1.1680,1.0380,115671000,,
2010-07-09,1.1720,1.1600,1.1930,1.1030,60759000,,
2010-07-12,1.1970,1.1370,1.2050,1.1330,33037500,,
2010-07-13,1.1600,1.2090,1.2430,1.1270,40201500,,
2010-07-14,1.1960,1.3230,1.3430,1.1840,62928000,,
2010-07-15,1.3290,1.3260,1.4330,1.2670,56097000,,
2010-07-16,1.3800,1.3760,1.4200,1.3370,39319500,,
2010-07-19,1.4250,1.4610,1.4830,1.3950,37297500,,
2010-07-20,1.4570,1.3530,1.4570,1.3370,27379500,,
2010-07-21,1.3770,1.3480,1.3930,1.3000,18787500,,
2010-07-22,1.3670,1.4000,1.4170,1.3580,14367000,,
2010-07-23,1.4130,1.4190,1.4370,1.4040,9804000,,
2010-07-26,1.4330,1.3970,1.4330,1.3530,13833000,,
2010-07-27,1.3940,1.3700,1.4120,1.3510,9295500,,
2010-07-28,1.3700,1.3810,1.3930,1.3670,7008000,,
2010-07-29,1.3850,1.3570,1.3920,1.3330,9240000,,
2010-07-30,1.3470,1.3290,1.3630,1.3030,6403500,,
2010-08-02,1.3670,1.3950,1.3980,1.3560,10771500,,
2010-08-03,1.4000,1.4630,1.4630,1.3880,18457500,,
2010-08-04,1.4630,1.4170,1.4790,1.3900,13695000,,
2010-08-05,1.4360,1.3630,1.4370,1.3370,11943000,,
2010-08-06,1.3400,1.3060,1.3440,1.3010,11128500,,
2010-08-09,1.3270,1.3070,1.3320,1.2970,12190500,,
2010-08-10,1.3100,1.2690,1.3100,1.2550,19219500,,
2010-08-11,1.2460,1.1930,1.2590,1.1900,11964000,,
2010-08-12,1.1870,1.1730,1.1930,1.1590,10365000,,
2010-08-13,1.2120,1.2210,1.2300,1.1770,9510000,,
2010-08-16,1.2300,1.2520,1.2530,1.2170,7287000,,
2010-08-17,1.2640,1.2770,1.2930,1.2520,6718500,,
2010-08-18,1.3060,1.2510,1.3060,1.2400,9019500,,
2010-08-19,1.2360,1.2530,1.2830,1.2220,8686500,,
2010-08-20,1.2430,1.2730,1.2740,1.2340,4440000,,
2010-08-23,1.2730,1.3420,1.3590,1.2670,16321500,,
2010-08-24,1.2830,1.2800,1.3140,1.2630,10096500,,
2010-08-25,1.2770,1.3270,1.3320,1.2370,7549500,,
2010-08-26,1.3260,1.3170,1.3510,1.3070,6507000,,
2010-08-27,1.3170,1.3130,1.3240,1.3000,5694000,,
2010-08-30,1.3130,1.3250,1.3460,1.3070,10992000,,
2010-08-31,1.3110,1.2990,1.3190,1.2890,3016500,,
2010-09-01,1.3080,1.3630,1.3790,1.3070,7423500,,
2010-09-02,1.3580,1.4040,1.4160,1.3540,7306500,,
2010-09-03,1.3910,1.4030,1.4200,1.3770,6519000,,
2010-09-07,1.3740,1.3690,1.4000,1.3670,3651000,,
2010-09-08,1.3770,1.3930,1.3970,1.3730,4326000,,
2010-09-09,1.4000,1.3810,1.4030,1.3790,5643000,1.3180,
2010-09-10,1.3830,1.3450,1.3950,1.3170,5799000,1.3130,
2010-09-13,1.3930,1.3810,1.3930,1.3670,5412000,1.3110,
2010-09-14,1.3690,1.4080,1.4400,1.3690,9820500,1.3140,
2010-09-15,1.3990,1.4650,1.4670,1.3860,10269000,1.3220,
2010-09-16,1.4770,1.3960,1.5440,1.3890,40267500,1.3290,
2010-09-17,1.4010,1.3490,1.4210,1.3200,17977500,1.3320,
2010-09-20,1.3780,1.4040,1.4230,1.3440,14212500,1.3370,
2010-09-21,1.3930,1.3850,1.4370,1.3780,11940000,1.3420,
2010-09-22,1.3910,1.3250,1.3970,1.3200,14443500,1.3450,
2010-09-23,1.3260,1.3040,1.3430,1.3000,10021500,1.3440,
2010-09-24,1.3300,1.3400,1.3460,1.3100,8683500,1.3440,
2010-09-27,1.3600,1.3690,1.3870,1.3370,6279000,1.3440,
2010-09-28,1.4030,1.4270,1.4330,1.3840,18217500,1.3440,
2010-09-29,1.4130,1.4650,1.4690,1.4090,29539500,1.3460,
2010-09-30,1.4670,1.3600,1.4770,1.3460,32937000,1.3460,
