Quarter Ended,2023-03-31,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30,2021-06-30,2021-03-31,2020-12-31,2020-09-30,2020-06-30,2020-03-31,2019-12-31,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-09-30,2013-06-30,2013-03-31,2012-12-31,2012-09-30,2012-06-30,2012-03-31,2011-12-31,2011-09-30,2011-06-30,2011-03-31,2010-12-31,2010-09-30,2010-06-30,2010-03-31,2009-12-31,2009-09-30,2009-06-30,2009-03-31,2008-12-31
Revenue,23329000000,24318000000,21454000000,16934000000,18756000000,17719000000,13757000000,11958000000,10389000000,10744000000,8771000000,6036000000,5985000000,7384000000,6303000000,6350000000,4541000000,7226000000,6824000000,4002231000,3408751000,3288498000,2984675000,2789557000,2696270000,2284631000,2298436000,1270017000,1147048000,1214380000,936789000,954976000,939880000,956661000,851804000,769349000,620542000,615219000,431346000,405139000,561792000,306332000,50104000,26653000,30167000,39375000,57666000,58171000,49030000,36286000,31241000,28405000,20812000,18585000,45527000,26945000,20886000,
Revenue Growth (YoY),24.38%,37.24%,55.95%,41.61%,80.54%,64.92%,56.85%,98.11%,73.58%,45.50%,39.16%,-4.94%,31.80%,2.19%,-7.63%,58.66%,33.22%,119.74%,128.63%,43.47%,26.42%,43.94%,29.86%,119.65%,135.06%,88.13%,145.35%,32.99%,22.04%,26.94%,9.98%,24.13%,51.46%,55.50%,97.48%,89.90%,10.46%,100.83%,760.90%,1420.05%,1762.27%,677.99%,-13.11%,-54.18%,-38.47%,8.51%,84.58%,104.79%,135.59%,95.24%,-31.38%,5.42%,-0.35%,,,,,
Cost of Revenue,18818000000,18541000000,16072000000,12700000000,13296000000,12872000000,10097000000,9074000000,8174000000,8678000000,6708000000,4769000000,4751000000,5993000000,5112000000,5429000000,3975000000,5783000000,5300000000,3383301000,2952225000,2849199000,2535535000,2122942000,2028324000,1849353000,1661701000,995241000,894580000,995816000,705293000,741606000,679807000,694964000,599953000,556354000,465414000,458630000,328478000,304656000,465472000,282475000,58865000,21891000,19957000,31540000,40442000,39663000,31002000,24965000,21945000,22144000,16960000,16804000,37828000,24844000,22932000,
Gross Profit,4511000000,5777000000,5382000000,4234000000,5460000000,4847000000,3660000000,2884000000,2215000000,2066000000,2063000000,1267000000,1234000000,1391000000,1191000000,921000000,566000000,1443000000,1524000000,618930000,456526000,439299000,449140000,666615000,667946000,435278000,636735000,274776000,252468000,218564000,231496000,213370000,260073000,261697000,251851000,212995000,155128000,156589000,102868000,100483000,96320000,23857000,-8761000,4762000,10210000,7835000,17224000,18508000,18028000,11321000,9296000,6261000,3852000,1781000,7699000,2101000,-2046000,
"Selling, General & Admin",1076000000,1032000000,961000000,961000000,992000000,1494000000,994000000,973000000,1056000000,969000000,888000000,661000000,627000000,699000000,596000000,647000000,704000000,668000000,730000000,750759000,686404000,682790000,652998000,537757000,603455000,456016000,336811000,321152000,318210000,288654000,236367000,201846000,195365000,196970000,155107000,134031000,117551000,101489000,77071000,59963000,47045000,45908000,37798000,36083000,30582000,27557000,27618000,24716000,24212000,25349000,20432000,22207000,16585000,16563000,10733000,8247000,6607000,
Research & Development,771000000,810000000,733000000,667000000,865000000,740000000,611000000,576000000,666000000,522000000,366000000,279000000,324000000,345000000,334000000,324000000,340000000,356000000,351000000,386129000,367096000,354564000,331622000,369774000,322040000,245960000,214302000,191664000,182482000,190243000,178791000,181712000,167154000,139565000,135873000,107717000,81544000,68453000,56351000,52312000,54859000,68832000,61901000,74854000,68391000,61205000,54083000,52531000,41162000,37617000,26698000,15416000,13265000,8143000,1257000,1941000,7941000,
Operating Expenses,1847000000,1876000000,1694000000,1770000000,1857000000,2234000000,1656000000,1572000000,1621000000,1491000000,1254000000,940000000,951000000,1032000000,930000000,1088000000,1088000000,1029000000,1108000000,1240322000,1053500000,1037354000,984620000,907531000,925495000,701976000,551113000,512816000,500692000,478897000,415158000,383558000,362519000,336535000,290980000,241748000,199095000,169942000,133422000,112275000,101904000,114740000,99699000,110937000,98973000,88762000,81701000,77247000,65374000,62966000,47130000,37623000,29850000,24706000,11990000,10188000,14548000,
Other Operating Expenses,0,34000000,0,142000000,0,0,51000000,23000000,-101000000,0,0,0,0,-12000000,0,117000000,44000000,5000000,27000000,103434000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Operating Income,2664000000,3901000000,3688000000,2464000000,3603000000,2613000000,2004000000,1312000000,594000000,575000000,809000000,327000000,283000000,359000000,261000000,-167000000,-522000000,414000000,416000000,-621392000,-596974000,-598055000,-535480000,-240916000,-257549000,-266698000,85622000,-238040000,-248224000,-260333000,-183662000,-170188000,-102446000,-74838000,-39129000,-28753000,-43967000,-13353000,-30554000,-11792000,-5584000,-90883000,-108460000,-106175000,-88763000,-80927000,-64477000,-58739000,-47346000,-51645000,-37834000,-31362000,-25998000,-22925000,-4291000,-8087000,-16594000,
Interest Expense / Income,29000000,33000000,53000000,44000000,61000000,71000000,126000000,75000000,99000000,246000000,163000000,170000000,169000000,170000000,185000000,172000000,158000000,175000000,175000000,163582000,149546000,146104000,117109000,108441000,99346000,65104000,46713000,46368000,40625000,38617000,29308000,24352000,26574000,28703000,29062000,31238000,11883000,6229000,6492000,20116000,118000,26000,78000,84000,65000,43000,0,0,0,0,298000,464000,230000,25000,18000,1086000,1402000,
