Date,Market Cap,% Change
2023-05-30,50369700000,4.14%
2023-05-26,48369300000,6.24%
2023-05-25,45528800000,0.44%
2023-05-24,45328700000,-3.41%
2023-05-23,46929000000,0.86%
2023-05-22,46529000000,-0.17%
2023-05-19,46609000000,0.09%
2023-05-18,46569000000,1.22%
2023-05-17,46008900000,2.22%
2023-05-16,45008700000,-3.35%
2023-05-15,46569000000,-0.26%
2023-05-12,46689000000,-1.68%
2023-05-11,47489100000,-0.17%
2023-05-10,47569200000,0.25%
2023-05-09,47449100000,-1.33%
2023-05-08,48089300000,0.25%
2023-05-05,47969200000,3.72%
2023-05-04,46248900000,-1.95%
2023-05-03,47169100000,-0.57%
2023-05-02,47438800000,-2.16%
2023-05-01,48484100000,1.52%
2023-04-28,47760400000,2.33%
2023-04-27,46675000000,0.61%
2023-04-26,46393500000,-1.95%
2023-04-25,47318200000,-3.21%
2023-04-24,48886100000,2.96%
2023-04-21,47479000000,-0.51%
2023-04-20,47720200000,-2.86%
2023-04-19,49127300000,-4.01%
2023-04-18,51177600000,0.39%
2023-04-17,50976600000,1.28%
2023-04-14,50333400000,0.48%
2023-04-13,50092200000,-1.66%
2023-04-12,50936400000,-1.55%
2023-04-11,51740500000,1.18%
2023-04-10,51137400000,3.16%
2023-04-06,49569500000,-0.80%
2023-04-05,49971600000,-2.28%
2023-04-04,51137400000,0.32%
2023-04-03,50976600000,0.63%
2023-03-31,50655000000,2.52%
2023-03-30,49408700000,1.99%
2023-03-29,48443900000,3.88%
2023-03-28,46634800000,0.69%
2023-03-27,46313100000,0.09%
2023-03-24,46272900000,0.79%
2023-03-23,45911100000,-0.52%
2023-03-22,46152300000,-2.05%
2023-03-21,47117200000,4.83%
2023-03-20,44946300000,-1.06%
2023-03-17,45428700000,-4.40%
2023-03-16,47519200000,0.94%
2023-03-15,47077000000,-1.84%
2023-03-14,47961400000,-0.83%
2023-03-13,48363500000,-0.58%
2023-03-10,48644900000,-2.81%
2023-03-09,50052000000,-4.08%
2023-03-08,52182700000,1.17%
2023-03-07,51579600000,-1.16%
2023-03-06,52182700000,-0.76%
2023-03-03,52584700000,4.22%
2023-03-02,50454000000,1.87%
2023-03-01,49529300000,2.07%
2023-02-28,48524300000,0.08%
2023-02-27,48484100000,1.52%
2023-02-24,47760400000,-1.57%
2023-02-23,48524300000,-1.15%
2023-02-22,49087100000,0.08%
2023-02-21,49046900000,-5.35%
2023-02-17,51820900000,-0.15%
2023-02-16,51901300000,-0.15%
2023-02-15,51981700000,-0.31%
2023-02-14,52142500000,-0.92%
2023-02-13,52624900000,2.83%
2023-02-10,51177600000,-5.63%
2023-02-09,54233000000,0.52%
2023-02-08,53951600000,-0.22%
2023-02-07,54072200000,2.36%
2023-02-06,52825900000,-0.68%
2023-02-03,53187700000,-7.62%
2023-02-02,57573500000,3.84%
2023-02-01,55442600000,2.07%
2023-01-31,54316900000,4.81%
2023-01-30,51824200000,-2.86%
2023-01-27,53352000000,2.71%
2023-01-26,51944800000,1.02%
2023-01-25,51422100000,0.39%
2023-01-24,51221100000,-0.47%
2023-01-23,51462300000,3.23%
2023-01-20,49854100000,1.81%
2023-01-19,48969600000,-1.85%
2023-01-18,49894300000,-2.05%
2023-01-17,50939700000,-0.39%
2023-01-13,51140700000,-5.29%
2023-01-12,53995200000,1.59%
2023-01-11,53150900000,2.96%
2023-01-10,51623100000,1.18%
2023-01-09,51020100000,0.87%
2023-01-06,50577800000,2.69%
2023-01-05,49251100000,2.00%
2023-01-04,48286100000,2.83%
2023-01-03,46959400000,0.43%
2022-12-30,46758300000,0.78%
2022-12-29,46396500000,5.39%
2022-12-28,44024400000,-2.23%
2022-12-27,45029500000,-1.41%
2022-12-23,45672800000,0.44%
2022-12-22,45471800000,-3.99%
2022-12-21,47361400000,2.70%
2022-12-20,46115100000,-1.88%
2022-12-19,46999600000,-3.55%
2022-12-16,48728400000,-6.98%
2022-12-15,52387000000,-3.34%
2022-12-14,54196300000,-0.66%
2022-12-13,54558100000,0.82%
2022-12-12,54115900000,2.12%
2022-12-09,52990100000,0.46%
2022-12-08,52748900000,0.15%
2022-12-07,52668500000,-1.36%
2022-12-06,53392200000,-0.75%
2022-12-05,53794200000,-3.46%
2022-12-02,55724000000,-1.56%
2022-12-01,56608600000,1.29%
2022-11-30,55884900000,1.09%
2022-11-29,55281800000,0.15%
2022-11-28,55201400000,-2.49%
2022-11-25,56608600000,0.36%
2022-11-23,56407500000,-0.28%
2022-11-22,56568400000,0.86%
2022-11-21,56085900000,-0.29%
2022-11-18,56246700000,0.58%
2022-11-17,55925100000,0.07%
2022-11-16,55884900000,-2.80%
2022-11-15,57493100000,1.71%
2022-11-14,56528100000,-3.03%
2022-11-11,58297200000,2.26%
2022-11-10,57010600000,6.54%
2022-11-09,53512800000,-2.99%
2022-11-08,55161200000,0.15%
2022-11-07,55080800000,1.41%
2022-11-04,54316900000,1.89%
2022-11-03,53311800000,1.53%
2022-11-02,52507700000,-2.54%
2022-11-01,53874600000,0.22%
2022-10-31,53754000000,0.83%
2022-10-28,53311800000,2.00%
2022-10-27,52266400000,1.41%
2022-10-26,51539400000,-0.08%
2022-10-25,51579600000,2.80%
2022-10-24,50172600000,2.38%
2022-10-21,49006700000,3.57%
2022-10-20,47318200000,-2.97%
2022-10-19,48765500000,0.83%
2022-10-18,48363500000,1.69%
2022-10-17,47559400000,1.37%
2022-10-14,46916200000,-0.85%
2022-10-13,47318200000,1.99%
2022-10-12,46393500000,-0.17%
2022-10-11,46473900000,1.76%
2022-10-10,45669900000,-6.89%
2022-10-07,49046900000,-1.29%
2022-10-06,49690100000,-1.20%
2022-10-05,50293200000,1.21%
2022-10-04,49690100000,7.76%
2022-10-03,46112100000,2.41%
2022-09-30,45026700000,-2.35%
2022-09-29,46112100000,-5.83%
2022-09-28,48966500000,2.27%
2022-09-27,47881000000,-0.67%
2022-09-26,48202600000,-2.60%
2022-09-23,49489100000,-3.60%
2022-09-22,51338400000,-2.15%
2022-09-21,52464100000,-0.31%
2022-09-20,52624900000,-12.32%
2022-09-19,60022100000,1.43%
2022-09-16,59177900000,-1.14%
2022-09-15,59861300000,1.57%
2022-09-14,58936700000,-0.54%
2022-09-13,59258300000,-5.15%
2022-09-12,62474500000,0.78%
2022-09-09,61992100000,-0.32%
2022-09-08,62193100000,0.26%
2022-09-07,62032300000,2.66%
2022-09-06,60424200000,-0.86%
2022-09-02,60946800000,-0.20%
2022-09-01,61067400000,-0.33%
2022-08-31,61268400000,-1.36%
2022-08-30,62112700000,-0.77%
2022-08-29,62595100000,1.04%
2022-08-26,61951900000,-3.26%
2022-08-25,64042400000,2.64%
2022-08-24,62394100000,1.31%
2022-08-23,61590000000,1.59%
2022-08-22,60625200000,-5.04%
2022-08-19,63841400000,-1.67%
2022-08-18,64926800000,0.75%
2022-08-17,64444400000,-2.43%
2022-08-16,66052500000,0.67%
2022-08-15,65610300000,0.87%
2022-08-12,65047400000,2.21%
2022-08-11,63640400000,2.13%
2022-08-10,62313700000,2.04%
2022-08-09,61067400000,-3.74%
2022-08-08,63439300000,3.14%
2022-08-05,61509600000,-0.46%
2022-08-04,61791100000,-2.04%
2022-08-03,63077500000,3.50%
2022-08-02,60946800000,-1.17%
2022-08-01,61670400000,4.42%
2022-07-29,59057300000,4.93%
2022-07-28,56283300000,6.15%
2022-07-27,53020700000,5.18%
2022-07-26,50407900000,-2.34%
2022-07-25,51613800000,0.16%
2022-07-22,51533400000,-1.38%
2022-07-21,52256900000,2.12%
2022-07-20,51171600000,1.11%
2022-07-19,50608800000,5.27%
2022-07-18,48076400000,0.67%
2022-07-15,47754800000,4.30%
2022-07-14,45785100000,-1.04%
2022-07-13,46267500000,-0.43%
2022-07-12,46468500000,2.39%
2022-07-11,45383200000,-2.84%
2022-07-08,46709700000,-0.26%
2022-07-07,46830300000,5.33%
2022-07-06,44458600000,-1.25%
2022-07-05,45021400000,-1.06%
2022-07-01,45503700000,1.71%
2022-06-30,44740000000,-3.39%
2022-06-29,46307700000,-2.46%
2022-06-28,47473400000,-1.91%
2022-06-27,48398000000,0.25%
2022-06-24,48277400000,3.89%
2022-06-23,46468500000,0.70%
2022-06-22,46146900000,0.17%
2022-06-21,46066500000,2.05%
2022-06-17,45142000000,-0.18%
2022-06-16,45222400000,-8.31%
2022-06-15,49322500000,0.57%
2022-06-14,49041100000,3.30%
2022-06-13,47473400000,-7.37%
2022-06-10,51252000000,-3.99%
2022-06-09,53382500000,-1.85%
2022-06-08,54387400000,-1.53%
2022-06-07,55231600000,2.08%
2022-06-06,54106000000,-0.30%
2022-06-03,54266800000,-2.81%
2022-06-02,55834500000,2.51%
2022-06-01,54467800000,-0.95%
2022-05-31,54990400000,0.37%
2022-05-27,54789400000,3.89%
2022-05-26,52739300000,3.23%
2022-05-25,51091200000,2.33%
2022-05-24,49925500000,-3.20%
2022-05-23,51573600000,2.64%
2022-05-20,50247100000,-2.72%
2022-05-19,51654000000,0.55%
2022-05-18,51372600000,-5.54%
2022-05-17,54387400000,3.68%
2022-05-16,52457900000,-3.33%
2022-05-13,54266800000,8.52%
2022-05-12,50005900000,-3.04%
2022-05-11,51573600000,-3.90%
2022-05-10,53663900000,-0.15%
2022-05-09,53744300000,-5.91%
2022-05-06,57120900000,-2.20%
2022-05-05,58407200000,-3.00%
2022-05-04,60216100000,2.88%
2022-05-03,58527800000,2.03%
2022-05-02,57362100000,0.78%
2022-04-29,56919900000,-3.15%
2022-04-28,58769000000,-0.93%
2022-04-27,59322200000,0.95%
2022-04-26,58762900000,-3.16%
2022-04-25,60680400000,0.40%
2022-04-22,60440700000,-3.63%
2022-04-21,62717800000,-2.18%
2022-04-20,64115900000,-0.62%
2022-04-19,64515400000,3.06%
2022-04-18,62597900000,1.23%
2022-04-14,61838900000,-0.19%
2022-04-13,61958700000,0.98%
2022-04-12,61359500000,0.52%
2022-04-11,61040000000,1.53%
2022-04-08,60121200000,0.60%
2022-04-07,59761600000,-2.79%
2022-04-06,61479400000,-2.72%
2022-04-05,63197100000,-5.04%
2022-04-04,66552700000,0.06%
2022-04-01,66512800000,-1.54%
2022-03-31,67551400000,-2.08%
2022-03-30,68989500000,-2.70%
2022-03-29,70907000000,6.48%
2022-03-28,66592700000,1.21%
2022-03-25,65793700000,-2.14%
2022-03-24,67231800000,0.90%
2022-03-23,66632600000,-2.40%
2022-03-22,68270500000,3.70%
2022-03-21,65833700000,-2.25%
2022-03-18,67351700000,1.69%
2022-03-17,66233100000,
2022-03-16,66233100000,3.24%
2022-03-15,64155900000,2.03%
2022-03-14,62877500000,-1.87%
2022-03-11,64076000000,-1.78%
2022-03-10,65234500000,-0.24%
2022-03-09,65394200000,2.12%
2022-03-08,64036000000,0.38%
2022-03-07,63796300000,-5.22%
2022-03-04,67311700000,-4.26%
2022-03-03,70307800000,-2.76%
2022-03-02,72305200000,8.38%
2022-03-01,66712500000,-4.90%
2022-02-28,70148000000,-1.51%
2022-02-25,71226600000,3.96%
2022-02-24,68510200000,1.18%
2022-02-23,67711200000,-1.97%
2022-02-22,69069400000,-4.16%
2022-02-18,72065500000,2.85%
2022-02-17,70068100000,-2.61%
