Quarter Ended,2023-03-31,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30,2021-06-30,2021-03-31,2020-12-31,2020-09-30,2020-06-30,2020-03-31,2019-12-31,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-09-30,2013-06-30,2013-03-31,2012-12-31,2012-09-30,2012-06-30,2012-03-31,2011-12-31,2011-09-30,2011-06-30,2011-03-31,2010-12-31,2010-09-30,2010-06-30,2010-03-31,2009-12-31,2009-09-30
Revenue,39985000000,43108000000,41889000000,35759000000,35979000000,33584000000,26779000000,34167000000,32474000000,37518000000,35480000000,16778000000,32709000000,30826000000,35473000000,36060000000,34878000000,38399000000,35791000000,36760000000,36099000000,37715000000,33623000000,36984000000,37266000000,39896000000,38889000000,37383000000,37265000000,22990000000,38843000000,38180000000,35712000000,39617000000,39255000000,39649000000,37408000000,40485000000,38983000000,39075000000,36884000000,39307000000,37576000000,37614000000,37759000000,37990000000,36719000000,39373000000,36194000000,36882000000,34060000000,33174000000,31476000000,32327000000,25147000000
Revenue Growth (YoY),11.13%,28.36%,56.42%,4.66%,10.79%,-10.49%,-24.52%,103.64%,-0.72%,21.71%,0.02%,-53.47%,-6.22%,-19.72%,-0.89%,-1.90%,-3.38%,1.81%,6.45%,-0.61%,-3.13%,-5.47%,-13.54%,-1.07%,0.00%,73.54%,0.12%,-2.09%,4.35%,-41.97%,-1.05%,-3.71%,-4.53%,-2.14%,0.70%,1.47%,1.42%,3.00%,3.74%,3.88%,-2.32%,3.47%,2.33%,-4.47%,4.32%,3.00%,7.81%,18.69%,14.99%,14.09%,35.44%,,,,
Cost of Revenue,34859000000,37105000000,36020000000,31350000000,31279000000,29586000000,22986000000,29160000000,27394000000,32621000000,29428000000,16682000000,30082000000,29098000000,31161000000,31471000000,31535000000,35092000000,31597000000,33067000000,33198000000,33076000000,29744000000,32210000000,32327000000,36454000000,33341000000,31903000000,32475000000,18978000000,33564000000,33915000000,31842000000,35235000000,35107000000,36777000000,35002000000,36210000000,33791000000,34399000000,32973000000,42293000000,33046000000,32946000000,33158000000,33396000000,31946000000,33979000000,31850000000,33170000000,29587000000,28609000000,27553000000,32762000000,23554000000
Gross Profit,5126000000,6003000000,5869000000,4409000000,4700000000,3998000000,3793000000,5007000000,5080000000,4897000000,6052000000,96000000,2627000000,1728000000,4312000000,4589000000,3343000000,3307000000,4194000000,3693000000,2901000000,4639000000,3879000000,4774000000,4939000000,3442000000,5548000000,5480000000,4790000000,4012000000,5279000000,4265000000,3870000000,4382000000,4148000000,2872000000,2406000000,4275000000,5192000000,4676000000,3911000000,-2986000000,4530000000,4668000000,4601000000,4594000000,4773000000,5394000000,4344000000,3712000000,4473000000,4565000000,3923000000,-435000000,1593000000
"Selling, General & Admin",2547000000,3393000000,2477000000,2293000000,2504000000,2478000000,2148000000,2125000000,1803000000,2130000000,1628000000,1310000000,1970000000,2282000000,2008000000,2102000000,2099000000,2478000000,2584000000,2216000000,2372000000,2434000000,2303000000,2477000000,2356000000,2967000000,2400000000,2508000000,2818000000,1512000000,4282000000,2977000000,3117000000,2953000000,2921000000,3343000000,2941000000,3629000000,2876000000,2925000000,2952000000,5347000000,2849000000,2847000000,2973000000,3303000000,2942000000,2924000000,2994000000,3429000000,2710000000,2623000000,2684000000,3370000000,2636000000
Operating Expenses,2547000000,3393000000,2477000000,2293000000,2504000000,2478000000,2148000000,2125000000,1803000000,2130000000,1628000000,1310000000,1970000000,2282000000,2008000000,2102000000,2099000000,2478000000,2584000000,2216000000,2372000000,2434000000,2303000000,2477000000,2356000000,2967000000,2400000000,2508000000,2818000000,1512000000,4282000000,2977000000,3117000000,3073000000,2921000000,3343000000,2941000000,4110000000,2936000000,2925000000,2952000000,31797000000,2927000000,2847000000,3605000000,4144000000,2967000000,2943000000,3395000000,3432000000,2740000000,2662000000,2730000000,3425000000,2596000000
Other Operating Expenses,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,120000000,0,0,0,481000000,60000000,0,0,26450000000,78000000,0,632000000,841000000,25000000,19000000,401000000,3000000,30000000,39000000,46000000,55000000,-40000000
Operating Income,2579000000,2610000000,3392000000,2116000000,2196000000,1520000000,1645000000,2882000000,3277000000,2767000000,4424000000,-1214000000,657000000,-554000000,2304000000,2487000000,1244000000,829000000,1610000000,1477000000,529000000,2205000000,1576000000,2297000000,2583000000,475000000,3148000000,2972000000,1972000000,2500000000,997000000,1288000000,753000000,1309000000,1227000000,-471000000,-535000000,165000000,2256000000,1751000000,959000000,-34783000000,1603000000,1821000000,996000000,450000000,1806000000,2451000000,949000000,280000000,1733000000,1903000000,1193000000,-3860000000,-1003000000
Interest Expense / Income,234000000,268000000,259000000,234000000,226000000,227000000,230000000,243000000,250000000,275000000,327000000,303000000,193000000,200000000,206000000,195000000,181000000,185000000,161000000,159000000,150000000,145000000,151000000,132000000,147000000,150000000,145000000,144000000,127000000,93000000,112000000,108000000,110000000,104000000,96000000,100000000,103000000,117000000,65000000,61000000,91000000,133000000,128000000,118000000,110000000,135000000,101000000,155000000,149000000,248000000,263000000,250000000,337000000,329000000,365000000
Other Expense / Income,-478000000,-237000000,-1017000000,-300000000,-941000000,-919000000,-1157000000,-1168000000,-1172000000,-996000000,-835000000,-647000000,-187000000,-397000000,-524000000,-650000000,-1231000000,-789000000,-1185000000,-1591000000,-1133000000,-685000000,2090000000,-29000000,-959000000,-1813000000,-672000000,-915000000,-667000000,-1369000000,-639000000,-514000000,-831000000,-1061000000,-767000000,-595000000,-627000000,-1126000000,-368000000,-466000000,-716000000,-465000000,-715000000,-384000000,-645000000,-117000000,-509000000,-635000000,-2703000000,-1201000000,-667000000,-244000000,-721000000,111000000,-371000000
