Quarter Ended,2023-03-31,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30,2021-06-30,2021-03-31,2020-12-31,2020-09-30,2020-06-30,2020-03-31,2019-12-31,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-09-30,2013-06-30,2013-03-31,2012-12-31,2012-09-30,2012-06-30,2012-03-31,2011-12-31,2011-09-30,2011-06-30,2011-03-31,2010-12-31,2010-09-30,2010-06-30,2010-03-31,2009-12-31,2009-09-30,2009-06-30,2009-03-31,2008-12-31,2008-09-30,2008-06-30,2008-03-31,2007-12-31,2007-09-30,2007-06-30,2007-03-31,2006-12-31,2006-09-30,2006-06-30,2006-03-31,2005-12-31,2005-09-30,2005-06-30,2005-03-31,2004-12-31,2004-09-30,2004-06-30,2004-03-31,2003-12-31,2003-09-30,2003-06-30,2003-03-31,2002-12-31,2002-09-30,2002-06-30,2002-03-31,2001-12-31,2001-09-30,2001-06-30
Cash & Equivalents,3803014000000,3595087000000,3935348000000,3630125000000,3674931000000,2690451000000,2619277000000,2503454000000,2758020000000,2873289000000,2965334000000,2607760000000,2672353000000,2441824000000,2334967000000,2391188000000,2494121000000,2194073000000,2250879000000,2167105000000,2256488000000,2210485000000,2207825000000,2019418000000,2105976000000,1800011000000,1679709000000,1672807000000,1757456000000,1633453000000,1643627000000,1650933000000,1471730000000,1331632000000,1162705000000,1107647000000,1168914000000,1214594000000,1132283000000,1139200000000,1206128000000,1158502000000,981309000000,1133944000000,1247113000000,1142719000000,1319402000000,1261356000000,1279024000000,1158669000000,1266256000000,1204122000000,1119902000000,1064973000000,945764000000,814473000000,690369000000,739414000000,954408000000,1049877000000,1050902000000,963538000000,863604000000,821430000000,945546000000,717057000000,745712000000,690555000000,716788000000,634836000000,731199000000,725568000000,773538000000,657159000000,695790000000,654931000000,724421000000,643020000000,624842000000,578991000000,547404000000,498078000000,518408000000,492547000000,609441000000,448003000000,465706000000,389847000000
Short-Term Investments,2163385000000,2180357000000,2145534000000,2195339000000,1911856000000,2020566000000,1782663000000,1947517000000,2089961000000,2036649000000,1742330000000,1861762000000,2068411000000,2141502000000,2017275000000,2044764000000,2114907000000,2102931000000,2106681000000,2139822000000,2053876000000,2104889000000,1947138000000,2009650000000,2028365000000,2125018000000,1767158000000,1859243000000,2029049000000,2127900000000,2051539000000,2219135000000,2191659000000,1690457000000,1575834000000,1478573000000,1464215000000,1477091000000,1393245000000,1345382000000,1243002000000,1151573000000,1049450000000,1064673000000,1081721000000,1048114000000,1041206000000,1117312000000,1131068000000,1096616000000,1109265000000,1149190000000,1100158000000,1044001000000,1031946000000,1093851000000,1172030000000,1271206000000,1519304000000,1503033000000,1340728000000,1496738000000,1494722000000,1548691000000,1426224000000,1474747000000,1471967000000,1365847000000,1230912000000,1295772000000,1214243000000,1133552000000,1021116000000,1033600000000,1091695000000,1011680000000,949733000000,1076092000000,1081896000000,1114177000000,1097541000000,923998000000,980852000000,903205000000,995087000000,868260000000,767479000000,750656000000
Cash & Cash Equivalents,5966399000000,5775444000000,6080882000000,5825464000000,5586787000000,4711017000000,4401940000000,4450971000000,4847981000000,4909938000000,4707664000000,4469522000000,4740764000000,4583326000000,4352242000000,4435952000000,4609028000000,4297004000000,4357560000000,4306927000000,4310364000000,4315374000000,4154963000000,4029068000000,4134341000000,3925029000000,3446867000000,3532050000000,3786505000000,3761353000000,3695166000000,3870068000000,3663389000000,3022089000000,2738539000000,2586220000000,2633129000000,2691685000000,2525528000000,2484582000000,2449130000000,2310075000000,2030759000000,2198617000000,2328834000000,2190833000000,2360608000000,2378668000000,2410092000000,2255285000000,2375521000000,2353312000000,2220060000000,2108974000000,1977710000000,1908324000000,1862399000000,2010620000000,2473712000000,2552910000000,2391630000000,2460276000000,2358326000000,2370121000000,2371770000000,2191804000000,2217679000000,2056402000000,1947700000000,1930608000000,1945442000000,1859120000000,1794654000000,1690759000000,1787485000000,1666611000000,1674154000000,1719112000000,1706738000000,1693168000000,1644945000000,1422076000000,1499260000000,1395752000000,1604528000000,1316263000000,1233185000000,1140503000000
Cash Growth,6.79%,22.59%,38.14%,30.88%,15.24%,-4.05%,-6.49%,-0.42%,2.26%,7.13%,8.17%,0.76%,2.86%,6.66%,-0.12%,3.00%,6.93%,-0.43%,4.88%,6.90%,4.26%,9.95%,20.54%,14.07%,9.19%,4.35%,-6.72%,-8.73%,3.36%,24.46%,34.93%,49.64%,39.13%,12.27%,8.43%,4.09%,7.51%,16.52%,24.36%,13.01%,5.17%,5.44%,-13.97%,-7.57%,-3.37%,-2.86%,-0.63%,1.08%,8.56%,6.94%,20.11%,23.32%,19.20%,4.89%,-20.05%,-25.25%,-22.13%,-18.28%,4.89%,7.71%,0.84%,12.25%,6.34%,15.26%,21.77%,13.53%,13.99%,10.61%,8.53%,14.19%,8.84%,11.55%,7.20%,-1.65%,4.73%,-1.57%,1.78%,20.89%,13.84%,21.31%,2.52%,8.04%,21.58%,22.38%,,,,
Receivables,1060271000000,839340000000,912679000000,856082000000,896768000000,716296000000,666741000000,703623000000,801814000000,639755000000,687819000000,609222000000,633909000000,635473000000,691505000000,771359000000,793245000000,689495000000,747596000000,737184000000,800463000000,723955000000,757390000000,725451000000,764026000000,714973000000,691742000000,687933000000,826714000000,699727000000,724242000000,816436000000,820681000000,1101426000000,1061633000000,1048694000000,1158671000000,1035190000000,941229000000,949338000000,1005981000000,796114000000,774265000000,806273000000,812155000000,605522000000,590377000000,631210000000,787691000000,733114000000,746353000000,813415000000,883476000000,776898000000,702952000000,799068000000,854214000000,888880000000,936240000000,971714000000,1021743000000,974760000000,894928000000,974405000000,1055470000000,885427000000,796245000000,827621000000,963320000000,765413000000,672160000000,707150000000,791195000000,625649000000,630559000000,621774000000,688303000000,288090000000,320461000000,380891000000,444498000000,368939000000,332185000000,366924000000,452208000000,289607000000,368947000000,401975000000
Inventory,2167184000000,2111587000000,2265163000000,2093218000000,1918548000000,1799424000000,1761246000000,1736099000000,1545600000000,1448639000000,1509539000000,1651700000000,1560568000000,1566420000000,1629194000000,1559036000000,1586787000000,1618680000000,1604121000000,1521811000000,1523455000000,1495779000000,1426241000000,1444970000000,1364130000000,1386055000000,1241950000000,1230618000000,1313292000000,1396478000000,1371274000000,1457279000000,1498312000000,1488602000000,1384676000000,1289093000000,1302895000000,1318174000000,1216975000000,1223656000000,1215421000000,1206548000000,1080940000000,1062688000000,1035779000000,882931000000,815336000000,802751000000,899813000000,941723000000,879662000000,894536000000,935629000000,916461000000,908966000000,1074806000000,1243961000000,1365824000000,1334851000000,1280193000000,1199260000000,1349894000000,1243573000000,1265968000000,1183116000000,1170848000000,1109412000000,1066515000000,1036304000000,1019907000000,941161000000,928871000000,862370000000,850848000000,818265000000,756169000000,765433000000,775710000000,784796000000,775977000000,751980000000,703389000000,670268000000,638409000000,644282000000,715496000000,640223000000,638945000000
Other Current Assets,384494000000,363750000000,435975000000,476453000000,439322000000,368076000000,328047000000,379036000000,383696000000,361229000000,314314000000,334919000000,365769000000,365040000000,331887000000,350061000000,358234000000,374224000000,362670000000,350579000000,291006000000,332242000000,325261000000,318024000000,292970000000,309554000000,287479000000,300225000000,315115000000,391771000000,271287000000,282383000000,313758000000,727190000000,685108000000,636377000000,676571000000,666060000000,640451000000,640483000000,652521000000,549603000000,513111000000,481496000000,562318000000,530073000000,557486000000,535925000000,592451000000,613862000000,562188000000,501892000000,574559000000,567079000000,584921000000,668986000000,660604000000,592540000000,710772000000,567754000000,618935000000,614719000000,678444000000,604158000000,582253000000,595406000000,614850000000,637835000000,628279000000,646702000000,597838000000,555137000000,560523000000,517544000000,535825000000,531765000000,525364000000,512005000000,511794000000,468178000000,450937000000,442040000000,433116000000,386490000000,387326000000,378898000000,359693000000,342665000000
Total Current Assets,9578348000000,9090121000000,9694699000000,9251217000000,8841425000000,7594813000000,7157974000000,7269729000000,7579091000000,7359561000000,7219336000000,7065363000000,7301010000000,7150259000000,7004828000000,7116408000000,7347294000000,6979403000000,7071947000000,6916501000000,6925288000000,6867350000000,6663855000000,6517513000000,6555467000000,6335611000000,5668038000000,5750826000000,6241626000000,6249329000000,6061969000000,6426166000000,6296140000000,6339307000000,5869956000000,5560384000000,5771266000000,5711109000000,5324183000000,5298059000000,5323053000000,4862340000000,4399075000000,4549074000000,4739086000000,4209359000000,4323807000000,4348554000000,4690047000000,4543984000000,4563724000000,4563155000000,4613724000000,4369412000000,4174549000000,4451184000000,4621178000000,4857864000000,5455575000000,5372571000000,5231568000000,5399649000000,5175271000000,5214652000000,5192609000000,4843485000000,4738186000000,4588373000000,4575603000000,4362630000000,4156601000000,4050278000000,4008742000000,3684800000000,3772134000000,3576319000000,3653254000000,3294917000000,3323789000000,3318214000000,3292360000000,2936444000000,2934829000000,2787575000000,3088344000000,2700264000000,2602048000000,2524088000000
"Property, Plant & Equipment",7894401000000,7994337000000,8602403000000,8564141000000,8238536000000,8047143000000,8011994000000,8005736000000,7941430000000,7524770000000,7559066000000,7578932000000,7677767000000,7727426000000,7599653000000,7541557000000,7430689000000,7302695000000,7460299000000,7301643000000,7150566000000,7446184000000,7452585000000,7323156000000,7305041000000,7365983000000,6526384000000,6520617000000,6817675000000,6927575000000,6747445000000,6810176000000,6524878000000,6058205000000,5553634000000,5117880000000,5055153000000,4925039000000,4596519000000,4499310000000,4242662000000,3864587000000,3532947000000,3449612000000,3446215000000,3200805000000,3147330000000,3258735000000,3296988000000,3188873000000,3230365000000,3297951000000,3394810000000,3413131000000,3381122000000,3497459000000,3435520000000,3234468000000,3539302000000,3398429000000,3120271000000,3068523000000,2950056000000,2750220000000,2414937000000,2095905000000,1864452000000,1757291000000,1815267000000,1751534000000,1658577000000,1597774000000,1584252000000,1511141000000,1538036000000,1457674000000,1435531000000,1377115000000,1388512000000,1410146000000,1394343000000,1382683000000,1375935000000,1362007000000,1389713000000,1344221000000,1277284000000,1259222000000
Long-Term Investments,5766275000000,5626435000000,6088129000000,5928396000000,5527441000000,5341725000000,5455594000000,5428369000000,5139431000000,4771393000000,4630638000000,4406913000000,4380006000000,4534543000000,4611434000000,4554925000000,4583805000000,4524008000000,4692125000000,4415994000000,4233436000000,4397404000000,4363635000000,4155384000000,4032489000000,4090049000000,3710775000000,3712457000000,4010259000000,4309595000000,4435390000000,4581149000000,4550208000000,4695055000000,4372946000000,4150092000000,4135480000000,4277301000000,3977996000000,3795775000000,3456925000000,3209212000000,2943787000000,2920065000000,2988000000000,2847153000000,2824666000000,2996315000000,2988845000000,2972219000000,2972617000000,3022108000000,3004016000000,3046625000000,2983174000000,3068154000000,3039351000000,3179713000000,3620552000000,3710629000000,3479742000000,3893260000000,3874337000000,4024069000000,3791773000000,3950697000000,4008626000000,3797892000000,3689878000000,3631826000000,3596984000000,3380504000000,3238499000000,2811690000000,2890243000000,2568161000000,2806940000000,2788216000000,2899172000000,2830553000000,2642991000000,2568020000000,2419209000000,2212527000000,2204356000000,2125302000000,1929009000000,1949911000000
