Date,Open,Close,High,Low,Volume,MA1,MA2
1980-03-16,4.4700,4.4700,4.5480,4.4700,26000,,
1980-03-17,4.5480,4.5480,4.5480,4.5480,2000,,
1980-03-18,4.4930,4.4930,4.4930,4.4930,2000,,
1980-03-20,4.4930,4.4930,4.4930,4.4930,2000,,
1980-03-23,4.5200,4.5200,4.5200,4.5200,24000,,
1980-03-24,4.6200,4.6200,4.6750,4.6200,18000,,
1980-03-25,4.5480,4.5200,4.5480,4.5200,4000,,
1980-03-26,4.4700,4.4430,4.4700,4.4430,4000,,
1980-03-27,4.4430,4.4430,4.4430,4.3400,6000,,
1980-03-30,4.7000,4.7000,4.7000,4.7000,4000,,
1980-03-31,4.5480,4.4930,4.5480,4.4930,6000,,
1980-04-01,4.4430,4.4430,4.4430,4.4430,2000,,
1980-04-02,4.3900,4.3900,4.3900,4.3900,2000,,
1980-04-07,4.5200,4.5480,4.5480,4.5200,8000,,
1980-04-08,4.5480,4.5700,4.5700,4.5480,28000,,
1980-04-09,4.5480,4.5480,4.5480,4.5480,8000,,
1980-04-10,4.6480,4.6750,4.6750,4.6480,12000,,
1980-04-11,4.7280,4.7280,4.7280,4.7280,16000,,
1980-04-14,4.7550,4.7550,4.8050,4.7550,28000,,
1980-04-17,4.7280,4.7280,4.7280,4.7280,2000,,
1980-04-18,4.7550,4.7780,4.7780,4.7550,6000,,
1980-04-21,4.7780,4.7780,4.7780,4.7780,18000,,
1980-04-22,4.8050,4.8280,4.8280,4.8050,18000,,
1980-04-23,4.8050,4.8050,4.8050,4.8050,4000,,
1980-04-24,4.9580,5.0130,5.0130,4.9580,4000,,
1980-04-25,5.0130,5.0130,5.0130,4.9850,4000,,
1980-04-28,5.0850,5.1400,5.1400,5.0850,6000,,
1980-04-29,5.1400,5.1930,5.1930,5.1400,6000,,
1980-04-30,5.1930,5.1650,5.1930,5.1650,6000,,
1980-05-01,5.1650,5.1650,5.1650,5.1650,8000,,
1980-05-05,5.1650,5.1650,5.1650,5.1650,6000,,
1980-05-06,5.1650,5.1650,5.2200,5.1650,6000,,
1980-05-07,5.1930,5.1930,5.2200,5.1930,12000,,
1980-05-08,5.1930,5.2200,5.2200,5.1930,14000,,
1980-05-09,5.2200,5.1650,5.2930,5.1650,32000,,
1980-05-12,5.1650,5.1650,5.1650,5.1650,2000,,
1980-05-13,5.1930,5.1930,5.1930,5.1930,2000,,
1980-05-14,5.2200,5.2200,5.2200,5.2200,2000,,
1980-05-16,5.1650,5.1130,5.1650,5.0630,26000,,
1980-05-19,5.1130,5.1130,5.1130,5.1130,2000,,
1980-05-21,5.1400,5.1400,5.1650,5.1400,14000,,
1980-05-23,5.3480,5.3700,5.3980,5.3480,16000,,
1980-05-27,5.3700,5.4230,5.4230,5.3200,16000,,
1980-05-28,5.3700,5.3480,5.3700,5.3480,6000,,
1980-05-29,5.2930,5.2930,5.2930,5.2930,4000,,
1980-05-30,5.3700,5.4230,5.4230,5.3700,14000,,
1980-06-02,5.4780,5.4780,5.4780,5.4780,4000,,
1980-06-03,5.3700,5.3700,5.3700,5.3700,2000,,
1980-06-04,5.3700,5.2930,5.3700,5.2930,16000,,
1980-06-06,5.2930,5.2930,5.2930,5.2930,14000,,
1980-06-09,5.3480,5.3480,5.3480,5.3480,4000,4.9410,
1980-06-10,5.2930,5.2700,5.2930,5.2700,40000,4.9550,
1980-06-11,5.3700,5.3700,5.3700,5.3700,24000,4.9730,
1980-06-12,5.3700,5.3700,5.3700,5.3700,12000,4.9900,
1980-06-13,5.3700,5.3700,5.3700,5.3700,8000,5.0070,
1980-06-16,5.3700,5.3700,5.3700,5.3700,4000,5.0220,
1980-06-18,5.3700,5.3700,5.3700,5.3700,6000,5.0390,
1980-06-19,5.5280,5.5280,5.5280,5.5280,8000,5.0610,
1980-06-20,5.4780,5.4230,5.4780,5.4230,4000,5.0800,
1980-06-23,5.4780,5.4780,5.5000,5.4780,44000,5.0960,
1980-06-24,5.4230,5.3700,5.4230,5.3700,12000,5.1130,
1980-06-25,5.3200,5.2700,5.3200,5.2700,4000,5.1300,
1980-06-26,5.2700,5.2700,5.3200,5.2700,6000,5.1480,
1980-06-30,5.2930,5.2930,5.3200,5.2930,12000,5.1630,
1980-07-01,5.2930,5.2200,5.2930,5.2200,6000,5.1750,
1980-07-02,5.2200,5.2200,5.2700,5.2200,26000,5.1890,
1980-07-03,5.2200,5.2430,5.2430,5.1930,16000,5.2000,
1980-07-07,5.2430,5.2430,5.2430,5.1930,40000,5.2110,
1980-07-08,5.2200,5.2200,5.2200,5.1930,4000,5.2200,
1980-07-09,5.2200,5.1930,5.2430,5.1930,14000,5.2290,
1980-07-10,5.1930,5.2700,5.2700,5.1930,18000,5.2390,
1980-07-11,5.2200,5.2200,5.2200,5.2200,12000,5.2480,
1980-07-14,5.2200,5.1930,5.2430,5.1930,18000,5.2550,
1980-07-15,5.2430,5.2430,5.2430,5.2430,12000,5.2640,
1980-07-16,5.2430,5.2700,5.2700,5.2430,48000,5.2690,
1980-07-17,5.2700,5.2700,5.2700,5.2200,44000,5.2740,
1980-07-18,5.2700,5.2430,5.2700,5.2200,18000,5.2760,
1980-07-21,5.2200,5.2200,5.2200,5.1930,4000,5.2770,
1980-07-22,5.2200,5.1930,5.2200,5.1930,16000,5.2770,
1980-07-23,5.1650,5.0630,5.1650,5.0630,18000,5.2750,
1980-07-24,5.1400,5.1400,5.1400,5.1400,40000,5.2750,
1980-07-25,5.1400,5.1650,5.2200,5.1130,50000,5.2750,
1980-07-28,5.1650,5.0850,5.1650,5.0850,272000,5.2730,
1980-07-29,5.0630,5.0630,5.0630,5.0630,158000,5.2700,
1980-07-30,5.0850,5.0850,5.1130,5.0850,156000,5.2680,
1980-07-31,5.1400,5.1650,5.1930,5.1400,340000,5.2680,
1980-08-01,5.1650,5.1130,5.1650,5.1130,132000,5.2660,
1980-08-04,5.1400,5.1930,5.1930,5.1400,374000,5.2660,
1980-08-05,5.1930,5.1930,5.1930,5.1650,88000,5.2670,
1980-08-06,5.1930,5.1650,5.1930,5.1650,28000,5.2680,
1980-08-07,5.1650,5.1650,5.2200,5.1650,62000,5.2690,
1980-08-08,5.1930,5.2430,5.2930,5.1930,200000,5.2660,
1980-08-11,5.2930,5.3480,5.3480,5.2930,362000,5.2650,
1980-08-12,5.3480,5.4500,5.6300,5.3200,1476000,5.2670,
1980-08-13,5.4500,5.4780,5.4780,5.4500,244000,5.2710,
1980-08-14,5.4780,5.4780,5.5000,5.4500,480000,5.2720,
1980-08-15,5.4780,5.4500,5.5000,5.4500,780000,5.2710,
1980-08-18,5.4500,5.4500,5.4780,5.4500,32000,5.2730,
1980-08-19,5.4500,5.4230,5.4500,5.4230,76000,5.2750,
1980-08-20,5.4230,5.4230,5.4230,5.3980,4000,5.2780,
1980-08-21,5.4230,5.4500,5.4500,5.4230,12000,5.2800,
1980-08-22,5.4780,5.5500,5.5500,5.4780,44000,5.2860,
1980-08-25,5.5500,5.6250,5.6250,5.4850,28000,5.2910,
1980-08-26,5.6250,5.5980,5.6250,5.5700,138000,5.2950,
1980-08-27,5.4530,5.3980,5.4530,5.3980,46000,5.2960,
1980-08-28,5.4850,5.5130,5.5130,5.4850,28000,5.2990,
1980-08-29,5.5130,5.5130,5.5130,5.4850,10000,5.3020,
1980-09-02,5.5400,5.5400,5.5400,5.5400,16000,5.3020,
1980-09-03,5.5400,5.5400,5.5400,5.4850,54000,5.3040,
1980-09-04,5.5400,5.4850,5.5400,5.4850,488000,5.3040,
1980-09-05,5.4850,5.4850,5.4850,5.4530,50000,5.3070,
1980-09-08,5.5130,5.5130,5.5130,5.5130,28000,5.3110,
1980-09-09,5.5130,5.5130,5.5130,5.4530,28000,5.3160,
1980-09-10,5.5130,5.5400,5.5400,5.4850,78000,5.3210,
1980-09-11,5.6250,5.6250,5.6250,5.6250,80000,5.3290,
1980-09-12,5.6250,5.6800,5.7380,5.6250,66000,5.3390,
1980-09-15,5.7650,5.8530,5.8530,5.7650,168000,5.3510,
1980-09-16,5.8530,5.7650,5.8530,5.7650,270000,5.3610,
1980-09-17,5.7650,5.7650,5.7980,5.7380,434000,5.3720,
1980-09-18,5.7100,5.7100,5.7100,5.6530,140000,5.3820,
1980-09-19,5.7100,5.6800,5.7380,5.6800,38000,5.3910,
1980-09-22,5.5980,5.5400,5.5980,5.5130,54000,5.3970,
1980-09-23,5.5400,5.4850,5.5400,5.4530,220000,5.4030,
1980-09-24,5.4530,5.4530,5.4530,5.3980,36000,5.4070,
1980-09-25,5.4850,5.5700,5.6250,5.4850,640000,5.4130,
1980-09-26,5.5400,5.5130,5.5400,5.5130,66000,5.4180,
1980-09-28,5.5130,5.4530,5.5400,5.4530,68000,5.4220,
1980-09-29,5.4530,5.4530,5.4850,5.4530,26000,5.4270,
1980-09-30,5.4530,5.5400,5.5400,5.4530,344000,5.4340,
1980-10-01,5.5400,5.5400,5.5700,5.5400,50000,5.4430,
1980-10-02,5.5700,5.6530,5.6530,5.5700,48000,5.4540,
1980-10-05,5.8250,5.8530,5.8830,5.8250,44000,5.4670,
1980-10-06,5.7980,5.7380,5.7980,5.7380,4000,5.4800,
1980-10-07,5.7650,5.8250,5.8250,5.7650,70000,5.4960,
1980-10-08,5.7380,5.7380,5.7380,5.7380,70000,5.5090,
1980-10-09,5.6250,5.5980,5.6250,5.5980,62000,5.5170,
1980-10-12,5.8530,5.9650,5.9650,5.8530,100000,5.5340,
1980-10-13,5.9650,6.0230,6.0230,5.9650,2614000,5.5510,
1980-10-14,6.3050,6.3050,6.3350,6.3050,370000,5.5730,
1980-10-15,6.3050,6.3350,6.3630,6.3050,584000,5.5970,
1980-10-16,6.3350,6.3350,6.3350,6.2500,558000,5.6200,
1980-10-19,6.2780,6.2500,6.2780,6.2230,1134000,5.6400,
1980-10-20,6.2500,6.2500,6.2500,6.1950,444000,5.6580,
1980-10-21,6.1380,6.1100,6.1380,6.0500,314000,5.6710,
1980-10-22,5.9930,5.9930,5.9930,5.9100,132000,5.6820,
1980-10-23,5.9100,5.9100,5.9100,5.9100,188000,5.6900,
1980-10-26,5.8830,5.8830,5.8830,5.8530,172000,5.6990,
1980-10-27,5.7980,5.7980,5.7980,5.7650,94000,5.7060,
1980-10-28,5.8830,5.9650,5.9650,5.8830,158000,5.7170,
1980-10-29,6.0230,6.0500,6.0780,6.0230,70000,5.7290,
1980-10-30,5.9650,5.9650,5.9650,5.9380,212000,5.7400,
1980-11-02,5.9650,5.9930,5.9930,5.9380,132000,5.7480,
1980-11-04,5.8250,5.8250,5.8250,5.7650,164000,5.7520,
1980-11-05,5.7100,5.6530,5.7100,5.6530,48000,5.7540,
1980-11-06,5.6250,5.6250,5.6250,5.5980,110000,5.7580,
1980-11-09,5.6250,5.8830,5.9100,5.5980,232000,5.7660,
1980-11-10,5.8530,5.8250,5.8530,5.7980,674000,5.7720,
1980-11-11,5.7100,5.6800,5.7100,5.6800,332000,5.7750,
1980-11-12,5.6530,5.6250,5.6530,5.6250,24000,5.7760,
1980-11-13,5.5980,5.5700,5.5980,5.4850,124000,5.7780,
1980-11-16,5.5700,5.4850,5.5700,5.4850,38000,5.7780,
1980-11-17,5.4850,5.5980,5.6250,5.3980,290000,5.7800,
1980-11-18,5.5980,5.3980,5.5980,5.3980,52000,5.7770,
1980-11-19,5.4530,5.5130,5.5130,5.4530,150000,5.7770,
1980-11-20,5.5400,5.5980,5.5980,5.5400,66000,5.7760,
1980-11-23,5.5980,5.6250,5.6250,5.5400,66000,5.7750,
1980-11-24,5.6250,5.6250,5.6250,5.5700,44000,5.7710,
1980-11-25,5.5400,5.5400,5.5400,5.3980,124000,5.7660,
1980-11-27,5.5130,5.4850,5.5130,5.4250,60000,5.7610,
1980-11-30,5.4850,5.3680,5.4850,5.3680,52000,5.7540,
1980-12-01,5.3680,5.2850,5.3980,5.2580,52000,5.7460,
1980-12-02,5.3980,5.5130,5.5130,5.3980,156000,5.7450,
1980-12-03,5.4530,5.4250,5.4530,5.4250,22000,5.7440,
1980-12-04,5.4250,5.4530,5.4530,5.4250,36000,5.7440,
1980-12-07,5.5400,5.5400,5.5980,5.5400,138000,5.7430,
1980-12-08,5.5400,5.5980,5.5980,5.4530,386000,5.7450,
1980-12-09,5.5400,5.4850,5.5400,5.4850,22000,5.7460,
1980-12-10,5.4850,5.4250,5.5130,5.4250,94000,5.7450,
1980-12-11,5.4530,5.4530,5.4850,5.4530,50000,5.7430,
1980-12-14,5.5400,5.5400,5.6250,5.5400,48000,5.7430,
1980-12-15,5.5400,5.5980,5.5980,5.5400,46000,5.7420,
1980-12-16,5.5700,5.5700,5.5700,5.5130,32000,5.7370,
1980-12-17,5.5400,5.5400,5.5400,5.5400,4000,5.7330,
1980-12-18,5.5400,5.5700,5.5980,5.5130,32000,5.7280,
1980-12-21,5.5700,5.6800,5.6800,5.5130,58000,5.7260,
1980-12-22,5.6800,5.6800,5.6800,5.6800,14000,5.7280,
1980-12-25,5.6250,5.5700,5.6250,5.5400,24000,5.7200,
1980-12-28,5.5980,5.5980,5.6800,5.5980,32000,5.7120,
1980-12-29,5.6800,5.7980,5.7980,5.6800,58000,5.7020,
1980-12-30,5.7650,5.7650,5.7650,5.6530,26000,5.6900,
1981-01-01,5.7650,5.8250,5.8250,5.7380,16000,5.6800,
1981-01-04,5.9650,5.9650,6.0500,5.9650,228000,5.6740,
1981-01-05,5.9650,5.9650,5.9650,5.8530,144000,5.6690,
1981-01-06,5.7980,5.7380,5.7980,5.7380,162000,5.6610,
1981-01-07,5.7380,5.6800,5.7380,5.6800,24000,5.6550,
1981-01-08,5.7380,5.7650,5.7980,5.7380,88000,5.6520,
1981-01-11,5.7650,5.7380,5.7650,5.7380,58000,5.6490,
1981-01-12,5.7380,5.7100,5.7380,5.7100,12000,5.6470,
1981-01-13,5.6800,5.6250,5.6800,5.6250,14000,5.6410,
1981-01-14,5.6800,5.7100,5.7100,5.6800,112000,5.6340,
1981-01-15,5.7100,5.7380,5.7380,5.6800,36000,5.6290,5.3970
1981-01-18,5.8530,5.9100,5.9100,5.8530,104000,5.6280,5.4040
1981-01-19,5.9100,5.9100,5.9650,5.9100,44000,5.6290,5.4110
1981-01-20,5.9100,5.9930,5.9930,5.9100,24000,5.6360,5.4190
1981-01-21,5.9650,5.9650,5.9650,5.9380,24000,5.6430,5.4260
1981-01-22,5.9650,5.9650,6.0230,5.9650,92000,5.6440,5.4330
1981-01-25,5.9380,5.9100,5.9380,5.9100,114000,5.6460,5.4400
1981-01-26,5.9100,5.9100,5.9100,5.8530,16000,5.6510,5.4470
1981-01-27,5.8830,5.8250,5.8830,5.8250,12000,5.6550,5.4540
1981-01-28,5.8250,5.7980,5.8250,5.7380,50000,5.6590,5.4590
1981-01-29,5.9650,5.9930,5.9930,5.9650,58000,5.6690,5.4670
1981-02-01,5.9930,6.0230,6.0500,5.9930,66000,5.6780,5.4750
1981-02-02,6.0230,6.0500,6.0780,6.0230,458000,5.6910,5.4830
1981-02-03,6.0500,6.1380,6.1380,6.0500,388000,5.7040,5.4910
1981-02-04,6.1380,6.0780,6.1380,6.0230,352000,5.7130,5.4990
1981-02-05,6.0780,6.0780,6.1380,6.0230,1784000,5.7220,5.5060
1981-02-08,6.0780,6.1100,6.1380,6.0230,54000,5.7320,5.5130
1981-02-09,6.1100,6.1650,6.1650,6.1100,22000,5.7440,5.5210
1981-02-10,6.1380,6.0780,6.1380,6.0780,56000,5.7560,5.5270
1981-02-11,6.0780,6.0780,6.1380,6.0780,46000,5.7700,5.5340
1981-02-12,5.9930,5.9650,5.9930,5.9650,26000,5.7840,5.5400
1981-02-16,5.9650,5.9100,6.0230,5.9100,62000,5.7920,5.5460
1981-02-17,5.9650,6.0230,6.0230,5.9650,766000,5.8040,5.5510
1981-02-18,6.0230,6.1100,6.1100,5.9100,414000,5.8170,5.5580
1981-02-19,6.0230,5.9380,6.0230,5.9380,380000,5.8250,5.5630
1981-02-22,5.9100,5.9100,5.9100,5.8530,48000,5.8310,5.5670
1981-02-23,5.8830,5.8250,5.8830,5.8250,14000,5.8380,5.5710
1981-02-24,5.8250,5.8530,5.8530,5.8250,26000,5.8470,5.5740
1981-02-25,5.8530,5.8830,5.8830,5.7980,148000,5.8550,5.5770
1981-02-26,5.8830,5.9380,5.9380,5.8530,370000,5.8630,5.5810
1981-03-01,5.8530,5.8250,5.8530,5.8250,530000,5.8680,5.5850
1981-03-02,5.9100,5.9650,5.9930,5.9100,594000,5.8760,5.5890
1981-03-03,5.9930,5.9930,6.0500,5.9930,58000,5.8850,5.5930
1981-03-04,5.9380,5.9380,5.9380,5.8830,54000,5.8920,5.5960
1981-03-05,5.9930,6.0230,6.0500,5.9930,66000,5.8990,5.6000
1981-03-08,6.0500,6.0780,6.0780,6.0500,224000,5.9070,5.6050
1981-03-09,6.0500,6.0230,6.0500,6.0230,72000,5.9160,5.6090
1981-03-10,5.9650,5.9650,5.9650,5.9380,124000,5.9230,5.6130
1981-03-11,5.9650,5.9930,5.9930,5.9650,8000,5.9270,5.6170
1981-03-12,5.9650,5.9650,5.9650,5.9380,176000,5.9310,5.6220
1981-03-15,5.9930,6.0230,6.0230,5.9930,220000,5.9350,5.6260
1981-03-16,6.0780,6.1100,6.1100,6.0780,120000,5.9380,5.6300
1981-03-17,6.1100,6.1380,6.1380,6.1100,30000,5.9420,5.6330
1981-03-18,6.1950,6.2500,6.3050,6.1950,162000,5.9520,5.6380
1981-03-19,6.3350,6.5080,6.5080,6.3350,832000,5.9680,5.6440
1981-03-22,6.8200,6.9300,6.9300,6.8200,870000,5.9920,5.6510
1981-03-23,7.1600,7.2430,7.2730,7.1600,426000,6.0220,5.6600
1981-03-24,7.2430,7.2150,7.2430,7.1880,100000,6.0520,5.6690
1981-03-25,7.0150,7.0150,7.0150,6.9030,402000,6.0800,5.6780
1981-03-26,7.0150,6.9300,7.0480,6.9300,142000,6.1040,5.6860
1981-03-30,6.9600,6.9880,7.0150,6.9600,100000,6.1290,5.6940
1981-03-31,6.9880,6.9880,7.0150,6.9300,608000,6.1510,5.7030
1981-04-01,6.9880,7.0750,7.0750,6.9880,178000,6.1740,5.7120
