Date,Market Cap,% Change
2023-05-31,70319400000,-0.24%
2023-05-30,70488700000,-1.17%
2023-05-26,71322700000,1.45%
2023-05-25,70302200000,-0.13%
2023-05-24,70390500000,-1.01%
2023-05-23,71111700000,-3.86%
2023-05-22,73964500000,1.10%
2023-05-19,73157500000,1.04%
2023-05-18,72402000000,0.62%
2023-05-17,71953100000,0.25%
2023-05-16,71774000000,-0.14%
2023-05-15,71872100000,-1.10%
2023-05-12,72674300000,0.91%
2023-05-11,72021800000,0.49%
2023-05-10,71671000000,-0.68%
2023-05-09,72164000000,-0.94%
2023-05-08,72846000000,0.05%
2023-05-05,72806700000,1.72%
2023-05-04,71575300000,5.10%
2023-05-03,68104400000,0.67%
2023-05-02,67648100000,-1.20%
2023-05-01,68472300000,0.18%
2023-04-28,68349700000,0.14%
2023-04-27,68251600000,1.03%
2023-04-26,67557400000,-0.65%
2023-04-25,67998900000,-1.06%
2023-04-24,68729900000,0.78%
2023-04-21,68200000000,0.74%
2023-04-20,67702100000,-0.94%
2023-04-19,68347200000,-0.70%
2023-04-18,68830500000,-0.16%
2023-04-17,68938400000,-1.57%
2023-04-14,70039800000,0.92%
2023-04-13,69404400000,2.28%
2023-04-12,67856600000,0.88%
2023-04-11,67265500000,0.45%
2023-04-10,66963700000,0.39%
2023-04-06,66706200000,0.51%
2023-04-05,66365200000,-0.10%
2023-04-04,66433900000,-0.04%
2023-04-03,66460900000,
2023-03-31,66460900000,0.76%
2023-03-30,65960500000,0.01%
2023-03-29,65953100000,0.96%
2023-03-28,65325200000,0.05%
2023-03-27,65290800000,0.30%
2023-03-24,65094600000,-0.28%
2023-03-23,65278500000,0.36%
2023-03-22,65045500000,-0.55%
2023-03-21,65406100000,1.58%
2023-03-20,64385700000,1.27%
2023-03-17,63581100000,-1.95%
2023-03-16,64846800000,3.15%
2023-03-15,62867300000,-2.51%
2023-03-14,64488700000,1.09%
2023-03-13,63792000000,-0.45%
2023-03-10,64079000000,-1.30%
2023-03-09,64925300000,-1.85%
2023-03-08,66146900000,0.37%
2023-03-07,65904100000,-0.63%
2023-03-06,66318600000,-0.40%
2023-03-03,66586000000,2.60%
2023-03-02,64900800000,0.71%
2023-03-01,64444500000,0.90%
2023-02-28,63868100000,-0.38%
2023-02-27,64110900000,0.87%
2023-02-24,63559000000,-1.92%
2023-02-23,64800400000,0.59%
2023-02-22,64417300000,-0.84%
2023-02-21,64961100000,-1.53%
2023-02-17,65969600000,0.38%
2023-02-16,65722400000,-0.51%
2023-02-15,66056100000,0.61%
2023-02-14,65655700000,0.82%
2023-02-13,65119300000,1.45%
2023-02-10,64189900000,-2.49%
2023-02-09,65828700000,-0.09%
2023-02-08,65890500000,-0.13%
2023-02-07,65977000000,2.14%
2023-02-06,64592800000,0.49%
2023-02-03,64278900000,-2.05%
2023-02-02,65623600000,4.80%
2023-02-01,62617700000,0.80%
2023-01-31,62120900000,0.02%
2023-01-30,62106100000,-0.97%
2023-01-27,62716600000,2.40%
2023-01-26,61245800000,0.89%
2023-01-25,60704500000,0.63%
2023-01-24,60323800000,0.16%
2023-01-23,60225000000,0.52%
2023-01-20,59913500000,1.84%
2023-01-19,58828300000,-0.72%
2023-01-18,59253500000,0.78%
2023-01-17,58796200000,0.82%
2023-01-13,58316700000,0.03%
2023-01-12,58296900000,0.91%
2023-01-11,57770400000,0.76%
2023-01-10,57335300000,1.39%
2023-01-09,56549300000,2.09%
2023-01-06,55390000000,3.70%
2023-01-05,53412500000,-1.63%
2023-01-04,54299900000,2.00%
2023-01-03,53236900000,0.54%
2022-12-30,52952700000,-1.09%
2022-12-29,53538500000,3.02%
2022-12-28,51971300000,-0.83%
2022-12-27,52403900000,0.47%
2022-12-23,52159200000,-0.73%
2022-12-22,52542300000,-0.63%
2022-12-21,52873600000,-0.09%
2022-12-20,52920500000,-0.94%
2022-12-19,53424800000,-0.91%
2022-12-16,53914200000,-1.93%
2022-12-15,54974700000,-1.23%
2022-12-14,55661900000,-0.14%
2022-12-13,55738500000,1.33%
2022-12-12,55006800000,0.82%
2022-12-09,54559400000,0.18%
2022-12-08,54463000000,0.11%
2022-12-07,54401200000,-0.46%
2022-12-06,54653300000,-1.15%
2022-12-05,55291100000,-1.28%
2022-12-02,56007900000,-0.66%
2022-12-01,56378700000,2.25%
2022-11-30,55135400000,3.64%
2022-11-29,53199900000,-0.34%
2022-11-28,53380300000,-1.00%
2022-11-25,53921700000,0.25%
2022-11-23,53785700000,0.57%
2022-11-22,53481700000,1.05%
