Quarter Ended,2023-03-31,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30,2021-06-30,2021-03-31,2020-12-31,2020-09-30,2020-06-30,2020-03-31,2019-12-31,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2013-12-31
Market Capitalization,66460880536,52952681482,45729838830,45354112587,53909300273,64211899242,51881587085,51158487556,51921282255,57065613603,45770341618,42518258026,37933516327,40460215756,37661680838,39453232013,32702530314,24407288760,33604202576,33137852529,29581319804,25729642725,27113801300,21110872446,18249296385,14268502984,12729742859,10044888668,10233859210,11779981824,,,,,,,
Market Cap Growth,23.28%,-17.53%,-11.86%,-11.35%,3.83%,12.52%,13.35%,20.32%,36.87%,41.04%,21.53%,7.77%,16.00%,65.77%,12.07%,19.06%,10.55%,-5.14%,23.94%,56.97%,62.10%,80.32%,113.00%,110.17%,78.32%,21.12%,,,,,,,,,,,
Enterprise Value,66229802275,52905418716,45822833830,45589648376,53871836537,64399304924,52166523556,51657806604,52262452843,57534867262,46440110666,43235854655,38244315216,40717210138,37967330289,39736357013,32810845087,24701742783,33948426714,33612752529,30005242693,26223387023,27598994925,21737536446,18828469503,14924547195,13856821599,11376473112,11119805982,12864149034,-786245495,-801439955,,-911813559,,,-1003466300
PE Ratio,61.75,53.37,49.33,47.50,56.79,68.02,50.19,50.94,68.24,76.99,74.91,74.15,49.95,51.75,47.73,41.47,35.30,27.06,40.02,47.69,43.20,40.05,44.94,38.23,38.12,34.00,33.10,27.98,30.06,37.68,,,,,,,
PS Ratio,11.45,9.77,9.33,9.16,11.04,13.23,10.58,10.74,12.47,13.53,11.59,11.31,9.08,9.56,9.30,9.63,8.15,6.21,8.56,8.16,7.05,6.28,6.73,5.50,5.22,4.37,3.76,3.06,3.11,3.80,,,,,,,
PB Ratio,21.83,19.20,19.04,19.08,21.04,25.62,21.45,22.51,22.71,26.21,25.34,28.23,22.32,24.31,24.71,25.22,19.53,15.74,23.85,30.12,27.02,27.54,35.54,36.23,35.67,41.72,49.45,85.18,101.65,-431.71,,,,,,,
Debt / Equity Ratio,0.97,1.09,1.25,1.26,1.15,1.21,1.27,1.24,1.18,1.53,1.81,2.06,1.41,1.42,1.54,1.50,1.42,1.44,1.55,2.01,2.04,2.32,2.79,3.44,3.98,5.81,9.69,23.79,28.02,-94.09,0.26,0.28,,0.25,,,0.14
Dividend Yield,,,,0.80%,,,,0.50%,,,,0.66%,,,,0.64%,,,,0.65%,,,,0.79%,,,,,,,,,,,,,
Payout Ratio,0.00%,0.00%,0.00%,102.70%,0.00%,0.00%,0.00%,78.60%,0.00%,0.00%,0.00%,2011.40%,0.00%,0.00%,0.00%,93.40%,0.00%,0.00%,0.00%,86.40%,0.00%,0.00%,0.00%,82.80%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,
Buyback Yield / Dilution,0.76%,0.37%,0.37%,0.44%,0.37%,0.22%,0.22%,0.14%,0.22%,-1.73%,-1.73%,-1.73%,-1.73%,0.42%,0.42%,0.42%,0.42%,-0.01%,-0.01%,-0.01%,-0.01%,0.00%,0.00%,0.00%,0.00%,,,,,,,,,,,,
Total Shareholder Return,0.76%,0.37%,0.37%,1.24%,0.37%,0.22%,0.22%,0.64%,0.22%,-1.73%,-1.73%,-1.06%,-1.73%,0.42%,0.42%,1.06%,0.42%,-0.01%,-0.01%,0.64%,-0.01%,0.00%,0.00%,0.79%,0.00%,,,,,,,,,,,,
