Quarter Ended,2023-03-31,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30,2021-06-30,2021-03-31,2020-12-31,2020-09-30,2020-06-30,2020-03-31,2019-12-31,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-09-30,2013-06-30,2013-03-31,2012-12-31,2012-09-30,2012-06-30,2012-03-31,2011-12-31,2011-09-30,2011-06-30,2011-03-31,2010-12-31,2010-09-30,2010-06-30,2010-03-31,2009-12-31,2009-09-30,2009-06-30,2009-03-31,2008-12-31,2008-09-30,2008-06-30,2008-03-31,2007-12-31,2007-09-30,2007-06-30,2007-03-31,2006-09-30,2006-03-31,2005-09-30,2005-03-31,2004-09-30,2004-03-31,2003-03-31,2002-03-31
Cash & Equivalents,7516966000000,6022089000000,6980169000000,6685012000000,6113655000000,5770225000000,4954834000000,5013426000000,5100857000000,4479992000000,5514438000000,6801561000000,4098450000000,5247770000000,5314380000000,5228779000000,3602805000000,4142702000000,4460019000000,3896611000000,3953513000000,3948477000000,3914482000000,3998343000000,4077729000000,3689346000000,3754989000000,4454036000000,3971462000000,3166834000000,3419810000000,2570466000000,2433878000000,2480006000000,2447894000000,2290886000000,2221377000000,2052021000000,1872409000000,1623888000000,1824997000000,1365589000000,1777173000000,1803681000000,1759501000000,1809038000000,2076936000000,2316032000000,2284583000000,2021449000000,2311788000000,2811193000000,2258470000000,2506727000000,2771912000000,2730461000000,2489458000000,1757431000000,1901348000000,2042266000000,1763320000000,,2143361000000,,1927088000000,1926234000000,1619736000000,1755885000000,1547362000000,1596618000000,1798249000000,1647434000000,1677137000000
Short-Term Investments,9995481000000,10104457000000,10226392000000,10467442000000,9688575000000,8520085000000,9345633000000,9423326000000,10971646000000,10706299000000,9308993000000,8071798000000,8765206000000,7569021000000,7434460000000,7620250000000,9297759000000,7553706000000,7979039000000,8134820000000,8116666000000,8423827000000,8318256000000,8313559000000,8018247000000,7824751000000,6852938000000,6955919000000,7424073000000,8200952000000,8146223000000,8812783000000,9051961000000,8505698000000,7980974000000,7691755000000,7675811000000,7319732000000,7306074000000,7343660000000,6563323000000,6129317000000,5469022000000,5378895000000,5295967000000,5000565000000,4568247000000,4981397000000,5362240000000,5522858000000,5604540000000,5388702000000,6002661000000,5397025000000,4430631000000,4310796000000,4386732000000,4456115000000,5106172000000,5232967000000,4843352000000,,4788292000000,,4543602000000,4062684000000,4132198000000,3675107000000,3553259000000,3514178000000,3071396000000,3110623000000,2621228000000
Cash & Cash Equivalents,17512447000000,16126546000000,17206561000000,17152454000000,15802230000000,14290310000000,14300467000000,14436752000000,16072503000000,15186291000000,14823431000000,14873359000000,12863656000000,12816791000000,12748840000000,12849029000000,12900564000000,11696408000000,12439058000000,12031431000000,12070179000000,12372304000000,12232738000000,12311902000000,12095976000000,11514097000000,10607927000000,11409955000000,11395535000000,11367786000000,11566033000000,11383249000000,11485839000000,10985704000000,10428868000000,9982641000000,9897188000000,9371753000000,9178483000000,8967548000000,8388320000000,7494906000000,7246195000000,7182576000000,7055468000000,6809603000000,6645183000000,7297429000000,7646823000000,7544307000000,7916328000000,8199895000000,8261131000000,7903752000000,7202543000000,7041257000000,6876190000000,6213546000000,7007520000000,7275233000000,6606672000000,0,6931653000000,0,6470690000000,5988918000000,5751934000000,5430992000000,5100621000000,5110796000000,4869645000000,4758057000000,4298365000000
Cash Growth,10.82%,12.85%,20.32%,18.81%,-1.68%,-5.90%,-3.53%,-2.94%,24.95%,18.49%,16.27%,15.75%,-0.29%,9.58%,2.49%,6.80%,6.88%,-5.46%,1.69%,-2.28%,-0.21%,7.45%,15.32%,7.90%,6.15%,1.29%,-8.28%,0.23%,-0.79%,3.48%,10.90%,14.03%,16.05%,17.22%,13.62%,11.32%,17.99%,25.04%,26.67%,24.85%,18.89%,10.06%,9.04%,-1.57%,-7.73%,-9.74%,-16.06%,-11.01%,-7.44%,-4.55%,9.91%,16.45%,20.14%,27.20%,2.78%,-3.22%,4.08%,,1.09%,,2.10%,,20.51%,,26.86%,17.18%,18.12%,14.14%,18.66%,,,,
Receivables,3586130000000,3265428000000,3202115000000,2938876000000,3142832000000,3040244000000,2558831000000,2889722000000,2958742000000,2847322000000,2710991000000,2224404000000,2648360000000,2724564000000,2800188000000,2786026000000,2954617000000,2623785000000,2616214000000,2556578000000,2731462000000,2595194000000,2536122000000,2451081000000,2577992000000,2375199000000,2260202000000,2244600000000,2484553000000,2377002000000,2452356000000,2361025000000,2574574000000,2428536000000,2343253000000,2211642000000,2432380000000,2209203000000,2179408000000,2230501000000,2458093000000,1963958000000,2084003000000,2141470000000,2464898000000,1945450000000,1948153000000,1752349000000,1817510000000,1817849000000,1963940000000,1921796000000,2314158000000,2056427000000,1925088000000,1842858000000,1794994000000,1949124000000,2270705000000,2450964000000,2634542000000,,2470522000000,,2606730000000,2259848000000,2472110000000,1947686000000,2218644000000,1901265000000,1964296000000,2011019000000,1987056000000
Inventory,4255614000000,4034114000000,4266455000000,4022898000000,3821356000000,3466674000000,2924857000000,3098874000000,2888028000000,2619909000000,2709366000000,2449244000000,2533892000000,2433401000000,2576968000000,2738140000000,2731040000000,2555133000000,2583535000000,2536944000000,2539789000000,2542307000000,2491575000000,2456712000000,2388617000000,2212269000000,2058076000000,1958499000000,2061511000000,2104725000000,2195186000000,2201802000000,2137618000000,2133775000000,2062906000000,1972856000000,1894704000000,1889127000000,1885416000000,1863046000000,1715786000000,1623827000000,1566995000000,1625803000000,1622282000000,1465876000000,1429363000000,1383782000000,1304242000000,1373625000000,1379433000000,1412370000000,1422373000000,1416601000000,1460746000000,1483992000000,1459394000000,1858850000000,1961300000000,2065832000000,1825716000000,,1917129000000,,1803956000000,1702959000000,1620975000000,1443333000000,1306709000000,1191041000000,1083326000000,1025838000000,961840000000
Other Current Assets,1105590000000,1333869000000,1133132000000,1189839000000,955872000000,872665000000,903774000000,999142000000,857527000000,1023270000000,819958000000,895654000000,917412000000,1275585000000,850920000000,913340000000,592229000000,915868000000,887186000000,901992000000,811226000000,994827000000,865289000000,842842000000,771110000000,936582000000,726934000000,979359000000,2267954000000,2330034000000,2611532000000,2226281000000,1738366000000,1468599000000,1423209000000,1407135000000,1493434000000,1326143000000,1339042000000,1308980000000,1222691000000,1170868000000,1064181000000,1157775000000,1178541000000,1182662000000,1223281000000,1176484000000,1061180000000,1066912000000,933747000000,1267168000000,1075942000000,994310000000,1012485000000,1337824000000,1168351000000,1305267000000,1182660000000,1147516000000,1019297000000,,1105046000000,,999035000000,950854000000,890203000000,964167000000,814131000000,934607000000,931186000000,827319000000,825584000000
Total Current Assets,26459781000000,24759957000000,25808263000000,25304067000000,23722290000000,21669893000000,20687929000000,21424490000000,22776800000000,21676792000000,21063746000000,20442661000000,18963320000000,19250341000000,18976916000000,19286535000000,19178450000000,17791194000000,18525993000000,18026945000000,18152656000000,18504632000000,18125724000000,18062537000000,17833695000000,17038147000000,15653139000000,16592413000000,18209553000000,18179547000000,18825107000000,18172357000000,17936397000000,17016614000000,16258236000000,15574274000000,15717706000000,14796226000000,14582349000000,14370075000000,13784890000000,12253559000000,11961374000000,12107624000000,12321189000000,11403591000000,11245980000000,11610044000000,11829755000000,11802693000000,12193448000000,12801229000000,13073604000000,12371090000000,11600862000000,11705931000000,11298929000000,11326787000000,12422185000000,12939545000000,12086227000000,,12424350000000,,11880411000000,10902579000000,10735222000000,9786178000000,9440105000000,9137709000000,8848453000000,8622233000000,8072845000000
"Property, Plant & Equipment",13125342000000,12889342000000,13631585000000,13370396000000,12775052000000,12248311000000,12152027000000,11942239000000,11801297000000,11155490000000,11078390000000,11065416000000,10871351000000,10706202000000,10595401000000,10540525000000,11080935000000,10556459000000,10680919000000,10485317000000,10267673000000,10463324000000,10384159000000,10237743000000,10197109000000,10197167000000,9288831000000,9300653000000,9740417000000,9849256000000,9611870000000,9699657000000,9295719000000,9009691000000,8310987000000,7765576000000,7641298000000,7539817000000,7152369000000,7056806000000,6851239000000,6401216000000,6034111000000,6065995000000,6235380000000,5873055000000,5903223000000,6162530000000,6309160000000,6192931000000,6340008000000,6443871000000,6710901000000,6768797000000,6868761000000,7232910000000,7401681000000,7275969000000,7932701000000,8026406000000,7812002000000,,8224139000000,,7764039000000,7627789000000,7066628000000,6437438000000,5795594000000,5595811000000,5354647000000,5203879000000,5107010000000
Long-Term Investments,32274821000000,31622254000000,32723639000000,30933194000000,28938292000000,27644715000000,26898120000000,26308626000000,25694242000000,23521997000000,22692577000000,22786609000000,22616878000000,22043422000000,21009734000000,20649676000000,21518010000000,21398629000000,21989586000000,21249788000000,20643858000000,21072583000000,20554659000000,19965315000000,19537789000000,19811955000000,17887215000000,17624240000000,18714358000000,19828993000000,19069562000000,19935322000000,19526117000000,19820472000000,18410329000000,17336047000000,17297115000000,17546661000000,15891416000000,15111905000000,14223631000000,12985445000000,11579640000000,11322876000000,11577021000000,10798537000000,10543086000000,10760598000000,10955264000000,10429152000000,10126040000000,9762254000000,9766279000000,9674958000000,9358531000000,9631408000000,9584794000000,9952726000000,11570902000000,12187038000000,11502550000000,,12087526000000,,11782954000000,10587682000000,10061108000000,9163257000000,8251268000000,7685874000000,6841115000000,5501563000000,5524536000000
