Quarter Ended,2023-03-31,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30,2021-06-30,2021-03-31,2020-12-31,2020-09-30,2020-06-30,2020-03-31,2019-12-31,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-09-30,2013-06-30,2013-03-31,2012-12-31,2012-09-30,2012-06-30,2012-03-31,2011-12-31,2011-09-30,2011-06-30,2011-03-31,2010-12-31,2010-09-30,2010-06-30,2010-03-31,2009-12-31,2009-09-30,2009-06-30,2009-03-31,2008-12-31,2008-09-30,2008-06-30,2008-03-31,2007-12-31,2007-09-30,2007-06-30,2007-03-31,2006-09-30,2006-03-31,2005-09-30,2005-03-31,2004-09-30,2004-03-31,2003-03-31
Net Income,552292000000,727942000000,434264000000,736820000000,533888000000,791738000000,626652000000,897832000000,777197000000,838696000000,470525000000,158843000000,327302000000,559298000000,530409000000,619131000000,459566000000,180915000000,585086000000,657306000000,480806000000,941849000000,458272000000,613056000000,398405000000,486531000000,393708000000,552465000000,426617000000,627965000000,611718000000,646394000000,446475000000,600027000000,539062000000,587774000000,297032000000,525464000000,438429000000,562194000000,313980000000,99914000000,257922000000,290347000000,121034000000,80944000000,80421000000,1160000000,25398000000,93629000000,98690000000,190466000000,112223000000,153219000000,21836000000,-77822000000,-765765000000,-164641000000,139810000000,353659000000,316801000000,458668000000,450869000000,491541000000,,,,,,,,
Depreciation & Amortization,505145000000,518636000000,512757000000,503366000000,479347000000,471129000000,431626000000,439778000000,426103000000,407599000000,412544000000,398044000000,404396000000,407083000000,387871000000,395997000000,470763000000,456305000000,451853000000,413454000000,453110000000,446648000000,433657000000,400618000000,436207000000,407699000000,384755000000,382289000000,396408000000,444724000000,403179000000,381526000000,391439000000,369403000000,332229000000,316004000000,336530000000,319142000000,307520000000,287661000000,306196000000,285929000000,259852000000,253132000000,275995000000,270275000000,265347000000,256213000000,295556000000,294776000000,292188000000,293053000000,367911000000,360185000000,351761000000,334712000000,385829000000,367541000000,388141000000,353659000000,,,,,,,,,,,,
Other Operating Activities,71716000000,-1079452000000,-52311000000,-476099000000,67872000000,-494139000000,-144456000000,-378652000000,-310227000000,-701720000000,-266807000000,116365000000,-337698000000,-522309000000,-8753000000,-364231000000,-30502000000,403362000000,-34767000000,-246744000000,382153000000,-514731000000,77505000000,50185000000,572588000000,-307318000000,-382300000000,243459000000,571959000000,35661000000,-180749000000,95455000000,510228000000,-283125000000,-95581000000,-28182000000,285462000000,-84683000000,191801000000,179483000000,84916000000,120834000000,19082000000,159212000000,284713000000,-69884000000,-172761000000,58978000000,268263000000,-179406000000,67829000000,283567000000,27060000000,-30064000000,635445000000,302064000000,729626000000,-589461000000,53060000000,225447000000,-316801000000,-458668000000,-450869000000,-491541000000,,,,,,,,
Operating Cash Flow,1129153000000,167126000000,894710000000,764087000000,1081107000000,768728000000,913822000000,958958000000,893073000000,544575000000,616262000000,673252000000,394000000000,444072000000,909527000000,650897000000,899827000000,1040582000000,1002172000000,824016000000,1316069000000,873766000000,969434000000,1063859000000,1407200000000,586912000000,396163000000,1178213000000,1394984000000,1108350000000,834148000000,1123375000000,1348142000000,686305000000,775710000000,875596000000,919024000000,759923000000,937750000000,1029338000000,705092000000,506677000000,536856000000,702691000000,681742000000,281335000000,173007000000,316351000000,589217000000,208999000000,458707000000,767086000000,507194000000,483340000000,1009042000000,558954000000,349690000000,-386561000000,581011000000,932765000000,,,,,,,,,,,,
Operating Cash Flow Growth,4.44%,-78.26%,-2.09%,-20.32%,21.05%,41.16%,48.28%,42.44%,126.67%,22.63%,-32.24%,3.43%,-56.21%,-57.32%,-9.24%,-21.01%,-31.63%,19.09%,3.38%,-22.54%,-6.48%,48.88%,144.71%,-9.71%,0.88%,-47.05%,-52.51%,4.88%,3.47%,61.50%,7.53%,28.30%,46.69%,-9.69%,-17.28%,-14.94%,30.34%,49.98%,74.67%,46.49%,3.43%,80.10%,210.31%,122.12%,15.70%,34.61%,-62.28%,-58.76%,16.17%,-56.76%,-54.54%,37.24%,45.04%,,73.67%,-40.08%,,,,,,,,,,,,,,,,
Capital Expenditures,-531699000000,-531311000000,-467476000000,-459749000000,-492539000000,-451899000000,-596721000000,-709204000000,-633375000000,-673893000000,-506989000000,-541447000000,-495434000000,-574772000000,-578642000000,-658586000000,-525897000000,-560191000000,-525910000000,-676378000000,-629927000000,-527817000000,-592236000000,-565635000000,-594653000000,-512911000000,-517511000000,-636846000000,-687404000000,-715651000000,-715572000000,-786715000000,-740689000000,-603352000000,-567521000000,-601036000000,-558229000000,-441018000000,-466991000000,-428923000000,-447345000000,-353889000000,-290695000000,-309591000000,-401202000000,-223202000000,-200972000000,-238760000000,-296896000000,-265977000000,-307528000000,-282753000000,-295745000000,-222176000000,-165051000000,-237064000000,-218342000000,-413076000000,-551855000000,-565489000000,,,,,,,,,,,,
Acquisitions,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5010000000,0,0,0,-576000000,0,0,0,44274000000,0,0,0,628000000,0,0,0,0,0,0,0,0,0,0,0,16216000000,0,0,0,-147000000,0,0,0,-299000000,0,0,0,-1020000000,0,0,0,0,0,-45000000,0,,,,,,,,,,,,
Change in Investments,346341000000,-248703000000,156507000000,-70630000000,-370452000000,245110000000,127519000000,-227451000000,-575718000000,-231291000000,138470000000,1286000000,-463418000000,-156891000000,-2459000000,593079000000,4089817000000,4154234000000,3634982000000,3591702000000,3628062000000,3474257000000,3415043000000,3197253000000,3320455000000,2973164000000,3324262000000,3266521000000,3589681000000,3316727000000,3069662000000,3295378000000,2437816000000,3370476000000,2923799000000,3093613000000,2415351000000,2631791000000,2329768000000,2135067000000,2415801000000,1874797000000,2038582000000,2033740000000,2198412000000,1686196000000,1769030000000,2301235000000,1976365000000,1848511000000,1611041000000,2039977000000,1534152000000,745123000000,1762955000000,1834843000000,2706945000000,2294395000000,2250949000000,1878409000000,,,,,,,,,,,,
Other Investing Activities,100061000000,48911000000,-20609000000,79467000000,111255000000,597263000000,-374132000000,1563755000000,213997000000,-862074000000,-1215685000000,202544000000,559558000000,-105406000000,103634000000,-345313000000,-3923503000000,-4082445000000,-3920711000000,-3957951000000,-3747907000000,-3919874000000,-3741339000000,-3649396000000,-3580807000000,-3584537000000,-3282967000000,-3188383000000,-3145038000000,-3385319000000,-3456320000000,-3562601000000,-3252922000000,-3416611000000,-3266558000000,-3190505000000,-2851680000000,-2985471000000,-3100415000000,-3015498000000,-2659014000000,-2512760000000,-2408906000000,-2424248000000,-2155793000000,-2138561000000,-2017563000000,-2021331000000,-2094624000000,-2002730000000,-2108104000000,-2233327000000,-1946608000000,-1965126000000,-2062407000000,-1832060000000,-2236594000000,-1866100000000,-2182441000000,-2326976000000,,,,,,,,,,,,
Investing Cash Flow,-85297000000,-731103000000,-331578000000,-450912000000,-751736000000,390474000000,-843334000000,627100000000,-995096000000,-1767258000000,-1584204000000,-337617000000,-399294000000,-837069000000,-477467000000,-410820000000,-354573000000,-488402000000,-811639000000,-1042627000000,-750348000000,-973434000000,-918532000000,-1017778000000,-810731000000,-1124284000000,-476216000000,-558708000000,-242133000000,-784243000000,-1102230000000,-1053938000000,-1555795000000,-649487000000,-910280000000,-697928000000,-994558000000,-794698000000,-1237638000000,-1309354000000,-674342000000,-991852000000,-661019000000,-700099000000,-358730000000,-675567000000,-449505000000,41144000000,-415454000000,-420196000000,-804591000000,-476103000000,-709221000000,-1442179000000,-464503000000,-234281000000,252009000000,15219000000,-483392000000,-1014056000000,,,,,,,,,,,,
