Date,Open,Close,High,Low,Volume,MA1,MA2
1976-08-18,5.0760,5.0760,5.0760,5.0760,19500,,
1976-08-19,5.0500,5.0500,5.0500,5.0500,500,,
1976-08-20,5.0240,5.0240,5.0240,5.0240,8000,,
1976-08-23,4.8740,4.8740,4.8740,4.8740,1000,,
1976-08-24,4.8240,4.8240,4.8240,4.8240,7500,,
1976-08-25,4.7760,4.7760,4.7760,4.7760,8000,,
1976-08-26,4.7760,4.7760,4.7760,4.7760,500,,
1976-08-27,4.9500,4.9500,4.9500,4.9500,2500,,
1976-08-30,4.8500,4.8500,4.8500,4.8500,40000,,
1976-08-31,4.8500,4.8500,4.8500,4.8500,500,,
1976-09-01,4.8740,4.8740,4.8740,4.8740,500,,
1976-09-02,4.8000,4.8000,4.8000,4.8000,65000,,
1976-09-03,4.7240,4.7240,4.7240,4.7240,500,,
1976-09-07,4.6000,4.6000,4.6000,4.6000,33500,,
1976-09-08,4.6260,4.6260,4.6260,4.6260,32000,,
1976-09-09,4.6000,4.6000,4.6000,4.6000,1000,,
1976-09-10,4.6740,4.6740,4.6740,4.6740,500,,
1976-09-13,4.5740,4.5740,4.5740,4.5740,114500,,
1976-09-14,4.5500,4.5500,4.5500,4.5500,22500,,
1976-09-15,4.5500,4.5500,4.5500,4.5500,32000,,
1976-09-16,4.4760,4.4760,4.4760,4.4760,67000,,
1976-09-17,4.4760,4.4760,4.4760,4.4760,500,,
1976-09-20,4.4760,4.4760,4.4760,4.4760,500,,
1976-09-21,4.4760,4.4760,4.4760,4.4760,80500,,
1976-09-22,4.4760,4.4760,4.4760,4.4760,1000,,
1976-09-23,4.4760,4.4760,4.4760,4.4760,500,,
1976-09-24,4.4760,4.4760,4.4760,4.4760,2500,,
1976-09-26,4.4500,4.4500,4.4500,4.4500,500,,
1976-09-27,4.4500,4.4500,4.4500,4.4500,44000,,
1976-09-28,4.5000,4.5000,4.5000,4.5000,22500,,
1976-09-29,4.4760,4.4760,4.4760,4.4760,500,,
1976-09-30,4.4500,4.4500,4.4500,4.4500,26000,,
1976-10-03,4.4500,4.4500,4.4500,4.4500,500,,
1976-10-04,4.4760,4.4760,4.4760,4.4760,8000,,
1976-10-05,4.5000,4.5000,4.5000,4.5000,10000,,
1976-10-06,4.5740,4.5740,4.5740,4.5740,8000,,
