Date,Market Cap,% Change
2023-05-31,184662800000,-1.16%
2023-05-30,186833200000,-1.68%
2023-05-26,190021000000,0.34%
2023-05-25,189369900000,0.19%
2023-05-24,189003600000,-0.16%
2023-05-23,189302100000,-1.16%
2023-05-22,191526800000,-0.72%
2023-05-19,192924000000,-0.20%
2023-05-18,193317400000,0.35%
2023-05-17,192652700000,0.63%
2023-05-16,191445400000,-0.89%
2023-05-15,193168200000,-0.61%
2023-05-12,194348300000,0.42%
2023-05-11,193534400000,-0.64%
2023-05-10,194782400000,1.57%
2023-05-09,191780500000,2.21%
2023-05-08,187641300000,0.20%
2023-05-05,187273600000,1.95%
2023-05-04,183692600000,-0.49%
2023-05-03,184591300000,0.30%
2023-05-02,184033000000,-1.12%
2023-05-01,186116300000,-0.47%
2023-04-28,186987700000,-0.14%
2023-04-27,187246400000,2.61%
2023-04-26,182480800000,0.38%
2023-04-25,181786400000,-0.99%
2023-04-24,183597300000,0.13%
2023-04-21,183365900000,0.65%
2023-04-20,182181300000,-1.08%
2023-04-19,184169200000,-1.30%
2023-04-18,186592800000,-0.52%
2023-04-17,187559600000,1.32%
2023-04-14,185122300000,-0.93%
2023-04-13,186851500000,0.58%
2023-04-12,185775900000,-0.84%
2023-04-11,187341700000,-0.30%
2023-04-10,187913600000,-0.62%
2023-04-06,189084500000,-1.10%
2023-04-05,191195000000,-1.21%
2023-04-04,193537000000,-0.14%
2023-04-03,193809300000,0.46%
2023-03-31,192924200000,1.48%
2023-03-30,190105700000,-0.04%
2023-03-29,190173800000,1.26%
2023-03-28,187804600000,0.71%
2023-03-27,186483900000,0.23%
2023-03-24,186061800000,0.57%
2023-03-23,184999800000,0.22%
2023-03-22,184591300000,-0.15%
2023-03-21,184877200000,0.48%
2023-03-20,183992200000,1.24%
2023-03-17,181745600000,-1.78%
2023-03-16,185040600000,1.74%
2023-03-15,181881700000,-2.26%
2023-03-14,186089000000,-0.33%
2023-03-13,186701800000,-0.62%
2023-03-10,187859100000,-0.40%
2023-03-09,188608000000,-0.85%
2023-03-08,190228300000,0.45%
2023-03-07,189370500000,-0.75%
2023-03-06,190800200000,0.21%
2023-03-03,190391700000,1.86%
2023-03-02,186906000000,0.54%
2023-03-01,185898400000,0.45%
2023-02-28,185067800000,-0.24%
2023-02-27,185517200000,0.15%
2023-02-24,185244900000,-2.09%
2023-02-23,189193500000,0.22%
2023-02-22,188785000000,-0.38%
2023-02-21,189506600000,-2.57%
2023-02-17,194503700000,0.11%
2023-02-16,194299500000,1.23%
2023-02-15,191943900000,-1.18%
2023-02-14,194231400000,-0.84%
2023-02-13,195878900000,0.31%
2023-02-10,195279800000,-0.97%
2023-02-09,197199600000,0.17%
2023-02-08,196867100000,-0.56%
2023-02-07,197975800000,0.59%
2023-02-06,196812400000,-0.64%
2023-02-03,198071600000,-1.30%
2023-02-02,200685900000,-1.32%
2023-02-01,203368700000,1.00%
2023-01-31,201356600000,1.33%
2023-01-30,198714900000,-1.35%
2023-01-27,201425100000,1.16%
2023-01-26,199111900000,-0.47%
2023-01-25,200042600000,0.10%
2023-01-24,199851000000,-0.01%
2023-01-23,199878400000,-0.05%
2023-01-20,199987900000,1.34%
2023-01-19,197346200000,-0.91%
2023-01-18,199166600000,0.51%
2023-01-17,198153700000,3.19%
2023-01-13,192035400000,-1.45%
2023-01-12,194855100000,2.53%
2023-01-11,190050800000,-0.21%
2023-01-10,190447700000,-0.57%
2023-01-09,191542700000,0.70%
2023-01-06,190215000000,2.55%
2023-01-05,185492800000,-1.22%
2023-01-04,187778600000,-0.79%
2023-01-03,189270600000,1.24%
2022-12-30,186943700000,-0.60%
2022-12-29,188079800000,2.45%
2022-12-28,183590300000,-1.49%
2022-12-27,186368800000,-0.71%
2022-12-23,187710200000,0.10%
2022-12-22,187518600000,-0.33%
2022-12-21,188148200000,-0.99%
2022-12-20,190023400000,-0.56%
2022-12-19,191091000000,-0.58%
2022-12-16,192213400000,-0.87%
2022-12-15,193896900000,-2.07%
2022-12-14,197989500000,0.10%
2022-12-13,197784200000,0.26%
2022-12-12,197264100000,0.54%
2022-12-09,196196400000,0.74%
2022-12-08,194745600000,0.30%
2022-12-07,194170700000,0.55%
2022-12-06,193116800000,-1.47%
2022-12-05,195991100000,-2.28%
2022-12-02,200562700000,-0.77%
2022-12-01,202109400000,-0.02%
2022-11-30,202150500000,1.57%
2022-11-29,199016100000,-0.76%
2022-11-28,200535400000,-1.19%
2022-11-25,202944400000,1.06%
2022-11-23,200809100000,0.95%
2022-11-22,198920200000,2.23%
2022-11-21,194581300000,-0.72%
2022-11-18,195991100000,0.18%
2022-11-17,195635300000,0.57%
2022-11-16,194526600000,-1.13%
2022-11-15,196757600000,1.15%
2022-11-14,194526600000,-0.80%
2022-11-11,196086900000,1.95%
2022-11-10,192336600000,4.45%
2022-11-09,184137800000,-2.16%
2022-11-08,188202900000,0.17%
2022-11-07,187874400000,-0.07%
2022-11-04,187997600000,1.55%
2022-11-03,185123300000,-0.10%
2022-11-02,185314900000,0.17%
2022-11-01,185000100000,-2.88%
2022-10-31,190480200000,-0.51%
2022-10-28,191454500000,2.23%
2022-10-27,187269100000,-1.06%
2022-10-26,189272600000,0.63%
2022-10-25,188092500000,1.73%
2022-10-24,184895200000,0.73%
2022-10-21,183550400000,0.39%
2022-10-20,182836800000,0.20%
2022-10-19,182466300000,-0.96%
2022-10-18,184236500000,-1.40%
2022-10-17,186843800000,1.53%
2022-10-14,184030700000,-1.66%
2022-10-13,187145600000,1.02%
2022-10-12,185252000000,-0.04%
2022-10-11,185334300000,0.15%
2022-10-10,185059800000,-0.73%
2022-10-07,186418400000,-0.23%
2022-10-06,186857500000,-1.39%
2022-10-05,189492200000,-1.26%
2022-10-04,191907300000,3.14%
2022-10-03,186061600000,4.07%
2022-09-30,178788700000,-2.59%
2022-09-29,183550400000,-2.29%
2022-09-28,187845500000,0.85%
2022-09-27,186267400000,0.09%
2022-09-26,186102700000,-1.21%
2022-09-23,188380700000,-1.27%
2022-09-22,190809500000,1.07%
2022-09-21,188792300000,-2.24%
2022-09-20,193114900000,-0.51%
2022-09-19,194102900000,0.50%
2022-09-16,193128600000,0.21%
2022-09-15,192730600000,-0.72%
2022-09-14,194130300000,0.88%
2022-09-13,192428800000,-3.32%
2022-09-12,199029200000,-0.38%
2022-09-09,199783900000,1.01%
2022-09-08,197780500000,0.55%
2022-09-07,196696400000,-0.42%
2022-09-06,197519800000,-1.11%
2022-09-02,199742800000,-0.84%
2022-09-01,201444400000,-1.72%
2022-08-31,204971000000,-0.53%
2022-08-30,206068800000,-1.05%
2022-08-29,208264400000,
2022-08-26,208264400000,-2.71%
2022-08-25,214068900000,0.97%
2022-08-24,212010600000,0.66%
2022-08-23,210610900000,-0.54%
2022-08-22,211763600000,-1.37%
2022-08-19,214700200000,-1.68%
2022-08-18,218364000000,-1.02%
2022-08-17,220614500000,0.85%
2022-08-16,218762000000,-0.65%
2022-08-15,220189100000,-0.53%
2022-08-12,221355500000,1.71%
2022-08-11,217636700000,0.45%
2022-08-10,216662500000,3.24%
2022-08-09,209869900000,-2.09%
2022-08-08,214343400000,-0.71%
2022-08-05,215866600000,0.41%
2022-08-04,214974600000,-4.36%
2022-08-03,224765400000,-0.32%
2022-08-02,225495700000,-1.86%
2022-08-01,229780700000,2.57%
2022-07-29,224021400000,1.93%
2022-07-28,219777700000,-0.34%
2022-07-27,220521700000,1.26%
2022-07-26,217779800000,-0.85%
2022-07-25,219653700000,-0.55%
2022-07-22,220866200000,0.70%
2022-07-21,219323000000,0.81%
2022-07-20,217559400000,-1.57%
2022-07-19,221031500000,2.34%
2022-07-18,215974900000,0.03%
2022-07-15,215906000000,2.32%
2022-07-14,211000900000,-1.48%
2022-07-13,214169900000,0.01%
2022-07-12,214156100000,0.17%
2022-07-11,213797900000,-1.01%
2022-07-08,215988700000,-0.25%
2022-07-07,216526000000,2.83%
2022-07-06,210573800000,-1.19%
2022-07-05,213109000000,-0.51%
2022-07-01,214211300000,0.84%
2022-06-30,212420100000,-0.96%
2022-06-29,214486800000,-0.92%
2022-06-28,216470900000,0.37%
2022-06-27,215671800000,-1.60%
2022-06-24,219185200000,0.99%
2022-06-23,217035800000,-1.02%
2022-06-22,219267900000,0.03%
2022-06-21,219199000000,3.34%
2022-06-17,212117000000,-0.33%
2022-06-16,212819600000,-1.46%
2022-06-15,215974900000,1.02%
2022-06-14,213784100000,-0.22%
2022-06-13,214252600000,-3.60%
2022-06-10,222244000000,-1.95%
2022-06-09,226666800000,-0.51%
2022-06-08,227824200000,-0.54%
2022-06-07,229064300000,0.40%
2022-06-06,228141100000,0.47%
2022-06-03,227080200000,-3.19%
2022-06-02,234561800000,0.91%
2022-06-01,232439900000,1.40%
2022-05-31,229229600000,-0.28%
2022-05-27,229863400000,0.79%
2022-05-26,228072200000,2.79%
2022-05-25,221872000000,0.27%
2022-05-24,221279500000,-0.46%
2022-05-23,222312900000,1.70%
2022-05-20,218606500000,1.78%
2022-05-19,214789900000,0.26%
2022-05-18,214225000000,-2.81%
2022-05-17,220425300000,0.48%
2022-05-16,219364300000,-1.31%
2022-05-13,222285300000,1.76%
2022-05-12,218441200000,0.94%
2022-05-11,216402000000,-5.92%
2022-05-10,230012900000,-1.20%
2022-05-09,232804300000,-2.79%
2022-05-06,239478800000,1.98%
2022-05-05,234821900000,-2.81%
2022-05-04,241620700000,1.62%
2022-05-03,237765300000,0.80%
2022-05-02,235872100000,-0.18%
2022-04-29,236300500000,-1.14%
2022-04-28,239022800000,2.93%
2022-04-27,232210100000,0.73%
2022-04-26,230524200000,-3.10%
2022-04-25,237903400000,1.55%
2022-04-22,234269100000,-2.38%
2022-04-21,239990100000,-1.01%
2022-04-20,242449800000,2.33%
2022-04-19,236922300000,0.69%
2022-04-18,235291700000,1.80%
2022-04-14,231132300000,-0.70%
2022-04-13,232762900000,1.64%
2022-04-12,229018000000,-2.30%
2022-04-11,234421100000,-0.67%
2022-04-08,235996500000,-2.13%
2022-04-07,241123200000,-1.15%
2022-04-06,243928400000,-0.64%
2022-04-05,245503800000,-2.69%
2022-04-04,252302600000,1.23%
2022-04-01,249248600000,0.07%
2022-03-31,249082800000,-0.20%
2022-03-30,249594100000,-2.27%
2022-03-29,255384200000,3.91%
2022-03-28,245766300000,-0.33%
2022-03-25,246567800000,-1.02%
2022-03-24,249110400000,2.55%
2022-03-23,242905800000,1.71%
2022-03-22,238815500000,0.59%
2022-03-21,237406000000,0.06%
2022-03-18,237267800000,-0.02%
2022-03-17,237323100000,-0.09%
2022-03-16,237530300000,3.59%
2022-03-15,229294400000,3.00%
2022-03-14,222606100000,1.78%
2022-03-11,218709200000,-3.75%
2022-03-10,227221600000,0.23%
2022-03-09,226696400000,4.93%
2022-03-08,216042200000,-2.39%
2022-03-07,221334800000,-6.20%
2022-03-04,235955000000,-3.03%
2022-03-03,243334200000,-1.71%
2022-03-02,247562700000,-1.41%
2022-03-01,251100300000,-0.68%
2022-02-28,252813900000,-1.31%
2022-02-25,256171800000,1.73%
2022-02-24,251818900000,-0.88%
2022-02-23,254043700000,-0.97%
2022-02-22,256531100000,-1.76%
2022-02-18,261132700000,1.30%
2022-02-17,257774800000,-1.98%
2022-02-16,262970600000,0.48%
2022-02-15,261727000000,0.23%
2022-02-14,261132700000,-1.94%
2022-02-11,266301000000,-0.87%
2022-02-10,268650100000,-3.46%
2022-02-09,278268000000,0.29%
2022-02-08,277458800000,1.56%
2022-02-07,273192700000,0.18%
2022-02-04,272694100000,-1.33%
2022-02-03,276364500000,-0.07%
2022-02-02,276544600000,1.64%
2022-02-01,272070800000,-1.02%
2022-01-31,274868700000,2.75%
2022-01-28,267500100000,1.67%
2022-01-27,263109400000,-2.17%
2022-01-26,268940500000,-1.44%
2022-01-25,272874200000,-0.35%
2022-01-24,273829900000,-1.04%
2022-01-21,276697000000,-0.84%
2022-01-20,279051600000,-0.47%
2022-01-19,280367400000,-2.43%
2022-01-18,287362100000,-1.53%
2022-01-14,291822000000,-0.32%
2022-01-13,292763900000,2.30%
2022-01-12,286170900000,2.33%
2022-01-11,279647200000,0.77%
2022-01-10,277500300000,-0.04%
2022-01-07,277625000000,0.35%
2022-01-06,276669300000,1.42%
2022-01-05,272791000000,-1.12%
2022-01-04,275893600000,6.92%
2022-01-03,258026100000,0.53%
2021-12-31,256654900000,0.66%
2021-12-30,254965100000,0.22%
2021-12-29,254411100000,-0.58%
2021-12-28,255893100000,-0.62%
2021-12-27,257485900000,1.15%
2021-12-23,254549600000,1.33%
2021-12-22,251197700000,-0.80%
2021-12-21,253219900000,0.48%
2021-12-20,252014900000,-1.14%
2021-12-17,254909700000,-1.76%
2021-12-16,259480500000,0.32%
2021-12-15,258663300000,3.30%
2021-12-14,250394300000,2.65%
