Date,Market Cap,% Change
2023-05-30,637577500000,4.14%
2023-05-26,612253100000,4.72%
2023-05-25,584678500000,0.86%
2023-05-24,579702300000,-1.54%
2023-05-23,588798800000,-1.64%
2023-05-22,598624300000,4.85%
2023-05-19,570954500000,1.84%
2023-05-18,560653600000,1.74%
2023-05-17,551050000000,4.41%
2023-05-16,527785900000,0.10%
2023-05-15,527247000000,-0.97%
2023-05-12,532413300000,-2.38%
2023-05-11,545408300000,2.10%
2023-05-10,534188300000,-0.36%
2023-05-09,536121700000,-1.54%
2023-05-08,544489100000,1.02%
2023-05-05,539005900000,5.50%
2023-05-04,510924100000,0.37%
2023-05-03,509054100000,0.19%
2023-05-02,508103200000,-0.94%
2023-05-01,512920900000,-1.51%
2023-04-28,520781300000,2.57%
2023-04-27,507722900000,4.19%
2023-04-26,487311300000,-4.31%
2023-04-25,509244300000,-1.16%
2023-04-24,515202900000,-1.36%
2023-04-21,522330100000,1.28%
2023-04-20,515717100000,-9.75%
2023-04-19,571405300000,-2.02%
2023-04-18,583175800000,-1.46%
2023-04-17,591813800000,1.10%
2023-04-14,585359000000,-0.48%
2023-04-13,588206700000,2.97%
2023-04-12,571247100000,-3.35%
2023-04-11,591022700000,1.24%
2023-04-10,583808600000,-0.30%
2023-04-06,585548800000,-0.25%
2023-04-05,587004300000,-3.67%
2023-04-04,609342900000,-1.12%
2023-04-03,616272300000,-6.12%
2023-03-31,656424700000,6.24%
2023-03-30,617886000000,0.72%
2023-03-29,613456200000,2.48%
2023-03-28,598616600000,-1.37%
2023-03-27,606906500000,0.74%
2023-03-24,602476800000,-0.94%
2023-03-23,608203800000,0.56%
2023-03-22,604818200000,-3.25%
2023-03-21,625163400000,7.82%
2023-03-20,579821800000,1.73%
2023-03-17,569949800000,-2.17%
2023-03-16,582606200000,2.04%
2023-03-15,570962300000,-1.53%
2023-03-14,579853500000,5.03%
2023-03-13,552072600000,0.60%
2023-03-10,548782000000,0.30%
2023-03-09,547136600000,-4.99%
2023-03-08,575866700000,-3.04%
2023-03-07,593933700000,-3.15%
2023-03-06,613234700000,-2.01%
2023-03-03,625827900000,3.61%
2023-03-02,604027200000,-5.85%
2023-03-01,641585100000,-1.43%
2023-02-28,650887600000,-0.92%
2023-02-27,656962600000,5.46%
2023-02-24,622948500000,-2.57%
2023-02-23,639370200000,0.60%
2023-02-22,635541700000,1.77%
2023-02-21,624499000000,-5.25%
2023-02-17,659114200000,3.10%
2023-02-16,639275300000,-5.69%
2023-02-15,677877400000,2.38%
2023-02-14,662088500000,7.51%
2023-02-13,615860900000,-1.14%
2023-02-10,622980200000,-5.03%
2023-02-09,655981800000,3.00%
2023-02-08,636902200000,2.28%
2023-02-07,622727100000,1.05%
2023-02-06,616240600000,2.52%
2023-02-03,601116200000,0.91%
2023-02-02,595705600000,3.78%
2023-02-01,573999900000,4.73%
2023-01-31,548085900000,4.15%
2023-01-30,526271000000,-6.32%
2023-01-27,561764200000,11.00%
2023-01-26,506093000000,10.97%
2023-01-25,456074200000,0.38%
2023-01-24,454369000000,0.10%
2023-01-23,453926900000,7.74%
2023-01-20,421307300000,4.91%
2023-01-19,401571400000,-1.25%
2023-01-18,406655400000,-2.06%
2023-01-17,415212900000,7.43%
2023-01-13,386508900000,-0.94%
2023-01-12,390171900000,0.28%
2023-01-11,389098300000,3.68%
2023-01-10,375298900000,-0.77%
2023-01-09,378204000000,5.93%
2023-01-06,357015500000,2.47%
2023-01-05,348426400000,-2.90%
2023-01-04,358847000000,5.12%
2023-01-03,341353000000,-12.24%
2022-12-30,388971900000,1.12%
2022-12-29,384677400000,8.08%
2022-12-28,355910300000,3.31%
2022-12-27,344510800000,-11.41%
2022-12-23,388877200000,-1.76%
2022-12-22,395824300000,-8.88%
2022-12-21,434412000000,-0.17%
2022-12-20,435138300000,-8.05%
2022-12-19,473252400000,-0.24%
2022-12-16,474389200000,-4.72%
2022-12-15,497882800000,0.55%
2022-12-14,495135600000,-2.58%
2022-12-13,508240300000,-4.09%
2022-12-12,529934000000,-6.27%
2022-12-09,565395600000,3.23%
2022-12-08,547680600000,-0.34%
2022-12-07,549575200000,-3.21%
2022-12-06,567827000000,-1.44%
2022-12-05,576131900000,-6.37%
2022-12-02,615319600000,0.08%
2022-12-01,614814400000,
2022-11-30,614814400000,7.67%
2022-11-29,571016400000,-1.14%
2022-11-28,577616100000,0.03%
2022-11-25,577426600000,-0.19%
2022-11-23,578500200000,7.82%
2022-11-22,536533700000,1.22%
2022-11-21,530091900000,-6.84%
2022-11-18,568995400000,-1.63%
2022-11-17,578405500000,-2.01%
2022-11-16,590247100000,-3.86%
2022-11-15,613930200000,1.82%
2022-11-14,602972800000,-2.56%
2022-11-11,618824700000,2.75%
2022-11-10,602246500000,7.39%
2022-11-09,560785300000,-7.17%
2022-11-08,604078000000,-2.93%
2022-11-07,622329900000,-5.01%
2022-11-04,655138900000,-3.64%
2022-11-03,679895700000,0.15%
2022-11-02,678853600000,-5.64%
2022-11-01,719399200000,0.12%
2022-10-31,718515000000,-0.43%
2022-10-28,721609600000,1.52%
2022-10-27,710778500000,0.20%
2022-10-26,709357500000,1.00%
2022-10-25,702331500000,5.29%
2022-10-24,667075200000,-0.72%
2022-10-21,671941300000,3.45%
2022-10-20,649505700000,-6.65%
2022-10-19,695755700000,0.84%
2022-10-18,689958800000,0.38%
2022-10-17,687326700000,7.01%
2022-10-14,642330000000,-7.55%
2022-10-13,694753000000,2.06%
2022-10-12,680715000000,0.34%
2022-10-11,678396300000,-2.90%
2022-10-10,698638500000,-0.05%
2022-10-07,698983200000,-6.32%
2022-10-06,746173200000,-1.11%
2022-10-05,754570900000,-3.46%
2022-10-04,781612800000,2.90%
2022-10-03,759553100000,-8.61%
2022-09-30,831152900000,-1.10%
2022-09-29,840428000000,-6.81%
2022-09-28,901844000000,1.72%
2022-09-27,886584000000,2.51%
2022-09-26,864869100000,0.25%
2022-09-23,862738300000,-4.59%
2022-09-22,904288100000,-4.06%
2022-09-21,942547800000,-2.57%
2022-09-20,967396200000,-0.11%
2022-09-19,968461600000,1.89%
2022-09-16,950538100000,-0.13%
2022-09-15,951791500000,0.38%
2022-09-14,948219400000,3.59%
2022-09-13,915380600000,-4.04%
2022-09-12,953891000000,1.58%
2022-09-09,939038300000,3.60%
2022-09-08,906387500000,1.96%
2022-09-07,888965500000,3.38%
2022-09-06,859886800000,1.56%
2022-09-02,846694900000,-2.51%
2022-09-01,868472600000,0.56%
2022-08-31,863615700000,-0.75%
2022-08-30,870164600000,-2.50%
2022-08-29,892474900000,-1.14%
2022-08-26,902721400000,-2.70%
2022-08-25,927726500000,-0.35%
2022-08-24,930944500000,0.22%
2022-08-23,928926600000,2.26%
2022-08-22,908433700000,-2.28%
2022-08-19,929597200000,-2.05%
2022-08-18,949034100000,-0.37%
2022-08-17,952565500000,-0.84%
2022-08-16,960606000000,-0.89%
