Date,Open,Close,High,Low,Volume,MA1,MA2,Cash & Equivalents,Short-Term Investments,Cash & Cash Equivalents,Cash Growth,Receivables,Inventory,Other Current Assets,Total Current Assets,"Property, Plant & Equipment",Long-Term Investments,Goodwill and Intangibles,Other Long-Term Assets,Total Long-Term Assets,Total Assets,Accounts Payable,Current Debt,Total Current Liabilities,Other Current Liabilities,Long-Term Debt,Total Long-Term Liabilities,Other Long-Term Liabilities,Total Liabilities,Total Debt,Debt Growth,Common Stock,Retained Earnings,Comprehensive Income,Shareholders' Equity,Net Cash / Debt,Net Cash / Debt Growth,Net Cash Per Share,Working Capital,Book Value Per Share,Net Income_x,Other Operating Activities,Operating Cash Flow,Operating Cash Flow Growth,Capital Expenditures,Change in Investments,Other Investing Activities,Investing Cash Flow,Dividends Paid,Debt Issued / Paid,Other Financing Activities,Financing Cash Flow,Net Cash Flow,Free Cash Flow,Free Cash Flow Growth,Free Cash Flow Margin_x,Free Cash Flow Per Share_x,Revenue,Cost of Revenue,Gross Profit,"Selling, General & Admin",Operating Expenses,Operating Income,Interest Expense / Income,Other Expense / Income,Pretax Income,Income Tax,Net Income_y,Net Income Common,Net Income Growth,Shares Outstanding (Basic),Shares Outstanding (Diluted),Shares Change,EPS (Basic),EPS (Diluted),Free Cash Flow Per Share_y,Gross Margin,Operating Margin,Profit Margin,Free Cash Flow Margin_y,Effective Tax Rate,EBITDA,EBITDA Margin,EBIT,EBIT Margin,Market Cap,Market Capitalization,Market Cap Growth,Enterprise Value,PE Ratio,PS Ratio,PB Ratio,Debt / Equity Ratio,Current Ratio,RSI,EMA14,EMA50,MACD,ADX,CMF,SO,LBOLLINGER,HBOLLINGER,FI,Target
2011-11-10,22.95,22.51,23.1,22.22,15438300.0,22.765,28.545,21421000000.0,11680000000.0,33101000000.0,-4.88,10512000000.0,15220000000.0,5177000000.0,64010000000.0,25023000000.0,16452000000.0,40381000000.0,2631000000.0,84487000000.0,148497000000.0,25646000000.0,1543000000.0,51748000000.0,24559000000.0,10122000000.0,51133000000.0,41011000000.0,102881000000.0,11665000000.0,36.18,36737000000.0,6595000000.0,1412000000.0,44744000000.0,21436000000.0,-18.29,12.74,12262000000.0,28.65,1726000000.0,-70000000.0,2037000000.0,-22.37,-1741000000.0,335000000.0,74000000.0,-1317000000.0,-214000000.0,-358000000.0,-4000000.0,-576000000.0,-393000000.0,296000000.0,-78.28,0.81,0.19,36719000000.0,31946000000.0,4773000000.0,2942000000.0,2967000000.0,1806000000.0,101000000.0,-509000000.0,2214000000.0,107000000.0,2107000000.0,1726000000.0,-11.89,1562000000.0,1682000000.0,3.19,1.1,1.03,0.19,13.0,4.92,4.7,0.81,4.83,2315000000.0,6.3,2315000000.0,6.3,35515600000.0,31516440080.0,-42.64,10080440080.0,3.98,0.21,0.7,0.26,1.24,44.67025772700525,23.58845437404191,23.028579324406227,0.05139110194990337,13.034044659726282,0.10169182872212815,12.554112554112592,21.71922272815454,26.428777271845462,-7821941.070988357,21.68
2011-11-11,22.95,22.51,23.1,22.22,15438300.0,22.765,28.545,21421000000.0,11680000000.0,33101000000.0,-4.88,10512000000.0,15220000000.0,5177000000.0,64010000000.0,25023000000.0,16452000000.0,40381000000.0,2631000000.0,84487000000.0,148497000000.0,25646000000.0,1543000000.0,51748000000.0,24559000000.0,10122000000.0,51133000000.0,41011000000.0,102881000000.0,11665000000.0,36.18,36737000000.0,6595000000.0,1412000000.0,44744000000.0,21436000000.0,-18.29,12.74,12262000000.0,28.65,1726000000.0,-70000000.0,2037000000.0,-22.37,-1741000000.0,335000000.0,74000000.0,-1317000000.0,-214000000.0,-358000000.0,-4000000.0,-576000000.0,-393000000.0,296000000.0,-78.28,0.81,0.19,36719000000.0,31946000000.0,4773000000.0,2942000000.0,2967000000.0,1806000000.0,101000000.0,-509000000.0,2214000000.0,107000000.0,2107000000.0,1726000000.0,-11.89,1562000000.0,1682000000.0,3.19,1.1,1.03,0.19,13.0,4.92,4.7,0.81,4.83,2315000000.0,6.3,2315000000.0,6.3,35218300000.0,31516440080.0,-42.64,10080440080.0,3.98,0.21,0.7,0.26,1.24,44.67025772700525,23.44466045750299,23.008242880311865,-0.034972223685866055,12.724977157137118,0.06458531399586444,12.554112554112592,21.57984672947634,26.46515327052366,-6704520.9179900205,21.05
2011-11-13,22.56,22.99,23.29,22.51,13433300.0,22.784,28.478,21421000000.0,11680000000.0,33101000000.0,-4.88,10512000000.0,15220000000.0,5177000000.0,64010000000.0,25023000000.0,16452000000.0,40381000000.0,2631000000.0,84487000000.0,148497000000.0,25646000000.0,1543000000.0,51748000000.0,24559000000.0,10122000000.0,51133000000.0,41011000000.0,102881000000.0,11665000000.0,36.18,36737000000.0,6595000000.0,1412000000.0,44744000000.0,21436000000.0,-18.29,12.74,12262000000.0,28.65,1726000000.0,-70000000.0,2037000000.0,-22.37,-1741000000.0,335000000.0,74000000.0,-1317000000.0,-214000000.0,-358000000.0,-4000000.0,-576000000.0,-393000000.0,296000000.0,-78.28,0.81,0.19,36719000000.0,31946000000.0,4773000000.0,2942000000.0,2967000000.0,1806000000.0,101000000.0,-509000000.0,2214000000.0,107000000.0,2107000000.0,1726000000.0,-11.89,1562000000.0,1682000000.0,3.19,1.1,1.03,0.19,13.0,4.92,4.7,0.81,4.83,2315000000.0,6.3,2315000000.0,6.3,35218300000.0,31516440080.0,-42.64,10080440080.0,3.98,0.21,0.7,0.26,1.24,47.66098691205436,23.38403906316926,23.007527473240813,-0.06394665575165703,12.223791840988243,0.08755667012599232,22.94372294372291,21.566835804317545,26.46816419568246,-4825591.643991453,20.73
2011-11-14,22.81,23.35,23.53,22.6,13867200.0,22.822,28.412,21421000000.0,11680000000.0,33101000000.0,-4.88,10512000000.0,15220000000.0,5177000000.0,64010000000.0,25023000000.0,16452000000.0,40381000000.0,2631000000.0,84487000000.0,148497000000.0,25646000000.0,1543000000.0,51748000000.0,24559000000.0,10122000000.0,51133000000.0,41011000000.0,102881000000.0,11665000000.0,36.18,36737000000.0,6595000000.0,1412000000.0,44744000000.0,21436000000.0,-18.29,12.74,12262000000.0,28.65,1726000000.0,-70000000.0,2037000000.0,-22.37,-1741000000.0,335000000.0,74000000.0,-1317000000.0,-214000000.0,-358000000.0,-4000000.0,-576000000.0,-393000000.0,296000000.0,-78.28,0.81,0.19,36719000000.0,31946000000.0,4773000000.0,2942000000.0,2967000000.0,1806000000.0,101000000.0,-509000000.0,2214000000.0,107000000.0,2107000000.0,1726000000.0,-11.89,1562000000.0,1682000000.0,3.19,1.1,1.03,0.19,13.0,4.92,4.7,0.81,4.83,2315000000.0,6.3,2315000000.0,6.3,35969300000.0,31516440080.0,-42.64,10080440080.0,3.98,0.21,0.7,0.26,1.24,49.8504200549649,23.37950052141336,23.02095776840784,-0.057200736079536796,11.485317402413155,0.10333162967258917,33.56973995271871,21.61425692653968,26.459743073460317,-3423051.1234212397,20.24
2011-11-15,23.24,22.65,23.35,22.62,9297200.0,22.818,28.347,21421000000.0,11680000000.0,33101000000.0,-4.88,10512000000.0,15220000000.0,5177000000.0,64010000000.0,25023000000.0,16452000000.0,40381000000.0,2631000000.0,84487000000.0,148497000000.0,25646000000.0,1543000000.0,51748000000.0,24559000000.0,10122000000.0,51133000000.0,41011000000.0,102881000000.0,11665000000.0,36.18,36737000000.0,6595000000.0,1412000000.0,44744000000.0,21436000000.0,-18.29,12.74,12262000000.0,28.65,1726000000.0,-70000000.0,2037000000.0,-22.37,-1741000000.0,335000000.0,74000000.0,-1317000000.0,-214000000.0,-358000000.0,-4000000.0,-576000000.0,-393000000.0,296000000.0,-78.28,0.81,0.19,36719000000.0,31946000000.0,4773000000.0,2942000000.0,2967000000.0,1806000000.0,101000000.0,-509000000.0,2214000000.0,107000000.0,2107000000.0,1726000000.0,-11.89,1562000000.0,1682000000.0,3.19,1.1,1.03,0.19,13.0,4.92,4.7,0.81,4.83,2315000000.0,6.3,2315000000.0,6.3,36532500000.0,31516440080.0,-42.64,10080440080.0,3.98,0.21,0.7,0.26,1.24,45.83540265053411,23.28223378522491,23.006410404940866,-0.10710406697938879,10.799591138022,0.03793644735153566,22.222222222222175,21.460826782417584,26.44317321758242,-3863763.820075352,20.24
2011-11-16,22.72,21.79,22.75,21.56,12692700.0,22.804,28.276,21421000000.0,11680000000.0,33101000000.0,-4.88,10512000000.0,15220000000.0,5177000000.0,64010000000.0,25023000000.0,16452000000.0,40381000000.0,2631000000.0,84487000000.0,148497000000.0,25646000000.0,1543000000.0,51748000000.0,24559000000.0,10122000000.0,51133000000.0,41011000000.0,102881000000.0,11665000000.0,36.18,36737000000.0,6595000000.0,1412000000.0,44744000000.0,21436000000.0,-18.29,12.74,12262000000.0,28.65,1726000000.0,-70000000.0,2037000000.0,-22.37,-1741000000.0,335000000.0,74000000.0,-1317000000.0,-214000000.0,-358000000.0,-4000000.0,-576000000.0,-393000000.0,296000000.0,-78.28,0.81,0.19,36719000000.0,31946000000.0,4773000000.0,2942000000.0,2967000000.0,1806000000.0,101000000.0,-509000000.0,2214000000.0,107000000.0,2107000000.0,1726000000.0,-11.89,1562000000.0,1682000000.0,3.19,1.1,1.03,0.19,13.0,4.92,4.7,0.81,4.83,2315000000.0,6.3,2315000000.0,6.3,35437300000.0,31516440080.0,-42.64,10080440080.0,3.98,0.21,0.7,0.26,1.24,41.421437762953815,23.083269280528256,22.958708036119656,-0.2135855476903359,11.258258191276267,-0.008691653874271314,6.371191135734079,21.17951798705006,26.405482012949943,-4871186.417207444,20.34
2011-11-17,22.01,21.68,22.18,21.62,6592500.0,22.802,28.201,21421000000.0,11680000000.0,33101000000.0,-4.88,10512000000.0,15220000000.0,5177000000.0,64010000000.0,25023000000.0,16452000000.0,40381000000.0,2631000000.0,84487000000.0,148497000000.0,25646000000.0,1543000000.0,51748000000.0,24559000000.0,10122000000.0,51133000000.0,41011000000.0,102881000000.0,11665000000.0,36.18,36737000000.0,6595000000.0,1412000000.0,44744000000.0,21436000000.0,-18.29,12.74,12262000000.0,28.65,1726000000.0,-70000000.0,2037000000.0,-22.37,-1741000000.0,335000000.0,74000000.0,-1317000000.0,-214000000.0,-358000000.0,-4000000.0,-576000000.0,-393000000.0,296000000.0,-78.28,0.81,0.19,36719000000.0,31946000000.0,4773000000.0,2942000000.0,2967000000.0,1806000000.0,101000000.0,-509000000.0,2214000000.0,107000000.0,2107000000.0,1726000000.0,-11.89,1562000000.0,1682000000.0,3.19,1.1,1.03,0.19,13.0,4.92,4.7,0.81,4.83,2315000000.0,6.3,2315000000.0,6.3,34091800000.0,31516440080.0,-42.64,10080440080.0,3.98,0.21,0.7,0.26,1.24,40.87917613307111,22.896166709791157,22.908562622938494,-0.3033521146554321,11.68416331215523,-0.039800169944268084,3.3240997229917144,20.91482918506121,26.352170814938788,-4278899.071892095,20.34
2011-11-18,22.01,21.68,22.18,21.62,6592500.0,22.802,28.201,21421000000.0,11680000000.0,33101000000.0,-4.88,10512000000.0,15220000000.0,5177000000.0,64010000000.0,25023000000.0,16452000000.0,40381000000.0,2631000000.0,84487000000.0,148497000000.0,25646000000.0,1543000000.0,51748000000.0,24559000000.0,10122000000.0,51133000000.0,41011000000.0,102881000000.0,11665000000.0,36.18,36737000000.0,6595000000.0,1412000000.0,44744000000.0,21436000000.0,-18.29,12.74,12262000000.0,28.65,1726000000.0,-70000000.0,2037000000.0,-22.37,-1741000000.0,335000000.0,74000000.0,-1317000000.0,-214000000.0,-358000000.0,-4000000.0,-576000000.0,-393000000.0,296000000.0,-78.28,0.81,0.19,36719000000.0,31946000000.0,4773000000.0,2942000000.0,2967000000.0,1806000000.0,101000000.0,-509000000.0,2214000000.0,107000000.0,2107000000.0,1726000000.0,-11.89,1562000000.0,1682000000.0,3.19,1.1,1.03,0.19,13.0,4.92,4.7,0.81,4.83,2315000000.0,6.3,2315000000.0,6.3,33919700000.0,31516440080.0,-42.64,10080440080.0,3.98,0.21,0.7,0.26,1.24,40.87917613307112,22.73401114848567,22.86038369654875,-0.3702250418827262,12.079646638685693,-0.06029370063899809,3.3240997229917144,20.697291787286154,26.23870821271384,-3667627.77590751,20.74
2011-11-20,21.1,21.05,21.18,20.54,11757900.0,22.786,28.123,21421000000.0,11680000000.0,33101000000.0,-4.88,10512000000.0,15220000000.0,5177000000.0,64010000000.0,25023000000.0,16452000000.0,40381000000.0,2631000000.0,84487000000.0,148497000000.0,25646000000.0,1543000000.0,51748000000.0,24559000000.0,10122000000.0,51133000000.0,41011000000.0,102881000000.0,11665000000.0,36.18,36737000000.0,6595000000.0,1412000000.0,44744000000.0,21436000000.0,-18.29,12.74,12262000000.0,28.65,1726000000.0,-70000000.0,2037000000.0,-22.37,-1741000000.0,335000000.0,74000000.0,-1317000000.0,-214000000.0,-358000000.0,-4000000.0,-576000000.0,-393000000.0,296000000.0,-78.28,0.81,0.19,36719000000.0,31946000000.0,4773000000.0,2942000000.0,2967000000.0,1806000000.0,101000000.0,-509000000.0,2214000000.0,107000000.0,2107000000.0,1726000000.0,-11.89,1562000000.0,1682000000.0,3.19,1.1,1.03,0.19,13.0,4.92,4.7,0.81,4.83,2315000000.0,6.3,2315000000.0,6.3,33919700000.0,31516440080.0,-42.64,10080440080.0,3.98,0.21,0.7,0.26,1.24,37.60885051478399,22.509476328687583,22.789388257468406,-0.4686556823954753,13.427841029191915,-0.06011894994060746,11.015118790496787,20.52464370973868,25.910356290261316,-4201891.950777864,20.31
2011-11-21,20.92,20.73,21.12,20.7,7288600.0,22.76,28.042,21421000000.0,11680000000.0,33101000000.0,-4.88,10512000000.0,15220000000.0,5177000000.0,64010000000.0,25023000000.0,16452000000.0,40381000000.0,2631000000.0,84487000000.0,148497000000.0,25646000000.0,1543000000.0,51748000000.0,24559000000.0,10122000000.0,51133000000.0,41011000000.0,102881000000.0,11665000000.0,36.18,36737000000.0,6595000000.0,1412000000.0,44744000000.0,21436000000.0,-18.29,12.74,12262000000.0,28.65,1726000000.0,-70000000.0,2037000000.0,-22.37,-1741000000.0,335000000.0,74000000.0,-1317000000.0,-214000000.0,-358000000.0,-4000000.0,-576000000.0,-393000000.0,296000000.0,-78.28,0.81,0.19,36719000000.0,31946000000.0,4773000000.0,2942000000.0,2967000000.0,1806000000.0,101000000.0,-509000000.0,2214000000.0,107000000.0,2107000000.0,1726000000.0,-11.89,1562000000.0,1682000000.0,3.19,1.1,1.03,0.19,13.0,4.92,4.7,0.81,4.83,2315000000.0,6.3,2315000000.0,6.3,32934000000.0,31516440080.0,-42.64,10080440080.0,3.98,0.21,0.7,0.26,1.24,36.03206672262924,22.272212818195907,22.708627933646117,-0.5659599656189052,14.679735820376266,-0.10781725401093346,4.103671706263524,20.467354914985737,25.395645085014262,-3934814.8149524555,21.29
