Date,Open,Close,High,Low,Volume,MA1,MA2,Cash & Equivalents,Cash & Cash Equivalents,Cash Growth,Receivables,Inventory,Other Current Assets,Total Current Assets,"Property, Plant & Equipment",Other Long-Term Assets,Total Long-Term Assets,Total Assets,Accounts Payable,Deferred Revenue,Current Debt,Total Current Liabilities,Other Current Liabilities,Long-Term Debt,Total Long-Term Liabilities,Other Long-Term Liabilities,Total Liabilities,Total Debt,Debt Growth,Common Stock,Retained Earnings,Shareholders' Equity,Net Cash / Debt,Net Cash / Debt Growth,Net Cash Per Share,Working Capital,Book Value Per Share,Net Income_x,Depreciation & Amortization_x,Share-Based Compensation,Other Operating Activities,Operating Cash Flow,Operating Cash Flow Growth,Capital Expenditures,Other Investing Activities,Investing Cash Flow,Share Issuance / Repurchase,Debt Issued / Paid,Other Financing Activities,Financing Cash Flow,Net Cash Flow,Free Cash Flow,Free Cash Flow Growth,Free Cash Flow Margin_x,Revenue,Revenue Growth (YoY),Cost of Revenue,Gross Profit,"Selling, General & Admin",Research & Development,Operating Expenses,Operating Income,Other Expense / Income,Pretax Income,Income Tax,Net Income_y,Net Income Growth,Shares Outstanding (Basic),Shares Outstanding (Diluted),Shares Change,EPS (Basic),EPS Growth,Gross Margin,Operating Margin,Profit Margin,Free Cash Flow Margin_y,Effective Tax Rate,EBITDA,EBITDA Margin,Depreciation & Amortization_y,EBIT,EBIT Margin,Market Cap,Market Capitalization,Market Cap Growth,Enterprise Value,PE Ratio,PS Ratio,PB Ratio,Debt / Equity Ratio,Current Ratio,Buyback Yield / Dilution,Total Shareholder Return,RSI,EMA14,EMA50,MACD,ADX,CMF,SO,LBOLLINGER,HBOLLINGER,FI,Target
2011-06-23,1.813,1.847,1.848,1.747,17550000.0,1.822,1.707,148532000.0,148532000.0,115.16,20260000.0,50823000.0,7291000.0,226906000.0,152513000.0,27870000.0,180383000.0,407289000.0,49660000.0,6909000.0,275000.0,112976000.0,56132000.0,102905000.0,126575000.0,23670000.0,239551000.0,103180000.0,233.57,631660000.0,-463922000.0,167738000.0,45352000.0,19.03,0.03,113930000.0,0.12,-48941000.0,3517000.0,5926000.0,-3799000.0,-43297000.0,-8.36,-20476000.0,30587000.0,10111000.0,3706000.0,30577000.0,-19346800.0,34283000.0,1097000.0,-63773000.0,-58.41,-130.07,49030000.0,135.59,31002000.0,18028000.0,24212000.0,41162000.0,65374000.0,-47346000.0,1445000.0,-48791000.0,150000.0,-48941000.0,-54.02,1427810175.0,1427810175.0,1203.59,-0.03,-54.7,36.77,-96.57,-99.82,-130.07,1.32,-45274000.0,-92.34,3517000.0,-48791000.0,-99.51,2849200000.0,2645556545.0,34.89,2600204545.0,-15.23,18.25,15.77,0.62,2.01,-1203.59,-1203.59,50.82689566537863,1.8334040246350587,1.81503905412765,-0.007876166276148844,11.652632650140154,-0.11686091937342782,47.5728155339806,1.7205937174066464,2.0262062825933542,189108.29287456447,1.943
2011-06-24,1.843,1.838,1.865,1.817,54127500.0,1.826,1.709,148532000.0,148532000.0,115.16,20260000.0,50823000.0,7291000.0,226906000.0,152513000.0,27870000.0,180383000.0,407289000.0,49660000.0,6909000.0,275000.0,112976000.0,56132000.0,102905000.0,126575000.0,23670000.0,239551000.0,103180000.0,233.57,631660000.0,-463922000.0,167738000.0,45352000.0,19.03,0.03,113930000.0,0.12,-48941000.0,3517000.0,5926000.0,-3799000.0,-43297000.0,-8.36,-20476000.0,30587000.0,10111000.0,3706000.0,30577000.0,-19346800.0,34283000.0,1097000.0,-63773000.0,-58.41,-130.07,49030000.0,135.59,31002000.0,18028000.0,24212000.0,41162000.0,65374000.0,-47346000.0,1445000.0,-48791000.0,150000.0,-48941000.0,-54.02,1427810175.0,1427810175.0,1203.59,-0.03,-54.7,36.77,-96.57,-99.82,-130.07,1.32,-45274000.0,-92.34,3517000.0,-48791000.0,-99.51,2835300000.0,2645556545.0,34.89,2600204545.0,-15.23,18.25,15.77,0.62,2.01,-1203.59,-1203.59,50.047196889024725,1.8340168213503845,1.8159394833775462,-0.006659127436400514,11.057050034204114,-0.1828711753001713,49.28571428571432,1.7195339330784607,2.0145660669215384,92500.32246391322,1.931
2011-06-27,1.849,1.831,1.885,1.821,27141000.0,1.829,1.711,148532000.0,148532000.0,115.16,20260000.0,50823000.0,7291000.0,226906000.0,152513000.0,27870000.0,180383000.0,407289000.0,49660000.0,6909000.0,275000.0,112976000.0,56132000.0,102905000.0,126575000.0,23670000.0,239551000.0,103180000.0,233.57,631660000.0,-463922000.0,167738000.0,45352000.0,19.03,0.03,113930000.0,0.12,-48941000.0,3517000.0,5926000.0,-3799000.0,-43297000.0,-8.36,-20476000.0,30587000.0,10111000.0,3706000.0,30577000.0,-19346800.0,34283000.0,1097000.0,-63773000.0,-58.41,-130.07,49030000.0,135.59,31002000.0,18028000.0,24212000.0,41162000.0,65374000.0,-47346000.0,1445000.0,-48791000.0,150000.0,-48941000.0,-54.02,1427810175.0,1427810175.0,1203.59,-0.03,-54.7,36.77,-96.57,-99.82,-130.07,1.32,-45274000.0,-92.34,3517000.0,-48791000.0,-99.51,2824500000.0,2645556545.0,34.89,2600204545.0,-15.23,18.25,15.77,0.62,2.01,-1203.59,-1203.59,49.41229227541475,1.8336145785036666,1.8165300918725444,-0.006188124044159915,10.267743393713404,-0.2441783075943052,46.785714285714285,1.719714958061765,2.000485041938235,52144.99068335375,1.982
2011-06-28,1.853,1.874,1.883,1.845,13338000.0,1.832,1.714,148532000.0,148532000.0,115.16,20260000.0,50823000.0,7291000.0,226906000.0,152513000.0,27870000.0,180383000.0,407289000.0,49660000.0,6909000.0,275000.0,112976000.0,56132000.0,102905000.0,126575000.0,23670000.0,239551000.0,103180000.0,233.57,631660000.0,-463922000.0,167738000.0,45352000.0,19.03,0.03,113930000.0,0.12,-48941000.0,3517000.0,5926000.0,-3799000.0,-43297000.0,-8.36,-20476000.0,30587000.0,10111000.0,3706000.0,30577000.0,-19346800.0,34283000.0,1097000.0,-63773000.0,-58.41,-130.07,49030000.0,135.59,31002000.0,18028000.0,24212000.0,41162000.0,65374000.0,-47346000.0,1445000.0,-48791000.0,150000.0,-48941000.0,-54.02,1427810175.0,1427810175.0,1203.59,-0.03,-54.7,36.77,-96.57,-99.82,-130.07,1.32,-45274000.0,-92.34,3517000.0,-48791000.0,-99.51,2890900000.0,2645556545.0,34.89,2600204545.0,-15.23,18.25,15.77,0.62,2.01,-1203.59,-1203.59,53.32908125551356,1.8389993013698445,1.8187838137598957,-0.0023183849300776327,9.534815798972032,-0.29953336042388107,62.142857142857196,1.7303454878876388,1.9763545121123614,126629.13487144635,1.921
2011-06-29,1.9,1.886,1.939,1.871,21927000.0,1.837,1.716,148532000.0,148532000.0,115.16,20260000.0,50823000.0,7291000.0,226906000.0,152513000.0,27870000.0,180383000.0,407289000.0,49660000.0,6909000.0,275000.0,112976000.0,56132000.0,102905000.0,126575000.0,23670000.0,239551000.0,103180000.0,233.57,631660000.0,-463922000.0,167738000.0,45352000.0,19.03,0.03,113930000.0,0.12,-48941000.0,3517000.0,5926000.0,-3799000.0,-43297000.0,-8.36,-20476000.0,30587000.0,10111000.0,3706000.0,30577000.0,-19346800.0,34283000.0,1097000.0,-63773000.0,-58.41,-130.07,49030000.0,135.59,31002000.0,18028000.0,24212000.0,41162000.0,65374000.0,-47346000.0,1445000.0,-48791000.0,150000.0,-48941000.0,-54.02,1427810175.0,1427810175.0,1203.59,-0.03,-54.7,36.77,-96.57,-99.82,-130.07,1.32,-45274000.0,-92.34,3517000.0,-48791000.0,-99.51,2909400000.0,2645556545.0,34.89,2600204545.0,-15.23,18.25,15.77,0.62,2.01,-1203.59,-1203.59,54.39038346475886,1.8452660611871987,1.8214197426320569,0.0016971472525231235,9.526003811540495,-0.2873684632765696,66.4285714285714,1.7305878694555332,1.9746121305444668,146128.40131838192,1.89
2011-06-30,1.9,1.942,1.955,1.893,14200500.0,1.842,1.719,336064000.0,336064000.0,538.12,23308000.0,54312000.0,4074000.0,417758000.0,200180000.0,28217000.0,228397000.0,646155000.0,57199000.0,6295000.0,287000.0,138736000.0,74955000.0,134536000.0,158967000.0,24431000.0,297703000.0,134823000.0,190.86,871278000.0,-522826000.0,348452000.0,201241000.0,3088.73,0.14,279022000.0,0.24,-58903000.0,4318000.0,6926000.0,25171000.0,-22488000.0,-8.36,-54314000.0,31192000.0,-23122000.0,232692000.0,31643000.0,-38724600.0,264335000.0,218725000.0,-76802000.0,-58.41,-132.03,58171000.0,104.79,39663000.0,18508000.0,24716000.0,52531000.0,77247000.0,-58739000.0,25000.0,-58764000.0,139000.0,-58903000.0,-54.02,1466358990.0,1466358990.0,1178.97,-0.04,-54.7,31.82,-100.98,-101.26,-132.03,1.32,-54446000.0,-93.6,4318000.0,-58764000.0,-101.02,2995800000.0,2995753669.0,34.89,2794512669.0,-15.43,17.15,8.6,0.39,3.01,-1178.97,-1178.97,59.06821779590016,1.8581639196955724,1.8261483801758978,0.009291115233164504,9.700040811819658,-0.2621033432190137,86.42857142857142,1.7287511990465136,1.9789488009534864,238856.91541575603,1.878
2011-07-01,1.938,1.935,1.973,1.92,12823500.0,1.846,1.721,336064000.0,336064000.0,538.12,23308000.0,54312000.0,4074000.0,417758000.0,200180000.0,28217000.0,228397000.0,646155000.0,57199000.0,6295000.0,287000.0,138736000.0,74955000.0,134536000.0,158967000.0,24431000.0,297703000.0,134823000.0,190.86,871278000.0,-522826000.0,348452000.0,201241000.0,3088.73,0.14,279022000.0,0.24,-58903000.0,4318000.0,6926000.0,25171000.0,-22488000.0,-8.36,-54314000.0,31192000.0,-23122000.0,232692000.0,31643000.0,-38724600.0,264335000.0,218725000.0,-76802000.0,-58.41,-132.03,58171000.0,104.79,39663000.0,18508000.0,24716000.0,52531000.0,77247000.0,-58739000.0,25000.0,-58764000.0,139000.0,-58903000.0,-54.02,1466358990.0,1466358990.0,1178.97,-0.04,-54.7,31.82,-100.98,-101.26,-132.03,1.32,-54446000.0,-93.6,4318000.0,-58764000.0,-101.02,2985000000.0,2995753669.0,34.89,2794512669.0,-15.43,17.15,8.6,0.39,3.01,-1178.97,-1178.97,58.26379954556977,1.8684087304028294,1.8304170711493921,0.014576519033004054,10.069117056530654,-0.24599294513195488,83.92857142857146,1.7401604095834518,1.9601395904165482,191910.9989277911,1.909
2011-07-05,1.935,1.943,1.968,1.914,14940000.0,1.85,1.724,336064000.0,336064000.0,538.12,23308000.0,54312000.0,4074000.0,417758000.0,200180000.0,28217000.0,228397000.0,646155000.0,57199000.0,6295000.0,287000.0,138736000.0,74955000.0,134536000.0,158967000.0,24431000.0,297703000.0,134823000.0,190.86,871278000.0,-522826000.0,348452000.0,201241000.0,3088.73,0.14,279022000.0,0.24,-58903000.0,4318000.0,6926000.0,25171000.0,-22488000.0,-8.36,-54314000.0,31192000.0,-23122000.0,232692000.0,31643000.0,-38724600.0,264335000.0,218725000.0,-76802000.0,-58.41,-132.03,58171000.0,104.79,39663000.0,18508000.0,24716000.0,52531000.0,77247000.0,-58739000.0,25000.0,-58764000.0,139000.0,-58903000.0,-54.02,1466358990.0,1466358990.0,1178.97,-0.04,-54.7,31.82,-100.98,-101.26,-132.03,1.32,-54446000.0,-93.6,4318000.0,-58764000.0,-101.02,2997300000.0,2995753669.0,34.89,2794512669.0,-15.43,17.15,8.6,0.39,3.01,-1178.97,-1178.97,58.95181569072793,1.8783542330157856,1.834832087967063,0.01918956737723132,10.31579462829714,-0.2133990137083414,89.01098901098901,1.7375320347184544,1.9657679652815456,181569.42765239242,1.841
2011-07-06,1.943,1.931,1.943,1.903,13903500.0,1.853,1.727,336064000.0,336064000.0,538.12,23308000.0,54312000.0,4074000.0,417758000.0,200180000.0,28217000.0,228397000.0,646155000.0,57199000.0,6295000.0,287000.0,138736000.0,74955000.0,134536000.0,158967000.0,24431000.0,297703000.0,134823000.0,190.86,871278000.0,-522826000.0,348452000.0,201241000.0,3088.73,0.14,279022000.0,0.24,-58903000.0,4318000.0,6926000.0,25171000.0,-22488000.0,-8.36,-54314000.0,31192000.0,-23122000.0,232692000.0,31643000.0,-38724600.0,264335000.0,218725000.0,-76802000.0,-58.41,-132.03,58171000.0,104.79,39663000.0,18508000.0,24716000.0,52531000.0,77247000.0,-58739000.0,25000.0,-58764000.0,139000.0,-58903000.0,-54.02,1466358990.0,1466358990.0,1178.97,-0.04,-54.7,31.82,-100.98,-101.26,-132.03,1.32,-54446000.0,-93.6,4318000.0,-58764000.0,-101.02,2978800000.0,2995753669.0,34.89,2794512669.0,-15.43,17.15,8.6,0.39,3.01,-1178.97,-1178.97,57.42268310317976,1.885373668613681,1.8386033786350213,0.021627829557156142,10.361694731596256,-0.17033285395382267,84.6153846153846,1.7355123260767336,1.9717876739232665,131796.3665591935,1.839
2011-07-07,1.943,1.982,2.0,1.934,19918500.0,1.857,1.73,336064000.0,336064000.0,538.12,23308000.0,54312000.0,4074000.0,417758000.0,200180000.0,28217000.0,228397000.0,646155000.0,57199000.0,6295000.0,287000.0,138736000.0,74955000.0,134536000.0,158967000.0,24431000.0,297703000.0,134823000.0,190.86,871278000.0,-522826000.0,348452000.0,201241000.0,3088.73,0.14,279022000.0,0.24,-58903000.0,4318000.0,6926000.0,25171000.0,-22488000.0,-8.36,-54314000.0,31192000.0,-23122000.0,232692000.0,31643000.0,-38724600.0,264335000.0,218725000.0,-76802000.0,-58.41,-132.03,58171000.0,104.79,39663000.0,18508000.0,24716000.0,52531000.0,77247000.0,-58739000.0,25000.0,-58764000.0,139000.0,-58903000.0,-54.02,1466358990.0,1466358990.0,1178.97,-0.04,-54.7,31.82,-100.98,-101.26,-132.03,1.32,-54446000.0,-93.6,4318000.0,-58764000.0,-101.02,3057500000.0,2995753669.0,34.89,2794512669.0,-15.43,17.15,8.6,0.39,3.01,-1178.97,-1178.97,61.94102099038991,1.8982571794651903,1.844226775551295,0.02736005400516417,11.11625961721199,-0.10292083974068175,94.0,1.7337743024518242,1.9909256975481757,258088.8141935942,1.815
